date,time,category,occupancy,driver‘s gender,direction
27-Oct,10:30,car,2,male,in
27-Oct,10:30,car,1,male,in
27-Oct,10:30,car,2,female,in
27-Oct,10:30,car,1,male,in
27-Oct,10:30,taxi,1,male,in
27-Oct,10:30,van,1,female,in
27-Oct,10:30,car,2,male,in
27-Oct,10:30,van,4,male,in
27-Oct,10:30,car,1,female,in
27-Oct,10:30,car,3,female,in
27-Oct,10:30,taxi,1,male,in
27-Oct,10:30,car,2,male,in
27-Oct,10:30,van,1,female,in
27-Oct,10:30,van,1,female,in
27-Oct,10:30,car,1,female,in
27-Oct,10:30,car,2,female,in
27-Oct,10:30,car,2,male,in
27-Oct,10:30,car,1,female,in
27-Oct,10:30,bus,5,male,in
27-Oct,10:30,car,1,female,in
27-Oct,10:30,car,1,female,in
27-Oct,10:30,car,1,female,in
27-Oct,10:30,car,1,male,in
27-Oct,10:30,car,2,female,in
27-Oct,10:30,car,1,male,in
27-Oct,10:35,taxi,1,male,in
27-Oct,10:35,car,1,male,in
27-Oct,10:35,car,1,male,in
27-Oct,10:35,car,2,female,in
27-Oct,10:35,car,2,male,in
27-Oct,10:35,bus,60,male,in
27-Oct,10:35,car,2,female,in
27-Oct,10:35,car,4,male,in
27-Oct,10:35,car,2,male,in
27-Oct,10:35,car,1,female,in
27-Oct,10:35,car,1,male,in
27-Oct,10:35,van,1,male,in
27-Oct,10:35,car,2,male,in
27-Oct,10:35,car,2,male,in
27-Oct,10:35,van,1,male,in
27-Oct,10:35,car,1,male,in
27-Oct,10:35,bus,10,male,in
27-Oct,10:35,bus,40,male,in
27-Oct,10:35,car,2,female,in
27-Oct,10:35,car,2,female,in
27-Oct,10:35,van,1,male,in
27-Oct,10:35,car,1,female,in
27-Oct,10:40,car,2,male,in
27-Oct,10:40,car,2,female,in
27-Oct,10:40,taxi,2,female,in
27-Oct,10:40,car,1,male,in
27-Oct,10:40,car,1,male,in
27-Oct,10:40,van,1,male,in
27-Oct,10:40,car,1,male,in
27-Oct,10:40,car,2,female,in
27-Oct,10:40,car,1,male,in
27-Oct,10:40,car,1,female,in
27-Oct,10:40,car,1,male,in
27-Oct,10:40,car,1,female,in
27-Oct,10:40,car,2,female,in
27-Oct,10:40,car,3,female,in
27-Oct,10:40,car,1,male,in
27-Oct,10:40,car,2,male,in
27-Oct,10:40,car,1,male,in
27-Oct,10:40,car,1,male,in
27-Oct,10:40,car,2,female,in
27-Oct,10:40,car,1,male,in
27-Oct,10:45,car,2,female,in
27-Oct,10:45,car,2,male,in
27-Oct,10:45,car,1,male,in
27-Oct,10:45,car,4,female,in
27-Oct,10:45,car,1,male,in
27-Oct,10:45,car,1,female,in
27-Oct,10:45,car,1,female,in
27-Oct,10:45,car,1,male,in
27-Oct,10:45,car,1,male,in
27-Oct,10:45,car,4,female,in
27-Oct,10:45,car,1,male,in
27-Oct,10:45,car,2,female,in
27-Oct,10:45,car,4,female,in
27-Oct,10:45,car,2,male,in
27-Oct,10:45,car,1,male,in
27-Oct,10:45,car,1,male,in
27-Oct,10:45,van,1,male,in
27-Oct,10:45,car,1,male,in
27-Oct,10:45,car,1,male,in
27-Oct,10:45,car,2,female,in
27-Oct,10:45,car,1,female,in
27-Oct,10:45,car,1,male,in
27-Oct,10:45,car,1,male,in
27-Oct,10:45,car,1,male,in
27-Oct,10:45,motorbike,1,male,in
27-Oct,10:45,bus,70,female,in
27-Oct,10:45,car,2,female,in
27-Oct,10:45,car,1,male,in
27-Oct,10:45,car,1,male,in
27-Oct,10:45,car,1,male,in
27-Oct,10:45,car,1,female,in
27-Oct,10:45,car,1,female,in
27-Oct,10:45,car,2,male,in
27-Oct,10:50,car,1,male,in
27-Oct,10:50,car,2,male,in
27-Oct,10:50,bus,75,male,in
27-Oct,10:50,car,1,female,in
27-Oct,10:50,car,2,male,in
27-Oct,10:50,car,1,female,in
27-Oct,10:50,motorbike,1,male,in
27-Oct,10:50,car,1,male,in
27-Oct,10:50,car,1,male,in
27-Oct,10:50,car,1,male,in
27-Oct,10:50,van,1,male,in
27-Oct,10:50,car,1,female,in
27-Oct,10:50,car,2,female,in
27-Oct,10:50,car,2,male,in
27-Oct,10:50,car,1,female,in
27-Oct,10:50,car,2,male,in
27-Oct,10:50,car,1,male,in
27-Oct,10:50,bus,80,male,in
27-Oct,10:50,car,2,male,in
27-Oct,10:50,car,4,female,in
27-Oct,10:50,car,1,female,in
27-Oct,10:50,car,1,female,in
27-Oct,10:50,car,1,male,in
27-Oct,10:50,car,2,male,in
27-Oct,10:50,van,8,female,in
27-Oct,10:50,car,1,female,in
27-Oct,10:50,car,1,female,in
27-Oct,10:50,bicycle,1,female,in
27-Oct,10:50,bus,60,male,in
27-Oct,10:50,car,1,female,in
27-Oct,10:50,car,1,female,in
27-Oct,10:50,car,1,male,in
27-Oct,10:50,car,1,male,in
27-Oct,10:50,bicycle,1,male,in
27-Oct,10:50,van,1,male,in
27-Oct,10:50,car,1,female,in
27-Oct,10:50,car,1,male,in
27-Oct,10:55,bicycle,1,male,in
27-Oct,10:55,car,1,female,in
27-Oct,10:55,bus,70,male,in
27-Oct,10:55,car,4,female,in
27-Oct,10:55,car,2,female,in
27-Oct,10:55,car,4,male,in
27-Oct,10:55,car,2,male,in
27-Oct,10:55,bicycle,1,male,in
27-Oct,10:55,bicycle,1,male,in
27-Oct,10:55,van,2,male,in
27-Oct,10:55,van,1,male,in
27-Oct,10:55,car,2,male,in
27-Oct,10:55,car,3,male,in
27-Oct,10:55,bicycle,1,male,in
27-Oct,10:55,car,2,male,in
27-Oct,10:55,car,2,male,in
27-Oct,10:55,car,2,male,in
27-Oct,10:55,taxi,2,male,in
27-Oct,11:00,bicycle,1,male,in
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
