Date,Time,Direction,Type,Occupancy,Driver's gender
25-10-2022,10:35,in,car,2,Male
25-10-2022,10:35,in,car,2,Male
25-10-2022,10:35,in,car,1,Female
25-10-2022,10:35,in,car,1,Male
25-10-2022,10:35,in,bicycle,1,Male
25-10-2022,10:35,in,taxi,1,Male
25-10-2022,10:35,in,car,2,Female
25-10-2022,10:35,in,car,2,Female
25-10-2022,10:35,in,bicycle,1,Male
25-10-2022,10:35,in,car,1,Female
25-10-2022,10:35,in,car,1,Female
25-10-2022,10:35,in,bicycle,1,Male
25-10-2022,10:35,in,bus,70%,Male
25-10-2022,10:35,in,bus,60%,Male
25-10-2022,10:35,in,van,1,Male
25-10-2022,10:35,in,bus,80%,Male
25-10-2022,10:35,in,car,2,Female
25-10-2022,10:40,in,bus,40%,Male
25-10-2022,10:40,in,car,1,Female
25-10-2022,10:40,in,taxi,2,Male
25-10-2022,10:40,in,car,1,Male
25-10-2022,10:40,in,taxi,1,Male
25-10-2022,10:40,in,car,1,Male
25-10-2022,10:40,in,car,2,Male
25-10-2022,10:40,in,van,1,Male
25-10-2022,10:40,in,bicycle,1,Male
25-10-2022,10:40,in,van,2,Male
25-10-2022,10:40,in,bus,80%,Male
25-10-2022,10:40,in,car,1,Female
25-10-2022,10:40,in,van,1,Male
25-10-2022,10:40,in,car,1,Female
25-10-2022,10:40,in,car,2,Female
25-10-2022,10:40,in,bicycle,1,Male
25-10-2022,10:40,in,car,2,Male
25-10-2022,10:40,in,car,2,Male
25-10-2022,10:40,in,taxi,1,Male
25-10-2022,10:45,in,van,1,Male
25-10-2022,10:45,in,car,1,Female
25-10-2022,10:45,in,car,2,Female
25-10-2022,10:45,in,car,2,Male
25-10-2022,10:45,in,car,1,Female
25-10-2022,10:45,in,car,2,Male
25-10-2022,10:45,in,van,1,Male
25-10-2022,10:45,in,bus,95%,Male
25-10-2022,10:50,in,car,1,Male
25-10-2022,10:50,in,car,4,Female
25-10-2022,10:50,in,car,2,Male
25-10-2022,10:50,in,bus,95%,Male
25-10-2022,10:50,in,car,2,Male
25-10-2022,10:50,in,motorbike,1,Male
25-10-2022,10:50,in,van,1,Male
25-10-2022,10:50,in,taxi,1,Male
25-10-2022,10:50,in,car,1,Female
25-10-2022,10:50,in,car,1,Female
25-10-2022,10:50,in,lorry,1,Male
25-10-2022,10:50,in,taxi,1,Male
25-10-2022,10:55,in,car,1,Female
25-10-2022,10:55,in,van,2,Male
25-10-2022,10:55,in,car,1,Female
25-10-2022,10:55,in,bus,80%,Male
25-10-2022,10:55,in,car,1,Female
25-10-2022,10:55,in,van,1,Male
25-10-2022,10:55,in,car,2,Female
25-10-2022,10:55,in,car,2,Male
25-10-2022,10:55,in,bicycle,1,Female
25-10-2022,11:00,in,van,1,Male
25-10-2022,11:00,in,van,2,Male
25-10-2022,11:00,in,car,1,Female
25-10-2022,11:00,in,car,2,Male
25-10-2022,11:00,in,car,1,Female
25-10-2022,11:00,in,van,3,Male
25-10-2022,11:00,in,bicycle,1,Male
25-10-2022,11:00,in,car,4,Female
25-10-2022,11:00,in,car,1,Male
25-10-2022,11:00,in,car,1,Female
25-10-2022,11:00,in,taxi,1,Male
25-10-2022,11:00,in,van,1,Male
25-10-2022,11:00,in,bicycle,1,Male
25-10-2022,11:00,in,car,4,Female
25-10-2022,11:00,in,car,2,Male
