Date,Time,Direction,Type,Occupancy,Approach/exit,AdditionalData2
25-10-2022,10:30am,in,car,2,West,null
25-10-2022,10:30am,in,car,2,West,null
25-10-2022,10:30am,in,car,2,East,null
25-10-2022,10:30am,in,car,2,East,null
25-10-2022,10:30am,in,car,1,West,null
25-10-2022,10:30am,in,van,1,West,null
25-10-2022,10:30am,in,van,1,East,null
25-10-2022,10:30am,in,car,2,East,null
25-10-2022,10:30am,in,car,1,East,null
25-10-2022,10:30am,in,car,1,East,null
25-10-2022,10:35am,in,car,3,West,null
25-10-2022,10:35am,in,car,1,East,null
25-10-2022,10:35am,in,car,2,East,null
25-10-2022,10:35am,in,car,1,West,null
25-10-2022,10:35am,in,car,1,East,null
25-10-2022,10:35am,in,car,1,East,null
25-10-2022,10:35am,in,car,2,West,null
25-10-2022,10:35am,in,car,1,West,null
25-10-2022,10:35am,in,taxi,2,West,null
25-10-2022,10:40am,in,car,1,East,null
25-10-2022,10:40am,in,car,1,East,null
25-10-2022,10:40am,in,car,2,East,null
25-10-2022,10:40am,in,car,2,West,null
25-10-2022,10:40am,in,car,1,West,null
25-10-2022,10:40am,in,van,2,East,null
25-10-2022,10:40am,in,bus,10,West,null
25-10-2022,10:40am,in,car,2,West,null
25-10-2022,10:40am,in,car,2,East,null
25-10-2022,10:40am,in,car,3,West,null
25-10-2022,10:40am,in,car,1,East,null
25-10-2022,10:40am,in,car,2,East,null
25-10-2022,10:40am,in,bus,10,West,null
25-10-2022,10:40am,in,bicycle,1,East,null
25-10-2022,10:40am,in,car,2,West,null
25-10-2022,10:40am,in,car,4,East,null
25-10-2022,10:40am,in,car,2,East,null
25-10-2022,10:40am,in,motorbike,1,West,null
25-10-2022,10:40am,in,van,1,West,null
25-10-2022,10:40am,in,car,2,East,null
25-10-2022,10:40am,in,car,1,East,null
25-10-2022,10:40am,in,car,1,West,null
25-10-2022,10:40am,in,scooter,1,West,null
25-10-2022,10:40am,in,car,1,West,null
25-10-2022,10:45am,in,lorry,1,West,null
25-10-2022,10:45am,in,car,1,West,null
25-10-2022,10:45am,in,car,2,West,null
25-10-2022,10:45am,in,car,1,East,null
25-10-2022,10:45am,in,van,1,East,null
25-10-2022,10:45am,in,car,1,East,null
25-10-2022,10:45am,in,car,1,East,null
25-10-2022,10:45am,in,van,1,West,null
25-10-2022,10:45am,in,bus,10,West,null
25-10-2022,10:45am,in,taxi,2,West,null
25-10-2022,10:45am,in,taxi,2,West,null
25-10-2022,10:45am,in,car,2,West,null
25-10-2022,10:45am,in,car,2,West,null
25-10-2022,10:45am,in,bicycle,1,East,null
25-10-2022,10:45am,in,bicycle,1,East,null
25-10-2022,10:45am,in,van,1,East,null
25-10-2022,10:45am,in,bicycle,1,East,null
25-10-2022,10:45am,in,car,1,East,null
25-10-2022,10:45am,in,car,2,West,null
25-10-2022,10:45am,in,car,2,West,null
25-10-2022,10:45am,in,car,2,East,null
25-10-2022,10:45am,in,car,1,East,null
25-10-2022,10:50am,in,car,4,West,null
25-10-2022,10:50am,in,bicycle,1,East,null
25-10-2022,10:50am,in,taxi,1,West,null
25-10-2022,10:50am,in,bicycle,1,East,null
25-10-2022,10:50am,in,taxi,1,East,null
25-10-2022,10:50am,in,car,2,West,null
25-10-2022,10:50am,in,car,2,West,null
25-10-2022,10:50am,in,car,2,West,null
25-10-2022,10:50am,in,car,1,East,null
25-10-2022,10:50am,in,car,1,West,null
25-10-2022,10:50am,in,car,3,East,null
25-10-2022,10:50am,in,car,2,East,null
25-10-2022,10:50am,in,scooter,1,West,null
25-10-2022,10:55am,in,bicycle,1,West,null
25-10-2022,10:55am,in,car,2,West,null
25-10-2022,10:55am,in,car,2,West,null
25-10-2022,10:55am,in,car,2,West,null
25-10-2022,10:55am,in,car,3,West,null
25-10-2022,10:55am,in,car,1,West,null
25-10-2022,10:55am,in,van,1,East,null
25-10-2022,10:55am,in,bicycle,1,West,null
25-10-2022,10:55am,in,car,5,West,null
25-10-2022,10:55am,in,car,2,West,null
25-10-2022,10:55am,in,van,3,West,null
25-10-2022,10:55am,in,taxi,2,West,null
25-10-2022,10:55am,in,car,3,West,null
25-10-2022,10:55am,in,bus,10,West,null
25-10-2022,10:55am,in,bus,10,West,null
25-10-2022,10:55am,in,car,2,West,null
25-10-2022,10:55am,in,taxi,4,West,null
25-10-2022,11:00am,in,car,2,West,null
25-10-2022,11:00am,in,taxi,1,West,null
25-10-2022,11:00am,in,car,2,West,null
25-10-2022,11:00am,in,car,2,West,null
25-10-2022,11:00am,in,car,2,East,null
25-10-2022,11:00am,in,taxi,1,West,null
25-10-2022,11:00am,in,car,1,East,null
25-10-2022,11:00am,in,car,2,East,null
25-10-2022,11:00am,in,car,1,East,null
25-10-2022,11:00am,in,bicycle,1,West,null
25-10-2022,11:00am,in,bus,75,West,null
