Date,Time,Direction,Type,Occupancy,Blinkers/Handgestures,Electric or not
26/10/2022,10:20am,out,bus,10%,yes,no
26/10/2022,10:20am,out,bicycle,1,no,no
26/10/2022,10:20am,out,car,1,yes,no
26/10/2022,10:20am,out,car,2,yes,no
26/10/2022,10:20am,out,car,1,yes,no
26/10/2022,10:20am,out,van,1,no,yes
26/10/2022,10:20am,out,car,1,yes,yes
26/10/2022,10:20am,out,bus,10%,yes,no
26/10/2022,10:20am,out,car,1,yes,no
26/10/2022,10:20am,out,car,2,yes,no
26/10/2022,10:20am,out,car,2,yes,no
26/10/2022,10:20am,out,car,1,yes,no
26/10/2022,10:20am,out,car,2,no,no
26/10/2022,10:20am,out,bus,15%,yes,no
26/10/2022,10:20am,out,car,2,no,no
26/10/2022,10:20am,out,car,2,no,no
26/10/2022,10:25am,out,car,1,yes,yes
26/10/2022,10:25am,out,car,1,yes,no
26/10/2022,10:25am,out,car,2,yes,no
26/10/2022,10:25am,out,car,1,yes,yes
26/10/2022,10:25am,out,car,1,yes,no
26/10/2022,10:25am,out,car,1,yes,no
26/10/2022,10:25am,out,motorbike,1,yes,no
26/10/2022,10:25am,out,bus,5%,yes,no
26/10/2022,10:25am,out,car,2,yes,no
26/10/2022,10:25am,out,car,2,yes,no
26/10/2022,10:25am,out,car,2,yes,yes
26/10/2022,10:25am,out,car,2,yes,no
26/10/2022,10:25am,out,car,3,yes,no
26/10/2022,10:25am,out,car,1,yes,no
26/10/2022,10:25am,out,car,1,no,no
26/10/2022,10:25am,out,car,2,yes,no
26/10/2022,10:25am,out,taxi,1,no,no
26/10/2022,10:25am,out,car,2,yes,no
26/10/2022,10:25am,out,car,2,yes,no
26/10/2022,10:25am,out,car,1,yes,no
26/10/2022,10:25am,out,car,1,yes,no
26/10/2022,10:30am,out,bus,2%,yes,no
26/10/2022,10:30am,out,car,2,yes,yes
26/10/2022,10:30am,out,taxi,1,yes,no
26/10/2022,10:30am,out,car,2,yes,yes
26/10/2022,10:30am,out,bus,20%,yes,no
26/10/2022,10:30am,out,car,3,no,no
26/10/2022,10:30am,out,car,1,yes,no
26/10/2022,10:30am,out,car,1,yes,no
26/10/2022,10:30am,out,car,4,yes,no
26/10/2022,10:30am,out,car,1,yes,no
26/10/2022,10:30am,out,car,1,yes,no
26/10/2022,10:30am,out,car,1,yes,no
26/10/2022,10:30am,out,car,1,yes,no
26/10/2022,10:30am,out,car,1,yes,no
26/10/2022,10:30am,out,car,1,yes,no
26/10/2022,10:30am,out,car,1,yes,no
26/10/2022,10:30am,out,car,1,no,yes
26/10/2022,10:35am,out,car ,2,yes,no
26/10/2022,10:35am,out,bus,1%,yes,no
26/10/2022,10:35am,out,car,2,yes,no
26/10/2022,10:35am,out,bus,1%,yes,no
26/10/2022,10:35am,out,car,1,yes,no
26/10/2022,10:35am,out,car,1,yes,no
26/10/2022,10:35am,out,bus,5%,yes,no
26/10/2022,10:35am,out,car,1,yes,no
26/10/2022,10:35am,out,car,1,yes,no
26/10/2022,10:35am,out,car,1,yes,no
26/10/2022,10:35am,out,car,2,yes,no
26/10/2022,10:35am,out,car,1,yes,no
26/10/2022,10:35am,out,car,1,yes,yes
26/10/2022,10:35am,out,car,2,yes,no
26/10/2022,10:35am,out,car,1,yes,no
26/10/2022,10:35am,out,car,1,yes,no
26/10/2022,10:40am,out,car,1,yes,no
26/10/2022,10:40am,out,van,1,yes,no
26/10/2022,10:40am,out,car,1,yes,no
26/10/2022,10:40am,out,van,1,yes,no
26/10/2022,10:40am,out,car,3,yes,no
26/10/2022,10:40am,out,car,4,no,no
26/10/2022,10:40am,out,car,1,yes,no
26/10/2022,10:40am,out,car,1,yes,no
26/10/2022,10:40am,out,car,1,yes,no
26/10/2022,10:40am,out,bus,15%,yes,no
26/10/2022,10:45am,out,taxi ,1,yes,no
26/10/2022,10:45am,out,car,1,yes,no
26/10/2022,10:45am,out,car,1,yes,no
26/10/2022,10:45am,out,bus,2%,yes,no
26/10/2022,10:45am,out,van,1,yes,no
26/10/2022,10:45am,out,car,1,yes,no
26/10/2022,10:45am,out,taxi,1,no,no
26/10/2022,10:45am,out,car,3,yes,yes
26/10/2022,10:45am,out,car,1,yes,no
26/10/2022,10:45am,out,bus,30%,yes,no
26/10/2022,10:45am,out,car,1,yes,no
26/10/2022,10:45am,out,car,1,yes,no
26/10/2022,10:45am,out,van,3,no,no
26/10/2022,10:45am,out,van,2,yes,no
26/10/2022,10:45am,out,car,1,yes,no
26/10/2022,10:45am,out,car,2,no,no
26/10/2022,10:45am,out,bus,10%,yes,no
26/10/2022,10:45am,out,car,1,yes,no
26/10/2022,10:45am,out,car,1,yes,no
26/10/2022,10:45am,out,bicycle,1,yes,no
