Date,Time,Direction,Type,Occupancy,Electric Vehicle,AdditionalData2
25/10/2022,10.25am,in,bus,50%,no, null
25/10/2022,10.25am,in,bus,60%,no, null
25/10/2022,10.25am,in,car,4,no, null
25/10/2022,10.25am,in,car,3,no, null
25/10/2022,10.25am,in,car,3,no, null
25/10/2022,10.30am,in,car,1,no, null
25/10/2022,10.30am,in,car,2,no, null
25/10/2022,10.30am,in,car,1,yes, null
25/10/2022,10.30am,in,taxi,1,no, null
25/10/2022,10.30am,in,car,1,no, null
25/10/2022,10.30am,in,car,1,no, null
25/10/2022,10.30am,in,car,2,no, null
25/10/2022,10.30am,in,van,1,no, null
25/10/2022,10.30am,in,bicycle,1,no, null
25/10/2022,10.30am,in,bus,80%,no, null
25/10/2022,10.30am,in,other,1,no, null
25/10/2022,10.30am,in,van,2,no, null
25/10/2022,10.30am,in,car,2,no, null
25/10/2022,10.30am,in,car,2,no, null
25/10/2022,10.30am,in,car,1,no, null
25/10/2022,10.35am,in,van,1,no, null
25/10/2022,10.35am,in,car,1,no, null
25/10/2022,10.35am,in,car,3,no, null
25/10/2022,10.35am,in,bicycle,1,no, null
25/10/2022,10.35am,in,car,1,no, null
25/10/2022,10.35am,in,car,1,no, null
25/10/2022,10.35am,in,taxi,1,no, null
25/10/2022,10.35am,in,car,1,no, null
25/10/2022,10.35am,in,car,2,yes, null
25/10/2022,10.35am,in,car,2,no, null
25/10/2022,10.35am,in,car,1,no, null
25/10/2022,10.35am,in,car,2,yes, null
25/10/2022,10.35am,in,van,3,no, null
25/10/2022,10.35am,in,bus,90%,no, null
25/10/2022,10.40am,in,car,1,no, null
25/10/2022,10.40am,in,car,1,no, null
25/10/2022,10.40am,in,car,1,no, null
25/10/2022,10.40am,in,car,1,yes, null
25/10/2022,10.40am,in,car,2,no, null
25/10/2022,10.40am,in,car,1,no, null
25/10/2022,10.40am,in,car,1,no, null
25/10/2022,10.40am,in,car,2,yes, null
25/10/2022,10.40am,in,car,2,no, null
25/10/2022,10.40am,in,car,2,no, null
25/10/2022,10.40am,in,car,3,no, null
25/10/2022,10.40am,in,car,2,no, null
25/10/2022,10.40am,in,car,2,no, null
25/10/2022,10.40am,in,car,1,no, null
25/10/2022,10.40am,in,car,1,no, null
25/10/2022,10.40am,in,bicycle,1,no, null
25/10/2022,10.40am,in,motorbike,1,no, null
25/10/2022,10.40am,in,car,1,no, null
25/10/2022,10.40am,in,car,1,no, null
25/10/2022,10.40am,in,car,2,no, null
25/10/2022,10.40am,in,other,1,no, null
25/10/2022,10.40am,in,lorry,1,no, null
25/10/2022,10.40am,in,car,1,no, null
25/10/2022,10.40am,in,car,1,no, null
25/10/2022,10.40am,in,car,2,yes, null
25/10/2022,10.40am,in,car,2,no, null
25/10/2022,10.40am,in,van,2,no, null
25/10/2022,10.40am,in,car,3,no, null
25/10/2022,10.45am,in,car,2,no, null
25/10/2022,10.45am,in,car,2,no, null
25/10/2022,10.45am,in,car,2,no, null
25/10/2022,10.45am,in,bus,100%,no, null
25/10/2022,10.45am,in,bicycle,1,no, null
25/10/2022,10.45am,in,van,1,no, null
25/10/2022,10.45am,in,van,1,no, null
25/10/2022,10.45am,in,car,2,no, null
25/10/2022,10.45am,in,car,2,no, null
25/10/2022,10.45am,in,car,2,no, null
25/10/2022,10.45am,in,bicycle,1,no, null
25/10/2022,10.45am,in,bicycle,1,no, null
25/10/2022,10.45am,in,car,2,no, null
25/10/2022,10.45am,in,car,1,yes, null
25/10/2022,10.45am,in,car,4,no, null
25/10/2022,10.45am,in,car,1,yes, null
25/10/2022,10.45am,in,car,1,no, null
25/10/2022,10.45am,in,car,1,no, null
25/10/2022,10.45am,in,van,1,no, null
25/10/2022,10.45am,in,bicycle,1,no, null
25/10/2022,10.45am,in,taxi,1,no, null
25/10/2022,10.45am,in,car,2,no, null
25/10/2022,10.45am,in,car,2,no, null
25/10/2022,10.45am,in,car,2,no, null
25/10/2022,10.45am,in,car,1,no, null
25/10/2022,10.45am,in,car,1,no, null
25/10/2022,10.45am,in,car,1,no, null
25/10/2022,10.45am,in,bicycle,1,no, null
25/10/2022,10.45am,in,other,1,no, null
25/10/2022,10.45am,in,car,1,no, null
25/10/2022,10.45am,in,car,2,no, null
25/10/2022,10.45am,in,car,2,no, null
25/10/2022,10.50am,in,van,1,no, null
25/10/2022,10.50am,in,bicycle,1,no, null
25/10/2022,10.50am,in,car,1,no, null
25/10/2022,10.50am,in,car,3,yes, null
25/10/2022,10.50am,in,car,1,no, null
25/10/2022,10.50am,in,car,1,no, null
25/10/2022,10.50am,in,car,2,yes, null
25/10/2022,10.50am,in,other,1,no, null
25/10/2022,10.50am,in,car,3,no, null
25/10/2022,10.50am,in,car,1,no, null
25/10/2022,10.50am,in,bus,90%,no, null
25/10/2022,10.50am,in,bus,90%,no, null
25/10/2022,10.50am,in,car,2,no, null
25/10/2022,10.50am,in,car,4,no, null
25/10/2022,10.50am,in,car,1,yes, null
25/10/2022,10.50am,in,taxi,1,no, null
25/10/2022,10.50am,in,car,2,no, null
25/10/2022,10.50am,in,taxi,2,no, null
25/10/2022,10.50am,in,car,1,no, null
25/10/2022,10.50am,in,car,2,no, null
25/10/2022,10.50am,in,car,1,no, null
25/10/2022,10.50am,in,bicycle,1,no, null
25/10/2022,10.50am,in,bus,70%,no, null
25/10/2022,10.50am,in,car,2,no, null
25/10/2022,10.50am,in,van,1,no, null
25/10/2022,10.55am,in,car,1,yes, null
