Date,Time,Direction,Type,Occupancy,Undergraduate driver,Age identifier
26-10-2022,10.35am,in,car,1,no,63
26-10-2022,10.35am,in,car,2,yes,67
26-10-2022,10.35am,in,van,1,no,20
26-10-2022,10.35am,in,bus,75%,no,67
26-10-2022,10.35am,in,van,1,no,64
26-10-2022,10.35am,in,bus,10%,no,66
26-10-2022,10.35am,in,car,1,yes,58
26-10-2022,10.35am,in,taxi,2,no,18
26-10-2022,10.35am,in,car,1,no,19
26-10-2022,10.35am,in,car,2,no,15
26-10-2022,10.40am,in,car,1,no,69
26-10-2022,10.40am,in,lorry,1,no,19
26-10-2022,10.40am,in,car,1,no,21
26-10-2022,10.40am,in,car,1,no,12
26-10-2022,10.40am,in,car,3,no,08
26-10-2022,10.40am,in,car,1,no,70
26-10-2022,10.40am,in,car,1,no,69
26-10-2022,10.40am,in,car,1,no,17
26-10-2022,10.40am,in,van,1,no,65
26-10-2022,10.40am,in,bus,50%,no,66
26-10-2022,10.40am,in,car,1,no,15
26-10-2022,10.40am,in,e-scooter,1,yes,NA
26-10-2022,10.40am,in,taxi,1,no,67
26-10-2022,10.40am,in,car,2,no,11
26-10-2022,10.40am,in,car,1,yes,66
26-10-2022,10.40am,in,car,1,yes,65
26-10-2022,10.40am,in,car,1,no,09
26-10-2022,10.40am,in,car,1,no,59
26-10-2022,10.40am,in,car,1,no,10
26-10-2022,10.40am,in,car,1,no,14
26-10-2022,10.40am,in,bicycle,1,yes,NA
26-10-2022,10.40am,in,van,1,no,20
26-10-2022,10.40am,in,car,1,no,20
26-10-2022,10.40am,in,car,1,no,NA
26-10-2022,10.40am,in,bus,80%,no,12
26-10-2022,10.45am,in,car,1,yes,14
26-10-2022,10.45am,in,car,2,yes,07
26-10-2022,10.45am,in,bicycle,1,yes,NA
26-10-2022,10.45am,in,car,1,no,67
26-10-2022,10.45am,in,car,2,yes,65
26-10-2022,10.45am,in,car,1,yes,15
26-10-2022,10.45am,in,car,2,yes,10
26-10-2022,10.45am,in,bus,100%,no,67
26-10-2022,10.45am,in,taxi,2,no,69
26-10-2022,10.45am,in,car,2,yes,NA
26-10-2022,10.45am,in,taxi,2,no,66
26-10-2022,10.45am,in,car,1,yes,21
26-10-2022,10.45am,in,car,4,yes,08
26-10-2022,10.45am,in,taxi,2,no,69
26-10-2022,10.45am,in,bicycle,1,yes,NA
26-10-2022,10.45am,in,car,2,no,22
26-10-2022,10.45am,in,car,1,yes,17
26-10-2022,10.45am,in,car,1,yes,59
26-10-2022,10.45am,in,car,2,no,16
26-10-2022,10.45am,in,car,1,yes,10
26-10-2022,10.45am,in,bicycle,1,yes,NA
26-10-2022,10.45am,in,car,2,yes,66
26-10-2022,10.45am,in,car,1,no,66
26-10-2022,10.45am,in,car,3,yes,15
26-10-2022,10.45am,in,car,2,yes,19
26-10-2022,10.45am,in,car,2,yes,63
26-10-2022,10.45am,in,taxi,1,no,11
26-10-2022,10.50am,in,car,3,yes,08
26-10-2022,10.50am,in,car,1,yes,59
26-10-2022,10.50am,in,taxi,1,no,17
26-10-2022,10.50am,in,car,2,yes,15
26-10-2022,10.50am,in,van,1,no,15
26-10-2022,10.50am,in,car,1,no,68
26-10-2022,10.50am,in,motorbike,1,no,58
26-10-2022,10.50am,in,car,1,no,18
26-10-2022,10.50am,in,car,2,no,69
26-10-2022,10.50am,in,car,4,yes,18
26-10-2022,10.50am,in,car,2,yes,57
26-10-2022,10.50am,in,car,1,yes,12
26-10-2022,10.50am,in,motorbike,1,no,NA
26-10-2022,10.50am,in,car,1,yes,64
26-10-2022,10.50am,in,car,2,yes,64
26-10-2022,10.50am,in,car,1,no,16
26-10-2022,10.50am,in,car,1,yes,66
26-10-2022,10.50am,in,car,1,no,15
26-10-2022,10.50am,in,taxi,2,no,68
26-10-2022,10.50am,in,car,1,yes,NA
26-10-2022,10.50am,in,car,1,yes,68
26-10-2022,10.50am,in,car,1,no,05
26-10-2022,10.50am,in,car,1,yes,NA
26-10-2022,10.50am,in,car,2,yes,64
26-10-2022,10.50am,in,car,2,yes,64
26-10-2022,10.55am,in,car,3,yes,67
26-10-2022,10.55am,in,car,1,yes,13
26-10-2022,10.55am,in,car,1,yes,11
26-10-2022,10.55am,in,car,2,yes,18
26-10-2022,10.55am,in,car,3,yes,12
26-10-2022,10.55am,in,car,4,no,53
26-10-2022,10.55am,in,bicycle,1,yes,NA
26-10-2022,10.55am,in,taxi,2,no,68
26-10-2022,10.55am,in,car,2,yes,NA
26-10-2022,10.55am,in,e-scooter,1,yes,NA
26-10-2022,10.55am,in,bus,100%,no,66
26-10-2022,10.55am,in,car,2,yes,66
26-10-2022,10.55am,in,taxi,1,no,65
26-10-2022,10.55am,in,bicycle,1,yes,NA
26-10-2022,10.55am,in,car,1,no,07
26-10-2022,10.55am,in,car,2,yes,59
26-10-2022,10.55am,in,bicycle,1,yes,NA
26-10-2022,10.55am,in,car,1,yes,66
26-10-2022,10.55am,in,car,2,yes,15
26-10-2022,10.55am,in,bus,100%,no,62
26-10-2022,10.55am,in,car,2,yes,13
26-10-2022,10.55am,in,car,1,yes,07
26-10-2022,10.55am,in,car,2,yes,68
26-10-2022,10.55am,in,car,1,yes,59
26-10-2022,10.55am,in,car,2,yes,62
26-10-2022,10.55am,in,car,1,no,09
26-10-2022,10.55am,in,car,1,yes,59
26-10-2022,11.00am,in,car,2,yes,64
26-10-2022,11.00am,in,car,2,yes,12
26-10-2022,11.00am,in,bicycle,1,yes,NA
26-10-2022,11.00am,in,car,1,yes,05
26-10-2022,11.00am,in,van,1,no,20
26-10-2022,11.00am,in,car,4,yes,65
26-10-2022,11.00am,in,taxi,1,yes,68
26-10-2022,11.00am,in,car,2,yes,08
26-10-2022,11.00am,in,car,3,no,13
26-10-2022,11.00am,in,bicycle,2,yes,07
26-10-2022,11.00am,in,car,1,no,18
26-10-2022,11.00am,in,bus,100%,no,17
26-10-2022,11.00am,in,car,2,no,67
26-10-2022,11.00am,in,car,2,yes,18
26-10-2022,11.00am,in,car,2,yes,65
26-10-2022,11.00am,in,car,3,yes,15
26-10-2022,11.00am,in,car,1,no,15
26-10-2022,11.00am,in,car,1,yes,60
26-10-2022,11.05am,in,car,2,yes,18
26-10-2022,11.05am,in,lorry,2,no,17
26-10-2022,11.05am,in,car,4,no,09
26-10-2022,11.05am,in,car,2,no,07
26-10-2022,11.05am,in,van,1,no,70
26-10-2022,11.05am,in,car,1,no,68
26-10-2022,11.05am,in,bus,100%,no,66
26-10-2022,11.05am,in,taxi,1,no,18
