Date,Time,Direction,Type,Occupancy,Exhaust Pipe,Black smoke
25-10-2022,10:20am,in,car,20%,present,absent
25-10-2022,10:20am,in,bus,50%,present,absent
25-10-2022,10:20am,in,taxi,20%,present,absent
25-10-2022,10:20am,in,car,40%,present,absent
25-10-2022,10:20am,in,car,40%,present,absent
25-10-2022,10:20am,in,van,1,present,absent
25-10-2022,10:20am,in,car,40%,present,absent
25-10-2022,10:20am,in,lorry,50%,present,absent
25-10-2022,10:20am,in,car,20%,present,absent
25-10-2022,10:20am,in,car,20%,present,absent
25-10-2022,10:20am,in,car,40%,present,absent
25-10-2022,10:20am,in,car,20%,present,absent
25-10-2022,10:20am,in,car,20%,present,absent
25-10-2022,10:20am,in,car,40%,present,absent
25-10-2022,10:20am,in,bicycle,1,absent,absent
25-10-2022,10:20am,in,bus,10%,present,absent
25-10-2022,10:20am,in,taxi,20%,present,absent
25-10-2022,10:20am,in,van,1,present,absent
25-10-2022,10:20am,in,car,60%,present,absent
25-10-2022,10:20am,in,car,20%,present,absent
25-10-2022,10:20am,in,bus,50%,present,absent
25-10-2022,10:20am,in,car,40%,present,absent
25-10-2022,10:20am,in,car,20%,present,absent
25-10-2022,10:20am,in,bicycle,1,absent,absent
25-10-2022,10:20am,in,car,20%,present,absent
25-10-2022,10:20am,in,car,20%,present,absent
25-10-2022,10:25am,in,car,20%,present,absent
25-10-2022,10:25am,in,car,40%,present,absent
25-10-2022,10:25am,in,car,20%,present,absent
25-10-2022,10:25am,in,motorbike,1,present,absent
25-10-2022,10:25am,in,car,60%,present,absent
25-10-2022,10:25am,in,car,40%,present,absent
25-10-2022,10:25am,in,car,80%,present,absent
25-10-2022,10:25am,in,car,20%,present,absent
25-10-2022,10:25am,in,car,20%,present,absent
25-10-2022,10:25am,in,bus,50%,present,absent
25-10-2022,10:25am,in,car,80%,present,absent
25-10-2022,10:25am,in,car,20%,present,absent
25-10-2022,10:30am,in,car,40%,present,absent
25-10-2022,10:30am,in,car,40%,present,absent
25-10-2022,10:30am,in,van,20%,present,absent
25-10-2022,10:30am,in,lorry,50%,present,absent
25-10-2022,10:30am,in,bus,50%,present,absent
25-10-2022,10:30am,in,car,20%,absent,absent
25-10-2022,10:30am,in,car,40%,present,absent
25-10-2022,10:30am,in,car,20%,present,absent
25-10-2022,10:30am,in,car,20%,present,absent
25-10-2022,10:30am,in,car,40%,present,absent
25-10-2022,10:30am,in,car,60%,present,absent
25-10-2022,10:30am,in,car,20%,absent,absent
25-10-2022,10:30am,in,car,20%,absent,absent
25-10-2022,10:30am,in,van,50%,present,absent
25-10-2022,10:30am,in,car,40%,present,absent
25-10-2022,10:30am,in,car,20%,present,absent
25-10-2022,10:30am,in,car,40%,present,absent
25-10-2022,10:30am,in,bicycle,1,absent,absent
25-10-2022,10:30am,in,car,40%,present,absent
25-10-2022,10:30am,in,car,20%,present,absent
25-10-2022,10:30am,in,car,20%,present,absent
25-10-2022,10:30am,in,car,20%,absent,absent
25-10-2022,10:30am,in,car,20%,present,absent
25-10-2022,10:30am,in,car,20%,present,absent
25-10-2022,10:35am,in,car,40%,present,absent
25-10-2022,10:35am,in,van,1,present,absent
25-10-2022,10:35am,in,car,60%,present,absent
25-10-2022,10:35am,in,car,60%,present,absent
25-10-2022,10:35am,in,car,20%,present,absent
25-10-2022,10:35am,in,car,40%,present,absent
25-10-2022,10:35am,in,bicycle,1,absent,absent
25-10-2022,10:35am,in,car,20%,present,absent
25-10-2022,10:35am,in,bus,25%,present,absent
25-10-2022,10:35am,in,lorry,1,present,absent
25-10-2022,10:35am,in,bus,50%,present,absent
25-10-2022,10:35am,in,car,60%,present,absent
25-10-2022,10:35am,in,car,40%,present,absent
25-10-2022,10:35am,in,car,20%,present,absent
25-10-2022,10:35am,in,car,40%,present,absent
25-10-2022,10:35am,in,car,40%,present,absent
25-10-2022,10:35am,in,car,40%,present,absent
25-10-2022,10:35am,in,car,40%,present,absent
25-10-2022,10:35am,in,car,20%,absent,absent
25-10-2022,10:35am,in,car,20%,present,absent
25-10-2022,10:40am,in,bus,50%,present,absent
25-10-2022,10:40am,in,car,20%,present,absent
25-10-2022,10:40am,in,car,20%,present,absent
25-10-2022,10:40am,in,car,20%,present,absent
25-10-2022,10:40am,in,taxi,20%,present,absent
25-10-2022,10:40am,in,car,20%,absent,absent
25-10-2022,10:40am,in,van,50%,present,absent
25-10-2022,10:40am,in,car,20%,present,absent
25-10-2022,10:40am,in,car,20%,present,absent
25-10-2022,10:40am,in,car,40%,absent,absent
25-10-2022,10:40am,in,car,20%,present,absent
25-10-2022,10:40am,in,van,50%,present,absent
25-10-2022,10:40am,in,bicycle,1,absent,absent
25-10-2022,10:40am,in,car,20%,present,absent
25-10-2022,10:40am,in,bus,1,present,absent
25-10-2022,10:40am,in,car,80%,present,absent
25-10-2022,10:40am,in,van,1,present,absent
25-10-2022,10:40am,in,car,40%,absent,absent
25-10-2022,10:40am,in,car,40%,present,absent
25-10-2022,10:40am,in,car,20%,present,absent
25-10-2022,10:40am,in,car,20%,absent,absent
25-10-2022,10:40am,in,car,20%,present,absent
25-10-2022,10:45am,in,van,1,present,absent
25-10-2022,10:45am,in,lorry,50%,present,absent
25-10-2022,10:45am,in,car,20%,present,absent
25-10-2022,10:45am,in,car,60%,present,absent
25-10-2022,10:45am,in,car,60%,present,absent
25-10-2022,10:45am,in,car,60%,present,absent
25-10-2022,10:45am,in,car,40%,present,absent
25-10-2022,10:45am,in,car,40%,present,absent
25-10-2022,10:45am,in,car,40%,present,absent
25-10-2022,10:45am,in,car,20%,present,absent
25-10-2022,10:45am,in,car,20%,present,absent
25-10-2022,10:45am,in,car,40%,present,absent
25-10-2022,10:45am,in,car,20%,present,absent
25-10-2022,10:45am,in,taxi,20%,present,absent
25-10-2022,10:45am,in,car,20%,absent,absent
25-10-2022,10:45am,in,car,20%,absent,absent
25-10-2022,10:45am,in,car,40%,absent,absent
25-10-2022,10:45am,in,car,40%,present,absent
25-10-2022,10:45am,in,car,20%,absent,absent
25-10-2022,10:45am,in,car,40%,present,absent
25-10-2022,10:45am,in,car,40%,present,absent
25-10-2022,10:45am,in,van,50%,present,absent
25-10-2022,10:45am,in,car,40%,present,absent
25-10-2022,10:45am,in,car,40%,present,absent
25-10-2022,10:45am,in,car,20%,present,absent
25-10-2022,10:50am,in,bus,1,present,absent
