Date,Time,Direction,Type,Occupancy,Turn
27-10-2022,10.28am,out,car,1,right
27-10-2022,10.29am,out,car,1,left
27-10-2022,10.29am,out,car,1,left
27-10-2022,10.29am,out,bus,10%,right
27-10-2022,10.29am,out,car,3,right
27-10-2022,10.29am,out,car,1,right
27-10-2022,10.29am,out,car,2,left
27-10-2022,10.29am,out,car,1,right
27-10-2022,10.30am,out,car,1,right
27-10-2022,10.30am,out,car,1,right
27-10-2022,10.31am,out,car,2,left
27-10-2022,10.31am,out,van,1,right
27-10-2022,10.31am,out,bus,5%,right
27-10-2022,10.32am,out,van,1,left
27-10-2022,10.33am,out,car,1,right
27-10-2022,10.33am,out,car,1,left
27-10-2022,10.33am,out,car,2,right
27-10-2022,10.34am,out,bus,5%,right
27-10-2022,10.34am,out,car,2,right
27-10-2022,10.34am,out,car,1,right
27-10-2022,10.35am,out,car,1,right
27-10-2022,10.35am,out,van,1,left
27-10-2022,10.35am,out,van,1,left
27-10-2022,10.35am,out,van,1,left
27-10-2022,10.35am,out,car,4,right
27-10-2022,10.35am,out,car,2,right
27-10-2022,10.36am,out,car,1,left
27-10-2022,10.36am,out,taxi,1,right
27-10-2022,10.36am,out,van,1,left
27-10-2022,10.36am,out,car,4,left
27-10-2022,10.36am,out,car,2,left
27-10-2022,10.37am,out,taxi,1,left
27-10-2022,10.37am,out,car,3,right
27-10-2022,10.38am,out,bus,10%,right
27-10-2022,10.38am,out,taxi,1,right
27-10-2022,10.39am,out,bus,1%,right
27-10-2022,10.39am,out,van,1,left
27-10-2022,10.39am,out,car,2,right
27-10-2022,10.39am,out,car,1,right
27-10-2022,10.39am,out,car,1,right
27-10-2022,10.40am,out,bus,5%,right
27-10-2022,10.41am,out,car,1,right
27-10-2022,10.41am,out,car,1,left
27-10-2022,10.41am,out,car,1,left
27-10-2022,10.41am,out,car,1,left
27-10-2022,10.41am,out,van,1,right
27-10-2022,10.42am,out,taxi,1,right
27-10-2022,10.42am,out,car,1,right
27-10-2022,10.42am,out,car,1,right
27-10-2022,10.43am,out,car,1,right
27-10-2022,10.44am,out,car,2,left
27-10-2022,10.45am,out,car,2,right
27-10-2022,10.45am,out,taxi,1,right
27-10-2022,10.46am,out,lorry,1,right
27-10-2022,10.46am,out,bus,5%,right
27-10-2022,10.47am,out,car,1,right
27-10-2022,10.47am,out,car,1,right
27-10-2022,10.47am,out,taxi,1,right
27-10-2022,10.48am,out,bus,10%,right
27-10-2022,10.48am,out,lorry,1,left
27-10-2022,10.48am,out,car,2,right
27-10-2022,10.48am,out,lorry,1,right
27-10-2022,10.48am,out,car,1,right
27-10-2022,10.48am,out,car,1,right
27-10-2022,10.48am,out,car,1,right
27-10-2022,10.49am,out,van,1,right
27-10-2022,10.49am,out,car,1,right
27-10-2022,10.50am,out,car,1,right
27-10-2022,10.52am,out,bus,5%,right
27-10-2022,10.52am,out,bus,5%,right
27-10-2022,10.53am,out,car,1,left
27-10-2022,10.53am,out,car,2,right
27-10-2022,10.54am,out,van,2,left
27-10-2022,10.55am,out,car,2,right
27-10-2022,10.55am,out,lorry,1,left
27-10-2022,10.55am,out,car,1,right
27-10-2022,10.56am,out,car,2,left
27-10-2022,10.57am,out,bicycle,1,right
27-10-2022,10.57am,out,car,3,right
27-10-2022,10.57am,out,car,1,right
27-10-2022,10.58am,out,van,1,left
27-10-2022,10.58am,out,car,1,left
