,Date,Time,Direction,Type,Occupancy,CarType,DirectionofExit
0,25/10/22,10:30am,Out,car,1,conventional,east
1,25/10/22,10:30am,Out,taxi,3,conventional,east
2,25/10/22,10:31am,Out,taxi,2,conventional,west
3,25/10/22,10:31am,Out,car,4,conventional,east
4,25/10/22,10:31am,Out,car,1,conventional,east
5,25/10/22,10:32am,Out,car,1,conventional,west
6,25/10/22,10:33am,Out,van,1,conventional,west
7,25/10/22,10:33am,Out,lorry,1,conventional,west
8,25/10/22,10:33am,Out,car,2,electric,east
9,25/10/22,10:34am,Out,car,1,conventional,west
10,25/10/22,10:34am,Out,car,1,conventional,east
11,25/10/22,10:34am,Out,car,1,electric,east
12,25/10/22,10:35am,Out,car,3,conventional,east
13,25/10/22,10:36am,Out,car,2,conventional,east
14,25/10/22,10:36am,Out,car,1,conventional,west
15,25/10/22,10:37am,Out,taxi,4,conventional,east
16,25/10/22,10:39am,Out,bus,20%,conventional,east
17,25/10/22,10:40am,Out,bus,20%,conventional,east
18,25/10/22,10:40am,Out,bus,10%,conventional,east
19,25/10/22,10:40am,Out,car,3,electric,east
20,25/10/22,10:41am,Out,bus,10%,electric,east
21,25/10/22,10:41am,Out,van,1,conventional,east
22,25/10/22,10:42am,Out,bicycle,1,electric,east
23,25/10/22,10:42am,Out,car,1,conventional,east
24,25/10/22,10:42am,Out,car,1,conventional,west
25,25/10/22,10:43am,Out,car,2,electric,east
26,25/10/22,10:44am,Out,lorry,1,conventional,east
27,25/10/22,10:45am,Out,taxi,3,conventional,east
28,25/10/22,10:45am,Out,taxi,2,conventional,east
29,25/10/22,10:45am,Out,car,1,conventional,west
30,25/10/22,10:46am,Out,car,1,electric,west
31,25/10/22,10:46am,Out,car,1,conventional,west
32,25/10/22,10:47am,Out,car,2,conventional,east
33,25/10/22,10:47am,Out,car,2,electric,west
34,25/10/22,10:47am,Out,car,1,conventional,east
35,25/10/22,10:48am,Out,bus,20%,conventional,east
36,25/10/22,10:49am,Out,bus,0%,conventional,east
37,25/10/22,10:49am,Out,bus,15%,conventional,east
38,25/10/22,10:49am,Out,car,2,electric,east
39,25/10/22,10:49am,Out,bus,50%,conventional,east
40,25/10/22,10:50am,Out,car,3,electric,east
41,25/10/22,10:51am,Out,car,1,electric,east
42,25/10/22,10:53am,Out,car,1,conventional,east
43,25/10/22,10:53am,Out,car,1,electric,east
44,25/10/22,10:53am,Out,taxi,2,conventional,east
45,25/10/22,10:54am,Out,lorry,1,conventional,east
46,25/10/22,10:54am,Out,car,2,conventional,east
47,25/10/22,10:55am,Out,taxi,1,conventional,east
48,25/10/22,10:56am,Out,lorry,1,electric,west
49,25/10/22,10:56am,Out,car,1,conventional,east
50,25/10/22,10:56am,Out,car,3,conventional,west
51,25/10/22,10:57am,Out,car,4,conventional,west
52,25/10/22,10:57am,Out,car,3,electric,east
53,25/10/22,10:57am,Out,car,1,electric,west
