Date,Time,Direction,Type,Occupancy,Electric / Non-Electric Vehicle,Gender of the driver
26-10-2022,9.20am,out,bus,0%,non-electric,male
26-10-2022,9.20am,out,car,1,non-electric,male
26-10-2022,9.20am,out,car,2,non-electric,male
26-10-2022,9.20am,out,car,1,non-electric,male
26-10-2022,9.20am,out,bus,10%,non-electric,male
26-10-2022,9.25am,out,motorbike,1,non-electric,male
26-10-2022,9.25am,out,car,1,non-electric,female
26-10-2022,9.25am,out,bus,0%,non-electric,male
26-10-2022,9.25am,out,car,2,non-electric,female
26-10-2022,9.25am,out,car,2,electric,female
26-10-2022,9.25am,out,van,2,non-electric,male
26-10-2022,9.25am,out,car,1,non-electric,female
26-10-2022,9.25am,out,car,1,non-electric,female
26-10-2022,9.25am,out,car,2,non-electric,male
26-10-2022,9.30am,out,van,1,non-electric,male
26-10-2022,9.30am,out,car,1,non-electric,male
26-10-2022,9.30am,out,bicycle,1,non-electric,male
26-10-2022,9.30am,out,bus,0%,non-electric,male
26-10-2022,9.30am,out,car,1,electric,female
26-10-2022,9.35am,out,van,1,non-electric,female
26-10-2022,9.35am,out,car,1,non-electric,female
26-10-2022,9.35am,out,car,1,non-electric,female
26-10-2022,9.35am,out,car,2,non-electric,male
26-10-2022,9.35am,out,bus,10%,non-electric,male
26-10-2022,9.35am,out,car,1,non-electric,male
26-10-2022,9.40am,out,bus,0%,non-electric,male
26-10-2022,9.40am,out,car,2,non-electric,female
26-10-2022,9.40am,out,car,1,non-electric,male
26-10-2022,9.40am,out,bus,0%,non-electric,male
26-10-2022,9.40am,out,car,2,electric,female
26-10-2022,9.40am,out,car,1,non-electric,male
26-10-2022,9.40am,out,car,1,non-electric,female
26-10-2022,9.40am,out,car,1,non-electric,male
26-10-2022,9.40am,out,bus,10%,non-electric,male
26-10-2022,9.40am,out,car,1,non-electric,male
26-10-2022,9.40am,out,car,1,non-electric,male
26-10-2022,9.40am,out,car,1,non-electric,female
26-10-2022,9.45am,out,car,2,electric,male
26-10-2022,9.45am,out,car,1,non-electric,male
26-10-2022,9.45am,out,bus,0%,non-electric,male
26-10-2022,9.45am,out,car,2,non-electric,female
26-10-2022,9.45am,out,car,2,non-electric,male
26-10-2022,9.45am,out,car,2,non-electric,female
26-10-2022,9.45am,out,car,1,non-electric,male
26-10-2022,9.45am,out,van,1,non-electric,male
26-10-2022,9.45am,out,car,2,electric,female
26-10-2022,9.45am,out,car,1,electric,male
26-10-2022,9.45am,out,van,1,non-electric,male
26-10-2022,9.45am,out,bus,10%,non-electric,female
26-10-2022,9.50am,out,car,1,non-electric,male
26-10-2022,9.50am,out,lorry,2,non-electric,male
26-10-2022,9.50am,out,bus,0%,non-electric,male
