Date,Time,Direction,Type,Occupancy,Electric,AdditionalData2
26/10/2022,10:00 AM,in,car,1,No,
26/10/2022,10:00 AM,in,car,1,No,
26/10/2022,10:00 AM,in,van,1,No,
26/10/2022,10:00 AM,in,car,2,No,
26/10/2022,10:00 AM,in,car,1,No,
26/10/2022,10:00 AM,in,car,1,No,
26/10/2022,10:00 AM,in,car,2,No,
26/10/2022,10:00 AM,in,bus,20%,No,
26/10/2022,10:00 AM,in,car,1,No,
26/10/2022,10:00 AM,in,car,1,No,
26/10/2022,10:00 AM,in,car,2,No,
26/10/2022,10:00 AM,in,car,1,No,
26/10/2022,10:00 AM,in,car,1,No,
26/10/2022,10:00 AM,in,bus,20%,No,
26/10/2022,10:00 AM,in,car,1,No,
26/10/2022,10:00 AM,in,taxi,1,No,
26/10/2022,10:00 AM,in,car,1,No,
26/10/2022,10:00 AM,in,car,1,No,
26/10/2022,10:00 AM,in,bike,1,No,
26/10/2022,10:00 AM,in,car,1,No,
26/10/2022,10:00 AM,in,car,1,No,
26/10/2022,10:00 AM,in,car,1,No,
26/10/2022,10:00 AM,in,bus,40%,No,
26/10/2022,10:00 AM,in,car,3,No,
26/10/2022,10:00 AM,in,car,2,No,
26/10/2022,10:00 AM,in,car,1,No,
26/10/2022,10:00 AM,in,van,2,No,
26/10/2022,10:00 AM,in,car,2,No,
26/10/2022,10:05 AM,in,car,1,No,
26/10/2022,10:05 AM,in,car,1,No,
26/10/2022,10:05 AM,in,car,2,No,
26/10/2022,10:05 AM,in,car,1,No,
26/10/2022,10:05 AM,in,car,1,No,
26/10/2022,10:05 AM,in,taxi,2,No,
26/10/2022,10:05 AM,in,car,4,No,
26/10/2022,10:05 AM,in,van,1,No,
26/10/2022,10:05 AM,in,car,1,No,
26/10/2022,10:05 AM,in,bike,1,No,
26/10/2022,10:05 AM,in,bus,10%,No,
26/10/2022,10:05 AM,in,taxi,2,No,
26/10/2022,10:05 AM,in,bus,10%,No,
26/10/2022,10:05 AM,in,bus,5%,No,
26/10/2022,10:05 AM,in,car,3,No,
26/10/2022,10:05 AM,in,car,2,No,
26/10/2022,10:05 AM,in,taxi,2,No,
26/10/2022,10:05 AM,in,car,1,No,
26/10/2022,10:05 AM,in,car,1,No,
26/10/2022,10:10 AM,in,car,2,No,
26/10/2022,10:10 AM,in,car,1,No,
26/10/2022,10:10 AM,in,van,1,No,
26/10/2022,10:10 AM,in,car,1,No,
26/10/2022,10:10 AM,in,car,1,No,
26/10/2022,10:10 AM,in,car,1,No,
26/10/2022,10:10 AM,in,bus,30%,No,
26/10/2022,10:10 AM,in,car,1,No,
26/10/2022,10:10 AM,in,car,1,Yes,
26/10/2022,10:10 AM,in,bus,5%,No,
26/10/2022,10:10 AM,in,car,2,No,
26/10/2022,10:10 AM,in,car,1,No,
26/10/2022,10:10 AM,in,car,4,No,
26/10/2022,10:10 AM,in,car,1,No,
26/10/2022,10:10 AM,in,car,1,No,
26/10/2022,10:10 AM,in,car,1,No,
26/10/2022,10:10 AM,in,car,1,No,
26/10/2022,10:10 AM,in,car,1,No,
26/10/2022,10:15 AM,in,car,2,No,
26/10/2022,10:15 AM,in,car,2,No,
26/10/2022,10:15 AM,in,car,1,No,
26/10/2022,10:15 AM,in,car,1,No,
26/10/2022,10:15 AM,in,car,1,No,
26/10/2022,10:15 AM,in,car,1,No,
26/10/2022,10:15 AM,in,car,2,Yes,
26/10/2022,10:15 AM,in,car,1,No,
26/10/2022,10:15 AM,in,car,2,No,
