Date,Time ( in AM),Direction of Vehicle,Type of Vehicle,Occupancy,Driver's Gender,Colour of Vehicle
26-10-2022,10:30,Out,Taxi,1,Male,Red
26-10-2022,10:30,Out,Car,1,Female,Grey
26-10-2022,10:31,Out,Van,1,Male,White
26-10-2022,10:32,Out,Taxi,1,Male,White
26-10-2022,10:33,Out,Car,3,Male,Yellow
26-10-2022,10:35,Out,Car,3,Female,Black
26-10-2022,10:35,Out,Car,1,Male,Black
26-10-2022,10:36,Out,Truck,1,Male,White
26-10-2022,10:38,Out,Car,2,Male,Black
26-10-2022,10:39,Out,Bus,20%,Male,Blue
26-10-2022,10:39,Out,Taxi,1,Male,White
26-10-2022,10:39,Out,Taxi,1,Male,Grey
26-10-2022,10:40,Out,Van,3,Male,White
26-10-2022,10:41,Out,Car,1,Male,Black
26-10-2022,10:42,Out,Car,2,Male,Grey
26-10-2022,10:42,Out,Car,1,Female,Black
26-10-2022,10:43,Out,Car,2,Male,Grey
26-10-2022,10:43,Out,Bus,30%,Male,Blue
26-10-2022,10:43,Out,Car,1,Female,Red
26-10-2022,10:43,Out,Taxi,1,Female,Black
26-10-2022,10:44,Out,Bus,10%,Male,Grey
26-10-2022,10:44,Out,Car,1,Female,White
26-10-2022,10:45,Out,Taxi,1,Male,Grey
26-10-2022,10:45,Out,Car,1,Male,Grey
26-10-2022,10:46,Out,Car,2,Female,Black
26-10-2022,10:46,Out,Car,2,Female,Black
26-10-2022,10:47,Out,Car,4,Male,White
26-10-2022,10:47,Out,Car,1,Male,Black
26-10-2022,10:47,Out,Taxi,1,Male,Grey
26-10-2022,10:48,Out,Car,1,Male,Grey
26-10-2022,10:48,Out,Van,1,Male,White
26-10-2022,10:49,Out,Car,2,Female,Black
26-10-2022,10:49,Out,Taxi,1,Male,Black
26-10-2022,10:50,Out,Bus,20%,Female,Blue
26-10-2022,10:51,Out,Car,2,Male,Black
26-10-2022,10:52,Out,Car,1,Female,Black
26-10-2022,10:52,Out,Car,1,Male,Red
26-10-2022,10:53,Out,Car,1,Female,Grey
26-10-2022,10:53,Out,Bus,20%,Male,Blue
26-10-2022,10:53,Out,Van,1,Male,Black
26-10-2022,10:54,Out,Car,1,Male,White
26-10-2022,10:54,Out,Car,1,Male,Black
26-10-2022,10:54,Out,Taxi,1,Male,White
26-10-2022,10:54,Out,Car,1,Male,Grey
26-10-2022,10:54,Out,Bus,100%,Male,Blue
26-10-2022,10:55,Out,Car,1,Male,Grey
26-10-2022,10:55,Out,Car,2,Male,Blue
26-10-2022,10:56,Out,Van,1,Male,Grey
26-10-2022,10:56,Out,Car,1,Male,White
26-10-2022,10:56,Out,Car,3,Male,Blue
26-10-2022,10:56,Out,Car,3,Male,Black
26-10-2022,10:57,Out,Taxi,1,Male,Grey
26-10-2022,10:57,Out,Bus,30%,Male,Blue
26-10-2022,10:57,Out,Car,2,Female,Blue
26-10-2022,10:57,Out,Van,1,Male,White
26-10-2022,10:58,Out,Motorbike,1,Male,Black
26-10-2022,10:58,Out,Car,4,Male,Grey
26-10-2022,10:58,Out,Car,2,Male,Red
26-10-2022,10:58,Out,Car,2,Female,Grey
26-10-2022,10:59,Out,Car,1,Female,White
26-10-2022,10:59,Out,Van,1,Male,Yellow
26-10-2022,10:59,Out,Car,3,Female,White
26-10-2022,10:59,Out,Car,1,Male,White
26-10-2022,10:59,Out,Bus,50%,Female,Black
26-10-2022,10:59,Out,Van,1,Female,Grey
26-10-2022,11:00,Out,Car,2,Female,Red
26-10-2022,11:00,Out,Car,4,Female,Red
26-10-2022,11:00,Out,Car,2,Male,White
26-10-2022,11:00,Out,Taxi,1,Female,Black
