Date, Time, Direction, Type, Occupancy,Engine Type, Vehicle Age
26-10-2022,10.31am, in,bus,40%,Gasoline,2017
26-10-2022,10.31am, in,car,1,Electrics,2019
26-10-2022,10.31am, in,car,1,Electrics,2015
26-10-2022,10.31am, in,lorry,2,Gasoline,2019
26-10-2022,10.31am, in,car,1,Gasoline,2021
26-10-2022,10.31am, in,car,2,Gasoline,2012
26-10-2022,10.31am, in,car,2,Electrics,2023
26-10-2022,10.31am, in,car,1,Gasoline,2010
26-10-2022,10.31am, in,car,1,Electrics,2019
26-10-2022,10.31am, in,car,2,Electrics,2017
26-10-2022,10.31am, in,car,1,Electrics,2017
26-10-2022,10.36am, in,bus,50%,Gasoline,2015
26-10-2022,10.36am, in,van,2,Gasoline,2007
26-10-2022,10.36am, in,car,2,Gasoline,2009
26-10-2022,10.36am, in,car,1,Gasoline,2010
26-10-2022,10.36am, in,van,1,Electrics,2014
26-10-2022,10.36am, in,van,2,Gasoline,2020
26-10-2022,10.36am, in,car,1,Electrics,2020
26-10-2022,10.36am, in,car,1,Gasoline,2011
26-10-2022,10.36am, in,bus,100%,Gasoline,2012
26-10-2022,10.36am, in,car,2,Gasoline,2004
26-10-2022,10.36am, in,car,2,Electrics,2017
26-10-2022,10.36am, in,bicycle,1,No Engine,0
26-10-2022,10.36am, in,car,1,Gasoline,2017
26-10-2022,10.36am, in,car,1,Gasoline,2015
26-10-2022,10.36am, in,car,1,Electrics,2018
26-10-2022,10.36am, in,car,2,Gasoline,2010
26-10-2022,10.36am, in,bus,100%,Gasoline,2017
26-10-2022,10.36am, in,car,2,Electrics,2019
26-10-2022,10.36am, in,taxi,2,Gasoline,2016
26-10-2022,10.36am, in,van,2,Gasoline,2008
26-10-2022,10.36am, in,taxi,2,Gasoline,2019
26-10-2022,10.36am, in,bicycle,1,No Engine,0
26-10-2022,10.36am, in,car,2,Gasoline,2017
26-10-2022,10.41am, in,car,1,Gasoline,2009
26-10-2022,10.41am, in,taxi,2,Gasoline,2016
26-10-2022,10.41am, in,car,1,Gasoline,2010
26-10-2022,10.41am, in,bus,40%,Gasoline,2016
26-10-2022,10.41am, in,car,2,Gasoline,2019
26-10-2022,10.41am, in,car,1,Gasoline,2013
26-10-2022,10.41am, in,taxi,2,Gasoline,2011
26-10-2022,10.41am, in,car,1,Gasoline,2008
26-10-2022,10.41am, in,car,1,Gasoline,2009
26-10-2022,10.41am, in,car,1,Electrics,2017
26-10-2022,10.41am, in,car,1,Gasoline,2015
26-10-2022,10.41am, in,car,2,Gasoline,2015
26-10-2022,10.41am, in,car,1,Electrics,2018
26-10-2022,10.41am, in,car,2,Gasoline,2008
26-10-2022,10.41am, in,car,1,Gasoline,2006
26-10-2022,10.41am, in,car,1,Electrics,2019
26-10-2022,10.41am, in,car,2,Electrics,2018
26-10-2022,10.41am, in,car,1,Electrics,2007
26-10-2022,10.41am, in,car,1,Gasoline,2012
26-10-2022,10.41am, in,motorbike,1,Gasoline,2022
26-10-2022,10.41am, in,car,1,Electrics,2014
26-10-2022,10.41am, in,van,1,Gasoline,2014
26-10-2022,10.41am, in,car,1,Gasoline,2016
26-10-2022,10.41am, in,car,1,Electrics,2015
26-10-2022,10.46am, in,car,1,Gasoline,2018
26-10-2022,10.46am, in,bicycle,2,No Engine,0
26-10-2022,10.46am, in,car,1,Electrics,2018
26-10-2022,10.46am, in,car,1,Gasoline,2005
26-10-2022,10.46am, in,car,2,Gasoline,2014
26-10-2022,10.46am, in,car,1,Gasoline,2014
26-10-2022,10.46am, in,car,2,Gasoline,2007
26-10-2022,10.46am, in,car,2,Electrics,2017
26-10-2022,10.46am, in,car,1,Gasoline,2013
26-10-2022,10.46am, in,car,1,Gasoline,2011
26-10-2022,10.46am, in,car,1,Gasoline,2018
26-10-2022,10.46am, in,car,2,Gasoline,2012
26-10-2022,10.46am, in,bicycle,1,No Engine,0
26-10-2022,10.46am, in,car,1,Electrics,2018
26-10-2022,10.46am, in,van,2,Gasoline,2017
26-10-2022,10.46am, in,car,1,Gasoline,2011
26-10-2022,10.46am, in,bus,100%,Gasoline,2016
26-10-2022,10.46am, in,car,1,Gasoline,2015
26-10-2022,10.46am, in,van,2,Gasoline,2016
26-10-2022,10.46am, in,escooter,1,Electrics,0
26-10-2022,10.46am, in,bicycle,1,No Engine,0
26-10-2022,10.51am, in,car,1,Gasoline,2007
26-10-2022,10.51am, in,motorbike,1,Gasoline,2009
26-10-2022,10.51am, in,van,2,Gasoline,2018
26-10-2022,10.51am, in,car,2,Electrics,2016
26-10-2022,10.51am, in,car,1,Gasoline,2015
26-10-2022,10.51am, in,bus,100%,Gasoline,2012
26-10-2022,10.51am, in,car,2,Gasoline,2007
26-10-2022,10.51am, in,car,1,Electrics,2016
26-10-2022,10.51am, in,car,1,Gasoline,2009
26-10-2022,10.51am, in,van,2,Gasoline,2012
26-10-2022,10.51am, in,car,1,Gasoline,2009
26-10-2022,10.51am, in,car,1,Electrics,2018
26-10-2022,10.51am, in,car,1,Gasoline,2009
26-10-2022,10.51am, in,car,2,Electrics,2014
26-10-2022,10.51am, in,car,1,Gasoline,2010
26-10-2022,10.51am, in,car,2,Electrics,2018
26-10-2022,10.51am, in,car,1,Gasoline,2012
26-10-2022,10.51am, in,bicycle,1,No Engine,0
26-10-2022,10.51am, in,car,1,Gasoline,2005
26-10-2022,10.51am, in,van,1,Electrics,2020
26-10-2022,10.51am, in,car,3,Electrics,2015
26-10-2022,10.51am, in,taxi,3,Gasoline,2018
26-10-2022,10.51am, in,car,2,Gasoline,2008
26-10-2022,10.51am, in,car,3,Electrics,2017
26-10-2022,10.56am, in,van,3,Gasoline,2013
26-10-2022,10.56am, in,bicycle,1,No Engine,0
26-10-2022,10.56am, in,car,2,Gasoline,2015
26-10-2022,10.56am, in,car,2,Gasoline,2016
26-10-2022,10.56am, in,car,1,Gasoline,2007
26-10-2022,10.56am, in,bus,100%,Gasoline,2017
26-10-2022,10.56am, in,car,2,Electrics,2017
26-10-2022,10.56am, in,car,2,Electrics,2018
26-10-2022,10.56am, in,car,1,Gasoline,2015
26-10-2022,10.56am, in,car,3,Electrics,2015
26-10-2022,11.01am, in,bicycle,1,No Engine,0
