Date,Time,Direction,Type,Occupancy
27/10/2022,10:30,In,Car,1
27/10/2022,10:30,In,Car,1
27/10/2022,10:30,In,Car,1
27/10/2022,10:30,In,Car,1
27/10/2022,10:30,In,Car,1
27/10/2022,10:30,In,Car,1
27/10/2022,10:30,In,Car,1
27/10/2022,10:30,In,Car,1
27/10/2022,10:30,In,Car,1
27/10/2022,10:30,In,Car,1
27/10/2022,10:30,In,Car,1
27/10/2022,10:30,In,Car,1
27/10/2022,10:30,In,Car,2
27/10/2022,10:30,In,Car,2
27/10/2022,10:30,In,Car,2
27/10/2022,10:30,In,Car,2
27/10/2022,10:30,In,Car,2
27/10/2022,10:30,In,Car,2
27/10/2022,10:30,In,Car,2
27/10/2022,10:30,In,Car,2
27/10/2022,10:30,In,Car,2
27/10/2022,10:30,In,Car,2
27/10/2022,10:30,In,Car,2
27/10/2022,10:30,In,Car,2
27/10/2022,10:30,In,Car,3
27/10/2022,10:30,In,Car,3
27/10/2022,10:30,In,Car,3
27/10/2022,10:30,In,Car,3
27/10/2022,10:30,In,Bus,80%
27/10/2022,10:30,In,Bus,80%
27/10/2022,10:30,In,Bus,100%
27/10/2022,10:30,In,Lorry,1
27/10/2022,10:30,Out,Car,1
27/10/2022,10:30,Out,Car,1
27/10/2022,10:30,Out,Car,1
27/10/2022,10:30,Out,Car,1
27/10/2022,10:30,Out,Car,1
27/10/2022,10:30,Out,Car,2
27/10/2022,10:30,Out,Car,2
27/10/2022,10:30,Out,Car,2
27/10/2022,10:30,Out,Car,2
27/10/2022,10:30,Out,Bus,0%
27/10/2022,10:30,Out,Bus,20%
27/10/2022,10:35,In,Car,1
27/10/2022,10:35,In,Car,1
27/10/2022,10:35,In,Car,1
27/10/2022,10:35,In,Car,1
27/10/2022,10:35,In,Car,1
27/10/2022,10:35,In,Car,1
27/10/2022,10:35,In,Car,1
27/10/2022,10:35,In,Car,1
27/10/2022,10:35,In,Car,1
27/10/2022,10:35,In,Car,1
27/10/2022,10:35,In,Car,2
27/10/2022,10:35,In,Car,2
27/10/2022,10:35,In,Car,2
27/10/2022,10:35,In,Car,2
27/10/2022,10:35,In,Car,2
27/10/2022,10:35,In,Car,2
27/10/2022,10:35,In,Car,2
27/10/2022,10:35,In,Car,3
27/10/2022,10:35,In,Car,3
27/10/2022,10:35,In,Car,3
27/10/2022,10:35,In,Car,4
27/10/2022,10:35,In,Car,4
27/10/2022,10:35,In,Car,4
27/10/2022,10:35,In,Car,5
27/10/2022,10:35,In,Bus,60%
27/10/2022,10:35,In,Bus,80%
27/10/2022,10:35,In,Bus,80%
27/10/2022,10:35,In,Bus,100%
27/10/2022,10:35,In,Bus,100%
27/10/2022,10:35,Out,Car,1
27/10/2022,10:35,Out,Car,1
27/10/2022,10:35,Out,Car,1
27/10/2022,10:35,Out,Car,1
27/10/2022,10:35,Out,Car,1
27/10/2022,10:35,Out,Car,2
27/10/2022,10:35,Out,Car,2
27/10/2022,10:35,Out,Car,2
27/10/2022,10:35,Out,Car,2
27/10/2022,10:35,Out,Car,2
27/10/2022,10:35,Out,Car,2
27/10/2022,10:35,Out,Car,3
27/10/2022,10:35,Out,Bus,20%
27/10/2022,10:35,Out,Bus,20%
27/10/2022,10:35,Out,Bus,40%
27/10/2022,10:35,Out,Taxi,3
27/10/2022,10:35,Out,Van,1
27/10/2022,10:35,Out,Electric Car,1
27/10/2022,10:40,In,Car,1
27/10/2022,10:40,In,Car,1
27/10/2022,10:40,In,Car,1
27/10/2022,10:40,In,Car,1
27/10/2022,10:40,In,Car,1
27/10/2022,10:40,In,Car,1
27/10/2022,10:40,In,Car,1
27/10/2022,10:40,In,Car,1
27/10/2022,10:40,In,Car,1
27/10/2022,10:40,In,Car,1
27/10/2022,10:40,In,Car,2
27/10/2022,10:40,In,Car,2
27/10/2022,10:40,In,Car,2
27/10/2022,10:40,In,Car,2
27/10/2022,10:40,In,Car,2
27/10/2022,10:40,In,Car,2
27/10/2022,10:40,In,Car,2
27/10/2022,10:40,In,Car,3
27/10/2022,10:40,In,Car,3
27/10/2022,10:40,In,Car,3
27/10/2022,10:40:00,In,Car,4
27/10/2022,10:40:00,In,Car,4
27/10/2022,10:40:00,In,Car,4
27/10/2022,10:40:00,In,Car,4
27/10/2022,10:40:00,In,Car,5
27/10/2022,10:40:00,In,Bus,60%
27/10/2022,10:40:00,In,Bus,60%
27/10/2022,10:40:00,In,Bus,80%
27/10/2022,10:40:00,In,Bus,100%
27/10/2022,10:40:00,In,Taxi,2
27/10/2022,10:40:00,In,Motorbike,1
27/10/2022,10:40:00,In,Van,1
27/10/2022,10:40:00,In,Van,1
