Date,Time,Direction,Type,Occupancy,Wait Time,No of pedestrian
24/10/2022,10:20,out,car,1,+,0
24/10/2022,10:20,out,bus,10%,++,0
24/10/2022,10:20,out,car,1,++,0
24/10/2022,10:20,out,lorry,1,+,0
24/10/2022,10:21,out,car,2,+,0
24/10/2022,10:21,out,car,1,+,0
24/10/2022,10:21,out,car,1,+,0
24/10/2022,10:21,out,bus,20%,+,0
24/10/2022,10:21,out,car,2,+,0
24/10/2022,10:22,out,car,1,+++,0
24/10/2022,10:22,out,car,1,+,0
24/10/2022,10:22,out,car,1,-,0
24/10/2022,10:23,out,car,2,+,0
24/10/2022,10:24,out,car,1,-,0
24/10/2022,10:24,out,van,2,++,0
24/10/2022,10:25,out,car,2,+,0
24/10/2022,10:25,out,lorry,2,+,0
24/10/2022,10:26,out,bus,10%,+++,1
24/10/2022,10:26,out,car,4,-,0
24/10/2022,10:27,out,car,2,+,0
24/10/2022,10:27,out,car,1,+,0
24/10/2022,10:28,out,bus,5%,+++,0
24/10/2022,10:28,out,car,1,+,0
24/10/2022,10:28,out,car,1,+,0
24/10/2022,10:28,out,car,2,+,1
24/10/2022,10:28,out,car,1,+,0
24/10/2022,10:28,out,lorry,1,+,0
24/10/2022,10:28,out,car,1,+++,2
24/10/2022,10:28,out,car,1,+++,2
24/10/2022,10:29,out,car,1,++,0
24/10/2022,10:29,out,car,1,++,0
24/10/2022,10:29,out,car,2,++,0
24/10/2022,10:29,out,car,1,++,0
24/10/2022,10:29,out,lorry,2,++,0
24/10/2022,10:29,out,car,1,+,0
24/10/2022,10:30,out,lorry,2,++,0
24/10/2022,10:30,out,car,2,++,0
24/10/2022,10:31,out,car,4,+,1
24/10/2022,10:31,out,car,2,+,0
24/10/2022,10:31,out,bus,5%,++,1
24/10/2022,10:31,out,lorry,1,++,1
24/10/2022,10:32,out,car,2,++,0
24/10/2022,10:32,out,car,1,+,1
24/10/2022,10:32,out,car,1,++,1
24/10/2022,10:32,out,car,1,+,0
24/10/2022,10:32,out,lorry,2,+,0
24/10/2022,10:33,out,bus,5%,++,0
24/10/2022,10:33,out,car,2,+,0
24/10/2022,10:33,out,van,1,+,0
24/10/2022,10:33,out,car,1,+,0
24/10/2022,10:33,out,car,2,+,0
24/10/2022,10:33,out,bus,5%,+,0
24/10/2022,10:34,out,car,1,+,0
24/10/2022,10:35,out,car,1,+,0
24/10/2022,10:35,out,lorry,2,+++,0
24/10/2022,10:35,out,car,1,++,0
24/10/2022,10:35,out,lorry,1,+++,0
24/10/2022,10:36,out,car,1,+,0
24/10/2022,10:36,out,car,1,+++,0
24/10/2022,10:36,out,car,1,+,0
24/10/2022,10:37,out,car,1,+,0
24/10/2022,10:37,out,car,2,+,0
24/10/2022,10:38,out,car,4,+,0
24/10/2022,10:38,out,bus,5%,+,0
24/10/2022,10:38,out,car,3,+,1
24/10/2022,10:39,out,lorry,1,+,0
24/10/2022,10:39,out,motorbike,1,+,0
24/10/2022,10:39,out,car,2,-,0
24/10/2022,10:40,out,car,2,+,0
24/10/2022,10:40,out,car,1,+,0
24/10/2022,10:40,out,car,1,-,0
24/10/2022,10:40,out,car,2,+,0
24/10/2022,10:41,out,bus,20%,+++,2
24/10/2022,10:41,out,car,4,+++,0
24/10/2022,10:41,out,motorbike,1,++,0
24/10/2022,10:42,out,car,1,++,0
24/10/2022,10:42,out,car,1,-,1
24/10/2022,10:42,out,car,1,-,1
24/10/2022,10:42,out,car,1,+++,0
24/10/2022,10:44,out,lorry,2,+++,0
24/10/2022,10:44,out,car,1,+++,0
24/10/2022,10:44,out,bicycle,1,-,0
24/10/2022,10:44,out,bus,5%,++,0
24/10/2022,10:45,out,car,1,+,0
24/10/2022,10:45,out,car,1,+,0
24/10/2022,10:45,out,car,1,+,0
24/10/2022,10:45,out,car,1,+++,0
24/10/2022,10:46,out,car,1,++,0
24/10/2022,10:46,out,car,1,++,0
24/10/2022,10:46,out,car,1,+,0
24/10/2022,10:46,out,car,1,+,0
24/10/2022,10:47,out,car,1,+,0
24/10/2022,10:47,out,car,1,-,0
24/10/2022,10:47,out,bus,5%,+++,2
24/10/2022,10:47,out,van,1,++,0
24/10/2022,10:48,out,car,1,++,0
24/10/2022,10:48,out,bus,5%,+,0
24/10/2022,10:48,out,car,2,+,0
24/10/2022,10:48,out,car,1,+,0
24/10/2022,10:49,out,car,1,+,0
24/10/2022,10:49,out,car,1,-,0
24/10/2022,10:49,out,van,1,+,0
24/10/2022,10:49,out,car,1,+,0
24/10/2022,10:49,out,car,1,-,1
24/10/2022,10:49,out,car,1,-,1
24/10/2022,10:49,out,car,1,+++,0
24/10/2022,10:49,out,car,1,+++,0
24/10/2022,10:49,out,van,1,++,0
24/10/2022,10:49,out,lorry,1,+,0
24/10/2022,10:50,out,van,2,-,0
24/10/2022,10:50,out,car,1,+,0
