Date,Time,Direction,Type,Occupancy,Transportation Type,Weather
26-10-2022,10.27am,in,car,3,private,overcast
26-10-2022,10.27am,out,car,1,private,overcast
26-10-2022,10.27am,out,car,1,private,overcast
26-10-2022,10.28am,in,car,1,private,overcast
26-10-2022,10.28am,in,car,3,private,overcast
26-10-2022,10.28am,in,car,1,private,overcast
26-10-2022,10.28am,out,car,1,private,overcast
26-10-2022,10.29am,in,lorry,2,private,overcast
26-10-2022,10.29am,in,car,1,private,overcast
26-10-2022,10.29am,out,bus,30%,public,overcast
26-10-2022,10.30am,in,van,1,private,overcast
26-10-2022,10.31am,in,bus,50%,public,overcast
26-10-2022,10.31am,in,motorbike,1,private,overcast
26-10-2022,10.31am,in,car,2,private,overcast
26-10-2022,10.31am,out,bus,20%,public,overcast
26-10-2022,10.32am,in,car,1,private,overcast
26-10-2022,10.32am,in,bicycle,1,private,overcast
26-10-2022,10.32am,in,bus,80%,public,overcast
26-10-2022,10.32am,in,car,3,private,overcast
26-10-2022,10.33am,in,van,1,private,overcast
26-10-2022,10.33am,in,car,1,private,overcast
26-10-2022,10.33am,out,bus,30%,public,overcast
26-10-2022,10.34am,in,car,1,private,overcast
26-10-2022,10.34am,in,car,1,private,overcast
26-10-2022,10.34am,in,car,1,private,overcast
26-10-2022,10.34am,in,car,1,private,overcast
26-10-2022,10.34am,in,car,1,private,overcast
26-10-2022,10.35am,in,car,4,private,overcast
26-10-2022,10.35am,in,car,2,private,overcast
26-10-2022,10.36am,in,car,4,private,overcast
26-10-2022,10.36am,in,car,3,private,overcast
26-10-2022,10.36am,in,car,2,private,overcast
26-10-2022,10.36am,out,car,1,private,overcast
26-10-2022,10.37am,out,car,3,private,overcast
26-10-2022,10.37am,in,lorry,2,private,overcast
26-10-2022,10.37am,in,bus,30%,public,overcast
26-10-2022,10.37am,in,taxi,3,public,overcast
26-10-2022,10.38am,in,car,2,private,overcast
26-10-2022,10.38am,in,bus,70%,public,overcast
26-10-2022,10.39am,in,car,3,private,overcast
26-10-2022,10.39am,in,car,2,private,overcast
26-10-2022,10.39am,in,car,1,private,overcast
26-10-2022,10.39am,in,car,1,private,overcast
26-10-2022,10.40am,out,car,1,private,overcast
26-10-2022,10.40am,in,car,2,private,overcast
26-10-2022,10.40am,in,car,1,private,overcast
26-10-2022,10.40am,in,bus,90%,public,overcast
26-10-2022,10.41am,in,car,2,private,overcast
26-10-2022,10.41am,in,van,1,private,overcast
26-10-2022,10.41am,in,car,1,private,overcast
26-10-2022,10.41am,in,car,1,private,overcast
26-10-2022,10.41am,in,van,3,private,overcast
26-10-2022,10.41am,in,car,1,private,overcast
26-10-2022,10.41am,in,car,1,private,overcast
26-10-2022,10.41am,in,car,1,private,overcast
26-10-2022,10.42am,in,van,1,private,overcast
26-10-2022,10.42am,in,van,1,private,overcast
26-10-2022,10.42am,in,car,3,private,overcast
26-10-2022,10.43am,out,taxi,1,public,overcast
26-10-2022,10.43am,in,van,1,private,overcast
26-10-2022,10.43am,in,bus,100%,public,overcast
26-10-2022,10.43am,in,car,2,private,overcast
26-10-2022,10.44am,in,bicycle,1,private,clear
26-10-2022,10.44am,in,car,2,private,clear
26-10-2022,10.44am,in,car,1,private,clear
26-10-2022,10.44am,out,car,1,private,clear
26-10-2022,10.44am,out,bus,10%,public,clear
26-10-2022,10.45am,in,bus,100%,public,clear
26-10-2022,10.45am,in,taxi,2,public,clear
26-10-2022,10.45am,out,car,1,private,clear
26-10-2022,10.46am,in,car,2,private,clear
26-10-2022,10.46am,in,car,2,private,clear
26-10-2022,10.47am,in,van,4,private,clear
26-10-2022,10.47am,in,taxi,2,public,clear
26-10-2022,10.47am,in,car,2,private,clear
26-10-2022,10.47am,in,bicycle,1,private,clear
26-10-2022,10.47am,in,car,1,private,clear
26-10-2022,10.47am,in,car,1,private,clear
26-10-2022,10.47am,out,bus,10%,public,clear
26-10-2022,10.48am,in,bus,60%,public,clear
26-10-2022,10.48am,in,car,2,private,clear
26-10-2022,10.48am,in,car,4,private,clear
26-10-2022,10.48am,in,car,3,private,clear
26-10-2022,10.48am,in,car,2,private,clear
26-10-2022,10.48am,out,car,3,private,clear
26-10-2022,10.49am,in,car,2,private,clear
26-10-2022,10.49am,in,car,2,private,clear
26-10-2022,10.49am,in,car,3,private,clear
26-10-2022,10.49am,in,car,1,private,clear
26-10-2022,10.49am,in,car,1,private,clear
26-10-2022,10.49am,in,car,1,private,clear
26-10-2022,10.49am,out,car,3,private,clear
26-10-2022,10.50am,in,motorbike,1,private,clear
26-10-2022,10.50am,in,car,3,private,clear
26-10-2022,10.50am,in,car,1,private,clear
26-10-2022,10.50am,in,car,2,private,clear
26-10-2022,10.50am,in,car,5,private,clear
