,Date, Time,Direction, Type, Occupancy,eco-friendly
0,27-10-2022,10.30am,in,van,1,no
1,27-10-2022,10.30am,in,car,1,no
2,27-10-2022,10.30am,in,bus,5%,no
3,27-10-2022,10.30am,in,bus,90%,no
4,27-10-2022,10.30am,in,taxi,2,no
5,27-10-2022,10.30am,in,car,1,yes
6,27-10-2022,10.30am,in,car,1,no
7,27-10-2022,10.30am,in,car,1,no
8,27-10-2022,10.30am,in,car,3,no
9,27-10-2022,10.30am,in,car,1,no
10,27-10-2022,10.30am,in,car,1,no
11,27-10-2022,10.35am,in,taxi,1,no
12,27-10-2022,10.35am,in,van,1,no
13,27-10-2022,10.35am,in,van,2,yes
14,27-10-2022,10.35am,in,car,1,no
15,27-10-2022,10.35am,in,car,2,yes
16,27-10-2022,10.35am,in,car,2,no
17,27-10-2022,10.35am,in,car,2,yes
18,27-10-2022,10.35am,in,taxi,1,no
19,27-10-2022,10.35am,in,car,1,no
20,27-10-2022,10.35am,in,van,1,no
21,27-10-2022,10.35am,in,car,1,no
22,27-10-2022,10.35am,in,car,3,yes
23,27-10-2022,10.35am,in,car,2,yes
24,27-10-2022,10.35am,in,car,2%,no
25,27-10-2022,10.35am,in,bus,1,no
26,27-10-2022,10.35am,in,car,1,no
27,27-10-2022,10.35am,in,car,2,no
28,27-10-2022,10.35am,in,car,1,no
29,27-10-2022,10.35am,in,taxi,2,no
30,27-10-2022,10.35am,in,car,1,yes
31,27-10-2022,10.35am,in,car,1,no
32,27-10-2022,10.35am,in,car,1,no
33,27-10-2022,10.40am,in,car,90%,no
34,27-10-2022,10.40am,in,bus,2,no
35,27-10-2022,10.40am,in,car,5,no
36,27-10-2022,10.40am,in,car,2,no
37,27-10-2022,10.40am,in,car,1,no
38,27-10-2022,10.40am,in,car,2,no
39,27-10-2022,10.40am,in,lorry,1,yes
40,27-10-2022,10.40am,in,taxi,2,no
41,27-10-2022,10.40am,in,car,2,yes
42,27-10-2022,10.40am,in,van,1,no
43,27-10-2022,10.40am,in,car,1,no
44,27-10-2022,10.40am,in,car,1,no
45,27-10-2022,10.40am,in,bus,100%,no
46,27-10-2022,10.40am,in,bus,50%,yes
47,27-10-2022,10.40am,in,car,2,no
48,27-10-2022,10.40am,in,car,2,no
49,27-10-2022,10.40am,in,van,1,no
50,27-10-2022,10.40am,in,car,2,no
51,27-10-2022,10.40am,in,car,2,no
52,27-10-2022,10.40am,in,car,1,no
53,27-10-2022,10.45am,in,taxi,2,yes
54,27-10-2022,10.45am,in,car,2,yes
55,27-10-2022,10.45am,in,car,2,no
56,27-10-2022,10.45am,in,car,1,no
57,27-10-2022,10.45am,in,car,1,no
