Date,Time,Direction,Type,Occupancy,Bus driver gender
25-10-2022,10:30am,out,Car,3,
25-10-2022,10:30am,out,Car,3,
25-10-2022,10:35am,out,Car,2,
25-10-2022,10:35am,out,Bus,5%,M
25-10-2022,10:35am,out,Taxi,1,
25-10-2022,10:35am,out,Taxi,1,
25-10-2022,10:40am,out,Bus,5%,M
25-10-2022,10:40am,out,Car,2,
25-10-2022,10:40am,out,Car,2,
25-10-2022,10:40am,out,Car,2,
25-10-2022,10:40am,out,Car,1,
25-10-2022,10:40am,out,Taxi,2,
25-10-2022,10:45am,out,Car,1,
25-10-2022,10:45am,out,Bus,1%,F
25-10-2022,10:45am,out,Van,1,
25-10-2022,10:45am,out,Van,1,
25-10-2022,10:45am,out,Bus,1%,M
25-10-2022,10:50am,out,Car,1,
25-10-2022,10:50am,out,Car,3,
25-10-2022,10:50am,out,Car,1,
25-10-2022,10:50am,out,Taxi,1,
25-10-2022,10:50am,out,Taxi,1,
25-10-2022,10:50am,out,Car,1,
25-10-2022,10:50am,out,Car,1,
25-10-2022,10:50am,out,Car,1,
25-10-2022,10:50am,out,Bus,1%,M
25-10-2022,10:50am,out,Bus,10%,F
25-10-2022,10:50am,out,Car,1,
25-10-2022,10:55am,out,Car,3,
25-10-2022,10:55am,out,Car,1,
25-10-2022,10:55am,out,Car,3,
25-10-2022,10:55am,out,Car,1,
25-10-2022,10:55am,out,Car,5,
25-10-2022,10:55am,out,Van,3,
25-10-2022,10:55am,out,Car,1,
25-10-2022,11:00am,out,Taxi,1,
25-10-2022,11:00am,out,Car,1,
25-10-2022,11:00am,out,Car,1,
25-10-2022,11:00am,out,Bus,15%,M
25-10-2022,11:00am,out,Car,1,
25-10-2022,11:00am,out,Car,1,
25-10-2022,11:00am,out,Car,1,
