Date, Time, Direction, Type, Occupancy,Electric Vehicle 
26/10/2022,10:09 AM,out,van,1,No
26/10/2022,10:10 AM,out,car,1,No
26/10/2022,10:11 AM,out,bus,0%,No
26/10/2022,10:11 AM,out,car,1,No
26/10/2022,10:12 AM,out,car,2,Yes
26/10/2022,10:14 AM,out,car,1,No
26/10/2022,10:14 AM,out,bus,10%,No
26/10/2022,10:14 AM,out,motorbike,1,No
26/10/2022,10:14 AM,out,car,1,No
26/10/2022,10:14 AM,out,lorry,1,No
26/10/2022,10:15 AM,out,car,1,No
26/10/2022,10:15 AM,out,car,1,No
26/10/2022,10:17 AM,out,bus,10%,No
26/10/2022,10:17 AM,out,car,1,No
26/10/2022,10:17 AM,out,van,1,No
26/10/2022,10:18 AM,out,car,2,No
26/10/2022,10:18 AM,out,bicycle,1,No
26/10/2022,10:18 AM,out,car,3,Yes
26/10/2022,10:18 AM,out,bicycle,1,No
26/10/2022,10:19 AM,out,bus,5%,No
26/10/2022,10:19 AM,out,car,1,No
26/10/2022,10:19 AM,out,car,2,No
26/10/2022,10:19 AM,out,car,2,No
26/10/2022,10:19 AM,out,car,2,No
26/10/2022,10:19 AM,out,bus,5%,No
26/10/2022,10:20 AM,out,car,1,No
26/10/2022,10:20 AM,out,car,2,No
26/10/2022,10:20 AM,out,car,2,No
26/10/2022,10:20 AM,out,car,1,No
26/10/2022,10:20 AM,out,car,2,No
26/10/2022,10:22 AM,out,car,2,No
26/10/2022,10:22 AM,out,car,3,No
26/10/2022,10:22 AM,out,car,1,No
26/10/2022,10:22 AM,out,car,2,No
26/10/2022,10:23 AM,out,car,1,No
26/10/2022,10:23 AM,out,car,1,No
26/10/2022,10:24 AM,out,taxi,2,No
26/10/2022,10:24 AM,out,car,2,Yes
26/10/2022,10:24 AM,out,bus,3%,No
26/10/2022,10:24 AM,out,car,2,No
26/10/2022,10:25 AM,out,car,1,No
26/10/2022,10:25 AM,out,car,3,No
26/10/2022,10:25 AM,out,bus,5%,No
26/10/2022,10:26 AM,out,car,3,No
26/10/2022,10:26 AM,out,taxi,2,No
26/10/2022,10:26 AM,out,car,2,Yes
26/10/2022,10:26 AM,out,car,1,No
26/10/2022,10:26 AM,out,motorbike,1,No
26/10/2022,10:28 AM,out,car,2,No
26/10/2022,10:28 AM,out,lorry,1,No
26/10/2022,10:28 AM,out,car,1,No
26/10/2022,10:28 AM,out,car,1,No
26/10/2022,10:28 AM,out,car,1,Yes
26/10/2022,10:29 AM,out,van,1,No
26/10/2022,10:29 AM,out,bus,3%,No
26/10/2022,10:29 AM,out,car,2,No
26/10/2022,10:29 AM,out,bicycle,1,No
26/10/2022,10:31 AM,out,bus,1%,No
26/10/2022,10:32 AM,out,bus,0%,No
26/10/2022,10:32 AM,out,car,2,No
26/10/2022,10:32 AM,out,car,3,No
26/10/2022,10:33 AM,out,scooter,1,No
26/10/2022,10:33 AM,out,car,1,No
26/10/2022,10:33 AM,out,car,1,No
26/10/2022,10:33 AM,out,car,1,No
26/10/2022,10:34 AM,out,car,1,No
26/10/2022,10:35 AM,out,lorry,1,No
26/10/2022,10:35 AM,out,car,1,No
26/10/2022,10:35 AM,out,van,2,No
26/10/2022,10:36 AM,out,van,1,No
26/10/2022,10:36 AM,out,van,1,No
26/10/2022,10:36 AM,out,taxi,2,No
26/10/2022,10:36 AM,out,car,1,No
26/10/2022,10:37 AM,out,car,1,No
26/10/2022,10:37 AM,out,car,2,No
26/10/2022,10:37 AM,out,car,3,No
26/10/2022,10:37 AM,out,car,1,No
26/10/2022,10:37 AM,out,bus,10%,No
26/10/2022,10:37 AM,out,car,1,No
26/10/2022,10:37 AM,out,van,2,No
26/10/2022,10:37 AM,out,taxi,1,No
26/10/2022,10:37 AM,out,car,1,No
26/10/2022,10:37 AM,out,car,1,No
26/10/2022,10:37 AM,out,bus,1%,No
26/10/2022,10:38 AM,out,van,1,No
26/10/2022,10:38 AM,out,car,1,No
26/10/2022,10:38 AM,out,taxi,1,No
26/10/2022,10:39 AM,out,bus,30%,No
