Date,Time,Direction,Type,Occupancy,BusNo,AdditionalData2
27-10-2022,10:00am,in,4,car,null,null
27-10-2022,10:05am,in,80%,bus,U1,null
27-10-2022,10:05am,in,2,car,null,null
27-10-2022,10:05am,out,10%,bus,U1,null
27-10-2022,10:05am,in,3,car,null,null
27-10-2022,10:05am,in,4,car,null,null
27-10-2022,10:05am,in,2,car,null,null
27-10-2022,10:10am,in,3,car,null,null
27-10-2022,10:10am,in,80%,bus,U1,null
27-10-2022,10:10am,in,1,lorry,null,null
27-10-2022,10:10am,out,1,bicycle,null,null
27-10-2022,10:10am,in,90%,bus,U2,null
27-10-2022,10:15am,out,1,car,null,null
27-10-2022,10:15am,out,1,lorry,null,null
27-10-2022,10:15am,out,10%,bus,U1,null
27-10-2022,10:15am,in,2,car,null,null
27-10-2022,10:15am,out,1,bicycle,null,null
27-10-2022,10:15am,in,1,bicycle,null,null
27-10-2022,10:15am,in,2,van,null,null
27-10-2022,10:15am,out,20%,bus,U2,null
27-10-2022,10:15am,in,1,bicycle,null,null
27-10-2022,10:15am,out,1,car,null,null
27-10-2022,10:15am,out,1,lorry,null,null
27-10-2022,10:20am,out,10%,bus,U1,null
27-10-2022,10:20am,in,2,car,null,null
27-10-2022,10:20am,out,1,motorbike,null,null
27-10-2022,10:20am,in,1,bicycle,null,null
27-10-2022,10:25am,out,2,van,null,null
27-10-2022,10:25am,in,3,car,null,null
27-10-2022,10:25am,in,1,bicycle,null,null
27-10-2022,10:25am,out,1,lorry,null,null
27-10-2022,10:30am,in,50%,bus,U1,null
27-10-2022,10:30am,in,1,van,null,null
27-10-2022,10:30am,out,1,car,null,null
27-10-2022,10:30am,out,2,car,null,null
