Date, Time, Direction, Type, Occupancy, Driver Gender, Bus Type, Vehicle Brand, Weather, Temperature (C)
27-10-2022, 10.04am, in, bus, 50%, M, U1, unibus, rainy, 15
27-10-2022, 10.04am, in, car, 1, M, N/A, audi, rainy, 15
27-10-2022, 10.04am, in, car, 1, F, N/A, renault, rainy, 15
27-10-2022, 10.05am, in, bicycle, 1, M, N/A, other, rainy, 15
27-10-2022, 10.05am, in, car, 2, M, N/A, renault, rainy, 15
27-10-2022, 10.05am, in, bicycle, 1, M, N/A, other, rainy, 15
27-10-2022, 10.07am, in, bus, 70%, M, U2, unibus, rainy, 15
27-10-2022, 10.07am, in, van, 2, M, N/A, other, rainy, 15
27-10-2022, 10.07am, in, bicycle, 1, M, N/A, other, rainy, 15
27-10-2022, 10.07am, in, bicycle, 1, M, N/A, other, rainy, 15
27-10-2022, 10.08am, in, van, 1, M, N/A, mercedes benz, rainy, 15
27-10-2022, 10.08am, in, car, 1, M, N/A, bmw, rainy, 15
27-10-2022, 10.08am, in, bicycle, 1, M, N/A, other, rainy, 15
27-10-2022, 10.08am, in, car, 1, M, N/A, ford, rainy, 15
27-10-2022, 10.09am, in, bicycle, 1, M, N/A, other, rainy, 15
27-10-2022, 10.09am, in, car, 1, M, N/A, ford, rainy, 15
27-10-2022, 10.09am, in, car, 1, M, N/A, audi, rainy, 15
27-10-2022, 10.09am, in, car, 2, M, N/A, volkswagen, rainy, 15
27-10-2022, 10.09am, in, car, 1, M, N/A, volkswagen, rainy, 15
27-10-2022, 10.10am, in, bus, 70%, M, U1, unibus, rainy, 15
27-10-2022, 10.10am, in, bicycle, 1, M, N/A, other, rainy, 15
27-10-2022, 10.12am, in, car, 2, F, N/A, renault, rainy, 15
27-10-2022, 10.12am, in, bicycle, 1, M, N/A, other, rainy, 15
27-10-2022, 10.12am, in, taxi, 1, M, N/A, volkswagen, rainy, 15
27-10-2022, 10.12am, in, car, 2, M, N/A, other, rainy, 15
27-10-2022, 10.12am, in, car, 1, M, N/A, ford, rainy, 15
27-10-2022, 10.13am, in, car, 1, M, N/A, other, rainy, 15
27-10-2022, 10.13am, in, bus, 60%, M, U2, unibus, rainy, 15
27-10-2022, 10.13am, in, lorry, 2, M, N/A, other, rainy, 15
27-10-2022, 10.13am, in, bicycle, 1, M, N/A, other, rainy, 15
27-10-2022, 10.14am, in, car, 1, F, N/A, hyundai, rainy, 15
27-10-2022, 10.14am, in, car, 1, F, N/A, rangerover, rainy, 15
27-10-2022, 10.14am, in, car, 1, F, N/A, hyundai, rainy, 15
27-10-2022, 10.16am, in, car, 1, M, N/A, volkswagen, rainy, 15
27-10-2022, 10.17am, in, bicycle, 1, M, N/A, other, rainy, 15
27-10-2022, 10.17am, in, car, 1, M, N/A, audi, rainy, 15
27-10-2022, 10.17am, in, taxi, 2, M, N/A, other, rainy, 15
27-10-2022, 10.17am, in, car, 1, M, N/A, renault, rainy, 15
27-10-2022, 10.18am, in, car, 1, M, N/A, volkswagen, rainy, 15
27-10-2022, 10.18am, in, bus, 30%, M, U2, unibus, rainy, 15
27-10-2022, 10.19am, in, car, 1, M, N/A, volkswagen, rainy, 15
27-10-2022, 10.19am , in, car, 1, M, N/A, mercedes benz, rainy, 15
27-10-2022, 10.20am, in, bus, 20%, M, U1, unibus, rainy, 15
27-10-2022, 10.21am, in, bus, 10%, M, U2, unibus, rainy, 15
27-10-2022, 10.23am, in, van, 1, M, N/A, other, rainy, 15
27-10-2022, 10.24am, in , car, 1, F, N/A, renault, rainy, 15
27-10-2022, 10.26am, in, van, 1, M, N/A, other, rainy, 15
27-10-2022, 10.26am, in, car, 1, F, N/A, mini, rainy, 15
27-10-2022, 10.26am, in, bus, 15%, M, U1, unibus, rainy, 15
27-10-2022, 10.27am, in, motorbike, 1, M, N/A, other, rainy, 15
27-10-2022, 10.28am, in, car, 2, F, N/A, rangerover, rainy, 15
27-10-2022, 10.28am, in, car, 2, F, N/A, renault, rainy, 15
27-10-2022, 10.29am, in, car, 1, M, N/A, honda, rainy, 15
27-10-2022, 10.30am, in, lorry, 1, M, N/A, other, rainy, 15
27-10-2022, 10.30am, in, van, 1, M, N/A, daf, rainy, 15
27-10-2022, 10.31am, in, car, 2, F, N/A, volkswagen, rainy, 15
27-10-2022, 10.32am, in, car, 2, F, N/A, volkswagen, rainy, 15
27-10-2022, 10.34am, in, bus, 20%, M, U1, unibus, rainy, 15
27-10-2022, 10.34am, in, bus, 25%, M, U2, unibus, rainy, 15
