Date,Time,Direction,Type,Occupancy,Electric
25/10/2022,10.20am,out,car,1,No
25/10/2022,10.20am,out,car,1,No
25/10/2022,10.20am,out,bus,1%,No
25/10/2022,10.20am,out,bus,10%,No
25/10/2022,10.20am,out,bicycle,1,No
25/10/2022,10.20am,out,car,20%,No
25/10/2022,10.20am,out,car,20%,Yes
25/10/2022,10.20am,out,lorry,50%,No
25/10/2022,10.20am,out,car,20%,No
25/10/2022,10.20am,out,bus,10%,No
25/10/2022,10.20am,out,car,20%,No
25/10/2022,10.20am,out,car,20%,Yes
25/10/2022,10.20am,out,car,1,Yes
25/10/2022,10.20am,out,car,20%,No
25/10/2022,10.20am,out,car,20%,No
25/10/2022,10.20am,out,bus,1%,No
25/10/2022,10.25am,out,motorbike,1,No
25/10/2022,10.25am,out,car,60%,No
25/10/2022,10.25am,out,car,20%,No
25/10/2022,10.25am,out,car,20%,No
25/10/2022,10.25am,out,car,20%,Yes
25/10/2022,10.25am,out,car,20%,No
25/10/2022,10.25am,out,car,20%,No
25/10/2022,10.25am,out,car,20%,Yes
25/10/2022,10.25am,out,van,60%,No
25/10/2022,10.25am,out,car,20%,No
25/10/2022,10.25am,out,car,20%,No
25/10/2022,10.25am,out,car,1,No
25/10/2022,10.25am,out,car,1,No
25/10/2022,10.25am,out,car,20%,Yes
25/10/2022,10.25am,out,bus,5%,No
25/10/2022,10.25am,out,bicycle,1,No
25/10/2022,10.30am,out,van,1,No
25/10/2022,10.30am,out,bus,50%,No
25/10/2022,10.30am,out,car,20%,Yes
25/10/2022,10.30am,out,taxi,20%,No
25/10/2022,10.30am,out,car,60%,No
25/10/2022,10.30am,out,car,20%,No
25/10/2022,10.30am,out,lorry,1,No
25/10/2022,10.30am,out,car,20%,No
25/10/2022,10.30am,out,car,20%,Yes
25/10/2022,10.30am,out,bus,1%,No
25/10/2022,10.30am,out,bus,10%,No
25/10/2022,10.30am,out,car,20%,Yes
25/10/2022,10.30am,out,car,60%,No
25/10/2022,10.30am,out,car,40%,No
25/10/2022,10.35am,out,car,20%,No
25/10/2022,10.35am,out,car,20%,No
25/10/2022,10.35am,out,car,60%,No
25/10/2022,10.35am,out,van,1,No
25/10/2022,10.35am,out,car,20%,No
25/10/2022,10.35am,out,car,40%,No
25/10/2022,10.35am,out,car,20%,No
25/10/2022,10.35am,out,car,20%,No
25/10/2022,10.35am,out,car,20%,No
25/10/2022,10.35am,out,car,40%,No
25/10/2022,10.35am,out,car,60%,No
25/10/2022,10.35am,out,car,20%,Yes
25/10/2022,10.35am,out,van,1,No
25/10/2022,10.35am,out,car,1,No
25/10/2022,10.35am,out,car,40%,No
25/10/2022,10.35am,out,car,20%,Yes
25/10/2022,10.35am,out,van,60%,No
25/10/2022,10.35am,out,car,20%,No
25/10/2022,10.35am,out,van,1,No
25/10/2022,10.35am,out,car,20%,Yes
25/10/2022,10.35am,out,bus,5%,No
25/10/2022,10.35am,out,car,40%,No
25/10/2022,10.35am,out,car,20%,No
25/10/2022,10.40am,out,bus,1%,No
25/10/2022,10.40am,out,car,40%,No
25/10/2022,10.40am,out,car,20%,No
25/10/2022,10.40am,out,van,1,No
25/10/2022,10.40am,out,car,20%,No
25/10/2022,10.40am,out,van,1,No
25/10/2022,10.40am,out,car,20%,Yes
25/10/2022,10.40am,out,car,20%,No
25/10/2022,10.40am,out,car,40%,No
25/10/2022,10.40am,out,van,20%,No
25/10/2022,10.40am,out,car,20%,No
25/10/2022,10.40am,out,car,20%,No
25/10/2022,10.40am,out,car,20%,No
25/10/2022,10.40am,out,car,20%,Yes
25/10/2022,10.40am,out,car,60%,No
25/10/2022,10.40am,out,car,80%,No
25/10/2022,10.40am,out,car,20%,No
25/10/2022,10.40am,out,car,20%,No
25/10/2022,10.40am,out,car,20%,No
25/10/2022,10.40am,out,car,20%,No
25/10/2022,10.45am,out,car,20%,No
25/10/2022,10.45am,out,bus,10%,No
25/10/2022,10.45am,out,lorry,50%,No
25/10/2022,10.45am,out,car,40%,Yes
25/10/2022,10.45am,out,car,20%,No
25/10/2022,10.45am,out,taxi,20%,No
25/10/2022,10.45am,out,bus,5%,No
25/10/2022,10.45am,out,van,50%,No
25/10/2022,10.45am,out,car,20%,No
25/10/2022,10.45am,out,car,40%,No
