Date,Time,Direction,Type,Occupancy,Electric Vehicle
28-10-2022,09:30,in,bus,24,FALSE
28-10-2022,09:30,in,bicycle,1,FALSE
28-10-2022,09:30,in,car,1,FALSE
28-10-2022,09:30,in,car,1,FALSE
28-10-2022,09:31,in,car,1,TRUE
28-10-2022,09:31,in,car,1,FALSE
28-10-2022,09:31,in,car,1,FALSE
28-10-2022,09:31,in,bus,40,FALSE
28-10-2022,09:33,in,car,1,FALSE
28-10-2022,09:33,in,car,1,TRUE
28-10-2022,09:33,in,car,1,FALSE
28-10-2022,09:33,in,car,1,FALSE
28-10-2022,09:33,in,car,1,FALSE
28-10-2022,09:34,in,car,1,FALSE
28-10-2022,09:34,in,bicycle,1,FALSE
28-10-2022,09:34,in,car,2,TRUE
28-10-2022,09:35,in,car,1,FALSE
28-10-2022,09:35,in,car,1,FALSE
28-10-2022,09:35,in,car,2,FALSE
28-10-2022,09:35,in,car,1,FALSE
28-10-2022,09:36,in,bicycle,1,FALSE
28-10-2022,09:36,in,car,1,FALSE
28-10-2022,09:37,in,car,2,FALSE
28-10-2022,09:37,in,bus,48,FALSE
28-10-2022,09:38,in,bicycle,1,FALSE
28-10-2022,09:38,in,truck,1,FALSE
28-10-2022,09:38,in,car,1,FALSE
28-10-2022,09:38,in,car,1,FALSE
28-10-2022,09:38,in,car,1,FALSE
28-10-2022,09:38,in,bicycle,1,FALSE
28-10-2022,09:38,in,car,1,FALSE
28-10-2022,09:39,in,car,1,FALSE
28-10-2022,09:39,in,car,1,FALSE
28-10-2022,09:39,in,car,1,FALSE
28-10-2022,09:39,in,car,1,FALSE
28-10-2022,09:39,in,car,1,TRUE
28-10-2022,09:40,in,car,1,FALSE
28-10-2022,09:40,in,car,1,FALSE
28-10-2022,09:40,in,car,1,FALSE
28-10-2022,09:40,in,car,64,FALSE
28-10-2022,09:41,in,car,1,FALSE
28-10-2022,09:41,in,car,1,FALSE
28-10-2022,09:41,in,car,1,FALSE
28-10-2022,09:41,in,car,1,FALSE
28-10-2022,09:42,in,car,1,FALSE
28-10-2022,09:42,in,car,1,TRUE
28-10-2022,09:42,in,car,2,FALSE
28-10-2022,09:42,in,car,1,FALSE
28-10-2022,09:42,in,car,2,FALSE
28-10-2022,09:43,in,bicycle,1,FALSE
28-10-2022,09:43,in,car,1,FALSE
28-10-2022,09:43,in,car,1,FALSE
28-10-2022,09:43,in,car,1,FALSE
28-10-2022,09:43,in,motorcycle,1,FALSE
28-10-2022,09:43,in,car,1,FALSE
28-10-2022,09:43,in,car,1,FALSE
28-10-2022,09:43,in,bicycle,1,FALSE
28-10-2022,09:43,in,car,1,FALSE
28-10-2022,09:43,in,car,1,FALSE
28-10-2022,09:43,in,bus,80,FALSE
28-10-2022,09:44,in,car,1,FALSE
28-10-2022,09:44,in,car,1,FALSE
28-10-2022,09:44,in,car,1,FALSE
28-10-2022,09:44,in,car,1,FALSE
28-10-2022,09:44,in,car,1,FALSE
28-10-2022,09:45,in,car,2,FALSE
28-10-2022,09:45,in,bus,80,FALSE
28-10-2022,09:45,in,car,2,FALSE
28-10-2022,09:46,in,bus,8,FALSE
28-10-2022,09:46,in,car,1,FALSE
28-10-2022,09:46,in,car,2,FALSE
28-10-2022,09:46,in,car,2,FALSE
28-10-2022,09:46,in,car,1,FALSE
28-10-2022,09:46,in,car,1,FALSE
28-10-2022,09:47,in,bus,48,FALSE
