Date,Time,Direction,Type,Occupancy,Colour,Cumulative frequency
25-10-2022,9.01am,in,car,2,red,1
25-10-2022,9.01am,in,car,2,black,1
25-10-2022,9.01am,in,bicycle,1,black,2
25-10-2022,9.01am,in,car,2,white,1
25-10-2022,9.01am,in,car,2,black,3
25-10-2022,9.01am,in,car,3,black,4
25-10-2022,9.02am,in,car,2,black,5
25-10-2022,9.02am,in,car,1,red,2
25-10-2022,9.02am,in,motorbike,2,gray,1
25-10-2022,9.02am,in,taxi,1,black,6
25-10-2022,9.03am,in,bicycle,1,black,7
25-10-2022,9.03am,in,van,2,gray,2
25-10-2022,9.03am,in,motorbike,1,black,8
25-10-2022,9.04am,in,car,3,white,2
25-10-2022,9.04am,in,car,1,blue,1
25-10-2022,9.04am,in,car,1,gray,3
25-10-2022,9.04am,in,bicycle,1,blue,2
25-10-2022,9.04am,in,bicycle,1,gray,4
25-10-2022,9.05am,in,bus,100%,blue,3
25-10-2022,9.05am,in,taxi,2,black,9
25-10-2022,9.05am,in,bicycle,1,gray,5
25-10-2022,9.06am,in,bus,80%,blue,4
25-10-2022,9.06am,in,car,4,red,3
25-10-2022,9.06am,in,bus,100%,purple,1
25-10-2022,9.07am,in,bus,100%,blue,5
25-10-2022,9.07am,in,car,2,red,4
25-10-2022,9.07am,in,car,1,blue,6
25-10-2022,9.08am,in,bicycle,1,black,10
25-10-2022,9.08am,in,taxi,3,black,11
25-10-2022,9.08am,in,bicycle,1,black,12
25-10-2022,9.09am,in,van,1,gray,6
25-10-2022,9.09am,in,motorbike,2,red,5
25-10-2022,9.10am,in,lorry,2,white,3
25-10-2022,9.10am,in,car,2,black,13
25-10-2022,9.11am,in,bus,100%,blue,7
25-10-2022,9.11am,in,van,2,gray,7
25-10-2022,9.12am,in,car,1,gray,8
25-10-2022,9.12am,in,bicycle,1,black,14
25-10-2022,9.12am,in,bicycle,1,gray,9
25-10-2022,9.13am,in,car,1,gray,10
25-10-2022,9.13am,in,car,2,blue,8
25-10-2022,9.13am,in,car,1,black,15
25-10-2022,9.13am,in,bus,100%,blue,9
25-10-2022,9.14am,in,car,1,gray,11
25-10-2022,9.14am,in,car,1,blue,10
25-10-2022,9.14am,in,car,2,gray,12
25-10-2022,9.14am,in,car,1,white,4
25-10-2022,9.15am,in,bicycle,1,black,16
25-10-2022,9.15am,in,car,1,blue,11
25-10-2022,9.15am,in,car,2,black,17
25-10-2022,9.15am,in,car,1,red,6
25-10-2022,9.15am,in,bus,100%,purple,2
25-10-2022,9.16am,in,bus,50%,blue,12
25-10-2022,9.16am,in,car,1,black,18
25-10-2022,9.17am,in,car,1,white,5
25-10-2022,9.17am,in,bus,50%,blue,13
25-10-2022,9.18am,in,bus,25%,blue,14
25-10-2022,9.18am,in,car,2,white,6
25-10-2022,9.18am,in,bus,25%,blue,15
25-10-2022,9.18am,in,bus,50%,blue,16
25-10-2022,9.18am,in,van,1,gray,13
25-10-2022,9.18am,in,car,1,blue,17
25-10-2022,9.18am,in,car,1,gray,14
25-10-2022,9.19am,in,lorry,1,white,7
25-10-2022,9.19am,in,bicycle,1,white,8
25-10-2022,9.19am,in,bus,50%,purple,3
25-10-2022,9.19am,in,van,1,yellow,1
25-10-2022,9.19am,in,car,1,gray,15
25-10-2022,9.20am,in,car,1,gray,16
25-10-2022,9.20am,in,car,1,gray,17
25-10-2022,9.20am,in,car,2,black,19
25-10-2022,9.20am,in,car,1,blue,18
25-10-2022,9.20am,in,taxi,2,black,20
25-10-2022,9.20am,in,van,1,white,9
25-10-2022,9.21am,in,taxi,2,gray,18
25-10-2022,9.21am,in,bicycle,1,black,21
25-10-2022,9.21am,in,car,1,black,22
25-10-2022,9.22am,in,car,3,red,7
25-10-2022,9.22am,in,bicycle,1,white,10
25-10-2022,9.22am,in,car,1,black,23
25-10-2022,9.23am,in,car,2,red,8
25-10-2022,9.23am,in,car,1,blue,19
25-10-2022,9.23am,in,car,1,red,9
25-10-2022,9.23am,in,car,1,black,24
25-10-2022,9.23am,in,lorry,1,red,10
25-10-2022,9.24am,in,car,1,gray,19
25-10-2022,9.24am,in,car,1,gray,20
25-10-2022,9.24am,in,car,2,gray,21
25-10-2022,9.24am,in,car,1,gray,22
25-10-2022,9.25am,in,bus,80%,purple,4
25-10-2022,9.25am,in,car,1,black,25
25-10-2022,9.25am,in,car,1,black,26
25-10-2022,9.25am,in,car,1,black,27
25-10-2022,9.26am,in,car,1,white,11
25-10-2022,9.26am,in,bicycle,2,black,28
25-10-2022,9.26am,in,car,2,gray,23
25-10-2022,9.26am,in,van,1,white,12
25-10-2022,9.27am,in,car,2,black,29
25-10-2022,9.27am,in,car,1,black,30
25-10-2022,9.28am,in,car,2,blue,20
25-10-2022,9.28am,in,motorbike,1,black,31
25-10-2022,9.28am,in,van,1,white,13
25-10-2022,9.28am,in,van,2,white,14
25-10-2022,9.29am,in,taxi,2,black,32
25-10-2022,9.29am,in,taxi,3,black,33
25-10-2022,9.30am,in,car,2,red,11
25-10-2022,9.30am,in,car,1,black,34
25-10-2022,9.30am,in,car,1,blue,21
25-10-2022,9.30am,in,car,2,black,35
25-10-2022,9.30am,in,car,1,black,36
25-10-2022,9.31am,in,bus,100%,blue,22
25-10-2022,9.31am,in,car,1,black,37
25-10-2022,9.31am,in,car,1,white,15
25-10-2022,9.31am,in,car,1,gray,24
25-10-2022,9.31am,in,car,1,gray,25
25-10-2022,9.31am,in,bicycle,1,red,12
