,Date,Time,Direction,Type,Occupancy,Brand,Weather
0,26-10-2022,9:55,in,car,1,Ford,Absolutely Sunny
1,26-10-2022,9:55,in,car,2,Mini,Absolutely Sunny
2,26-10-2022,9:55,in,bicycle,1,,Absolutely Sunny
3,26-10-2022,9:55,in,bicycle,1,,Absolutely Sunny
4,26-10-2022,9:55,in,car,2,Honda,Absolutely Sunny
5,26-10-2022,9:55,in,car,2,BMW,Absolutely Sunny
6,26-10-2022,9:55,in,bus,100%,,Absolutely Sunny
7,26-10-2022,9:55,in,car,4,Peugeot,Absolutely Sunny
8,26-10-2022,9:55,in,car,2,Peugeot,Absolutely Sunny
9,26-10-2022,9:55,in,car,1,Fiat,Absolutely Sunny
10,26-10-2022,9:55,in,car,2,Seat,Absolutely Sunny
11,26-10-2022,9:55,in,car,3,Hyundai,Absolutely Sunny
12,26-10-2022,9:55,in,car,1,Fiat,Absolutely Sunny
13,26-10-2022,9:55,in,car,2,Ford,Absolutely Sunny
14,26-10-2022,9:55,in,car,2,BMW,Absolutely Sunny
15,26-10-2022,9:55,in,car,2,,Absolutely Sunny
16,26-10-2022,9:55,in,car,2,Kia,Absolutely Sunny
17,26-10-2022,9:55,in,car,1,Audi,Absolutely Sunny
18,26-10-2022,9:55,in,car,3,Nissan,Absolutely Sunny
19,26-10-2022,9:55,in,car,2,Nissan,Absolutely Sunny
20,26-10-2022,9:55,in,car,2,VW,Absolutely Sunny
21,26-10-2022,9:55,in,car,2,VW,Absolutely Sunny
22,26-10-2022,9:55,in,bicycle,1,,Absolutely Sunny
23,26-10-2022,9:55,in,car,2,Kia,Absolutely Sunny
24,26-10-2022,9:55,in,car,1,,Absolutely Sunny
25,26-10-2022,9:55,in,car,3,,Absolutely Sunny
26,26-10-2022,9:55,in,car,1,Renault,Absolutely Sunny
27,26-10-2022,9:55,in,car,3,Renault,Absolutely Sunny
28,26-10-2022,9:55,in,car,5,VW,Absolutely Sunny
29,26-10-2022,9:55,in,car,2,Seat,Absolutely Sunny
30,26-10-2022,9:55,in,car,3,Toyota,Absolutely Sunny
31,26-10-2022,9:55,in,car,3,Hyundai,Absolutely Sunny
32,26-10-2022,9:55,in,car,1,BMW,Absolutely Sunny
33,26-10-2022,9:55,in,car,2,Hyundai,Absolutely Sunny
34,26-10-2022,9:55,in,car,3,,Absolutely Sunny
35,26-10-2022,9:55,in,car,4,VW,Absolutely Sunny
36,26-10-2022,10:00,in,bus,100%,,Absolutely Sunny
37,26-10-2022,10:00,in,car,2,Honda,Absolutely Sunny
38,26-10-2022,10:00,in,car,2,,Absolutely Sunny
39,26-10-2022,10:00,in,car,2,Fiat,Absolutely Sunny
40,26-10-2022,10:00,in,car,2,Fiat,Absolutely Sunny
41,26-10-2022,10:00,in,car,3,Peugeot,Absolutely Sunny
42,26-10-2022,10:00,in,car,2,,Absolutely Sunny
43,26-10-2022,10:00,in,car,4,,Absolutely Sunny
44,26-10-2022,10:00,in,car,1,Fiat,Absolutely Sunny
45,26-10-2022,10:00,in,car,3,Seat,Absolutely Sunny
46,26-10-2022,10:00,in,car,2,Hyundai,Absolutely Sunny
47,26-10-2022,10:00,in,car,1,Land Rover,Absolutely Sunny
48,26-10-2022,10:00,in,car,1,Hyundai,Absolutely Sunny
49,26-10-2022,10:00,in,car,2,Citoren,Absolutely Sunny
50,26-10-2022,10:00,in,bicycle,1,,Absolutely Sunny
51,26-10-2022,10:00,in,lorry,1,,Absolutely Sunny
52,26-10-2022,10:00,in,bus,100%,,Absolutely Sunny
53,26-10-2022,10:00,in,taxi,2,,Absolutely Sunny
54,26-10-2022,10:00,in,car,2,VW,Absolutely Sunny
55,26-10-2022,10:00,in,motorbike,1,,Absolutely Sunny
56,26-10-2022,10:00,in,bus,100%,,Absolutely Sunny
57,26-10-2022,10:05,in,car,2,Honda,Absolutely Sunny
58,26-10-2022,10:05,in,car,2,Fiat,Absolutely Sunny
59,26-10-2022,10:05,in,car,3,VW,Absolutely Sunny
60,26-10-2022,10:05,in,car,3,Audi,Absolutely Sunny
61,26-10-2022,10:05,in,car,1,,Absolutely Sunny
62,26-10-2022,10:05,in,car,2,VW,Absolutely Sunny
63,26-10-2022,10:05,in,car,1,Kia,Absolutely Sunny
64,26-10-2022,10:05,in,car,2,Fiat,Absolutely Sunny
65,26-10-2022,10:05,in,car,1,BMW,Absolutely Sunny
66,26-10-2022,10:05,in,car,2,Mitsubishi,Absolutely Sunny
67,26-10-2022,10:05,in,bicycle,1,,Absolutely Sunny
68,26-10-2022,10:05,in,car,2,Seat,Absolutely Sunny
69,26-10-2022,10:05,in,car,1,Kia,Absolutely Sunny
70,26-10-2022,10:05,in,car,2,Land Rover,Absolutely Sunny
71,26-10-2022,10:05,in,car,4,,Absolutely Sunny
72,26-10-2022,10:05,in,car,1,,Absolutely Sunny
73,26-10-2022,10:05,in,car,2,Hyundai,Absolutely Sunny
74,26-10-2022,10:05,in,car,2,Hyundai,Absolutely Sunny
75,26-10-2022,10:05,in,car,4,Nissan,Absolutely Sunny
76,26-10-2022,10:05,in,car,1,VW,Absolutely Sunny
77,26-10-2022,10:05,in,car,4,Seat,Absolutely Sunny
78,26-10-2022,10:05,in,car,1,,Absolutely Sunny
79,26-10-2022,10:05,in,van,1,,Absolutely Sunny
80,26-10-2022,10:05,in,car,3,VW,Absolutely Sunny
81,26-10-2022,10:10,in,car,1,Kia,Absolutely Sunny
82,26-10-2022,10:10,in,car,4,Ford,Absolutely Sunny
83,26-10-2022,10:10,in,bicycle,1,,Absolutely Sunny
84,26-10-2022,10:10,in,bicycle,1,,Absolutely Sunny
85,26-10-2022,10:10,in,car,3,Ford,Absolutely Sunny
86,26-10-2022,10:10,in,car,1,BMW,Absolutely Sunny
87,26-10-2022,10:10,in,car,3,Honda,Absolutely Sunny
88,26-10-2022,10:10,in,car,2,Benz,Absolutely Sunny
89,26-10-2022,10:10,in,car,2,Audi,Absolutely Sunny
90,26-10-2022,10:10,in,car,2,VW,Absolutely Sunny
91,26-10-2022,10:10,in,lorry,1,Citoren,Absolutely Sunny
92,26-10-2022,10:10,in,bicycle,1,,Absolutely Sunny
93,26-10-2022,10:10,in,taxi,2,Toyota,Absolutely Sunny
