Date, Time, Direction, Type, Occupancy, Driver_Age, Electric_Vehicle
25-10-2022, 10.00am, in, bicycle, 1, young, False
25-10-2022, 10.00am, in, car, 1, young, False
25-10-2022, 10.00am, in, car, 1, middle-aged, False
25-10-2022, 10.00am, in, bicycle, 1, young, False
25-10-2022, 10.00am, in, car, 1, old, False
25-10-2022, 10.00am, in, bus, 100%, middle-aged, True
25-10-2022, 10.00am, in, bus, 50%, old, True
25-10-2022, 10.00am, in, car, 1, young, False
25-10-2022, 10.00am, in, bicycle, 1, young, False
25-10-2022, 10.00am, in, bus, 90%, middle-aged, True
25-10-2022, 10.00am, in, car, 2, young, False
25-10-2022, 10.00am, in, car, 2, young, False
25-10-2022, 10.00am, in, van, 1, middle-aged, False
25-10-2022, 10.00am, in, van, 1, middle-aged, False
25-10-2022, 10.00am, in, bus, 70%, young, True
25-10-2022, 10.00am, in, bus, 100%, old, True
25-10-2022, 10.00am, in, car, 1, middle-aged, False
25-10-2022, 10.00am, in, car, 2, middle-aged, False
25-10-2022, 10.00am, in, car, 1, middle-aged, False
25-10-2022, 10.05am, in, car, 1, young, False
25-10-2022, 10.05am, in, car, 1, middle-aged, False
25-10-2022, 10.05am, in, bus, 40%, old, True
25-10-2022, 10.05am, in, car, 1, middle-aged, False
25-10-2022, 10.05am, in, car, 1, young, False
25-10-2022, 10.05am, in, car, 1, middle-aged, False
25-10-2022, 10.05am, in, car, 1, young, False
25-10-2022, 10.05am, in, bicycle, 1, young, False
25-10-2022, 10.05am, in, bicycle, 1, middle-aged, False
25-10-2022, 10.05am, in, car, 1, middle-aged, False
25-10-2022, 10.05am, in, bus, 80%, middle-aged, True
25-10-2022, 10.05am, in, bus, 60%, old, True
25-10-2022, 10.10am, in, car, 2, young, False
25-10-2022, 10.10am, in, bicycle, 1, young, True
25-10-2022, 10.10am, in, car, 1, young, False
25-10-2022, 10.10am, in, car, 1, middle-aged, False
25-10-2022, 10.10am, in, car, 1, young, False
25-10-2022, 10.10am, in, car, 2, old, False
25-10-2022, 10.10am, in, car, 2, young, False
25-10-2022, 10.10am, in, bicycle, 1, young, True
25-10-2022, 10.10am, in, car, 1, young, False
25-10-2022, 10.10am, in, car, 2, young, False
25-10-2022, 10.10am, in, car, 1, young, False
25-10-2022, 10.10am, in, car, 1, middle-aged, False
25-10-2022, 10.10am, in, car, 1, middle-aged, False
25-10-2022, 10.10am, in, van, 1, old, False
25-10-2022, 10.10am, in, car, 3, old, False
25-10-2022, 10.10am, in, taxi, 2, old, True
25-10-2022, 10.10am, in, bus, 30%, middle-aged, True
25-10-2022, 10.15am, in, car, 1, young, False
25-10-2022, 10.15am, in, bicycle, 1, young, False
25-10-2022, 10.15am, in, taxi, 1, middle-aged, False
25-10-2022, 10.15am, in, bus, 80%, old, True
25-10-2022, 10.15am, in, car, 1, middle-aged, False
25-10-2022, 10.15am, in, car, 2, young, False
25-10-2022, 10.15am, in, car, 1, middle-aged, False
25-10-2022, 10.15am, in, car, 1, middle-aged, False
25-10-2022, 10.15am, in, lorry, 2, middle-aged, False
25-10-2022, 10.15am, in, car, 1, young, False
25-10-2022, 10.15am, in, car, 1, old, False
25-10-2022, 10.15am, in, car, 1, young, False
25-10-2022, 10.20am, in, car, 1, middle-aged, False
25-10-2022, 10.20am, in, car, 1, middle-aged, False
25-10-2022, 10.20am, in, car, 1, middle-aged, False
25-10-2022, 10.20am, in, car, 2, middle-aged, False
25-10-2022, 10.20am, in, bus, 50%, middle-aged, True
25-10-2022, 10.20am, in, van, 2, middle-aged, False
25-10-2022, 10.20am, in, car, 2, young, True
25-10-2022, 10.20am, in, car, 1, young, False
25-10-2022, 10.20am, in, car, 1, middle-aged, False
25-10-2022, 10.20am, in, bus, 30%, middle-aged, True
25-10-2022, 10.20am, in, taxi, 2, middle-aged, True
25-10-2022, 10.20am, in, car, 1, middle-aged, False
25-10-2022, 10.20am, in, lorry, 1, middle-aged, False
25-10-2022, 10.20am, in, car, 1, young, True
25-10-2022, 10.25am, in, car, 1, middle-aged, False
25-10-2022, 10.25am, in, car, 2, old, False
25-10-2022, 10.25am, in, car, 1, middle-aged, False
25-10-2022, 10.25am, in, bus, 10%, middle-aged, True
25-10-2022, 10.25am, in, taxi, 1, middle-aged, True
25-10-2022, 10.25am, in, bicycle, 1, young, False
25-10-2022, 10.25am, in, bus, 100%, middle-aged, True
25-10-2022, 10.25am, in, bicycle, 1, young, True
25-10-2022, 10.25am, in, car, 1, young, False
25-10-2022, 10.25am, in, motorbike, 1, middle-aged, False
25-10-2022, 10.25am, in, car, 2, young, False
25-10-2022, 10.30am, in, car, 1, middle-aged, False
25-10-2022, 10.30am, in, car, 2, old, False
25-10-2022, 10.30am, in, car, 1, middle-aged, False
25-10-2022, 10.30am, in, car, 1, old, True
25-10-2022, 10.30am, in, bus, 60%, old, True
25-10-2022, 10.30am, in, car, 3, middle-aged, True
25-10-2022, 10.30am, in, car, 2, old, False
