Date,Time,Direction,Type,Occupancy,Car Size,Electric or Hybrid?
2022-10-25,10.00am,out,car,1,medium,no
2022-10-25,10.00am,out,car,1,large,no
2022-10-25,10.00am,out,car,1,small,no
2022-10-25,10.05am,out,car,3,large,no
2022-10-25,10.05am,out,car,1,small,no
2022-10-25,10.05am,out,car,1,medium,no
2022-10-25,10.05am,out,car,1,medium,no
2022-10-25,10.05am,out,bus,0%,null,no
2022-10-25,10.05am,out,car,1,medium,no
2022-10-25,10.05am,out,car,1,small,no
2022-10-25,10.05am,out,bus,5%,null,no
2022-10-25,10.05am,out,van,1,null,no
2022-10-25,10.05am,out,car,1,large,no
2022-10-25,10.10am,out,bus,1%,null,no
2022-10-25,10.10am,out,car,2,medium,no
2022-10-25,10.10am,out,bus,0%,null,no
2022-10-25,10.10am,out,bus,0%,null,no
2022-10-25,10.10am,out,car,1,medium,no
2022-10-25,10.10am,out,car,1,large,no
2022-10-25,10.10am,out,car,1,small,no
2022-10-25,10.10am,out,lorry,1,null,no
2022-10-25,10.10am,out,car,1,medium,no
2022-10-25,10.10am,out,car,1,large,no
2022-10-25,10.10am,out,car,1,medium,no
2022-10-25,10.10am,out,car,1,medium,no
2022-10-25,10.10am,out,car,1,large,no
2022-10-25,10.10am,out,car,1,large,no
2022-10-25,10.10am,out,car,1,large,no
2022-10-25,10:15,out,car,1,small,no
2022-10-25,10.15am,out,bus,5%,null,no
2022-10-25,10.15am,out,car,2,medium,no
2022-10-25,10.15am,out,taxi,1,medium,yes
2022-10-25,10.15am,out,car,3,large,yes
2022-10-25,10.15am,out,car,2,small,yes
2022-10-25,10.15am,out,bus,5%,null,no
2022-10-25,10.15am,out,car,1,medium,no
2022-10-25,10.15am,out,car,1,large,no
2022-10-25,10.15am,out,car,1,small,no
2022-10-25,10.15am,out,bicycle,1,null,no
2022-10-25,10.20am,out,car,1,medium,no
2022-10-25,10.20am,out,taxi,1,large,no
2022-10-25,10.20am,out,car,1,large,no
2022-10-25,10.20am,out,car,1,small,yes
2022-10-25,10.20am,out,car,1,small,no
2022-10-25,10.20am,out,car,2,large,no
2022-10-25,10.20am,out,car,1,medium,no
2022-10-25,10.20am,out,bus,0%,null,no
2022-10-25,10.20am,out,bus,10%,null,no
2022-10-25,10.20am,out,bicycle,1,null,no
2022-10-25,10.25am,out,car,3,small,no
2022-10-25,10.25am,out,van,1,null,no
2022-10-25,10.25am,out,bus,5%,null,no
2022-10-25,10.25am,out,car,2,small,no
2022-10-25,10.25am,out,bus,1%,null,no
2022-10-25,10.25am,out,car,2,large,no
2022-10-25,10.25am,out,car,1%,small,no
2022-10-25,10.25am,out,taxi,1,medium,no
2022-10-25,10.25am,out,car,1%,small,no
2022-10-25,10.30am,out,car,1,small,no
2022-10-25,10.30am,out,van,1%,null,no
2022-10-25,10.30am,out,car,1,large,no
2022-10-25,10.30am,out,car,1%,small,no
2022-10-25,10.30am,out,bus,1%,null,no
2022-10-25,10.30am,out,van,1%,null,no
