Date,TIME,Direction,TYPE,OCCUPANCY,GENDER OF DRIVER
26/10/2022,9:23,IN,CAR,25,M
26/10/2022,9:24,IN,CAR,25,F
26/10/2022,9:24,IN,BUS,70,M
26/10/2022,9:24,IN,CAR ,50,M
26/10/2022,9:25,IN,CAR,50,M
26/10/2022,9:26,IN,CAR,25,M
26/10/2022,9:26,IN,VAN,25,M
26/10/2022,9:27,IN,BIKE,100,M
26/10/2022,9:27,IN,BUS,85,M
26/10/2022,9:28,IN,CAR,50,M
26/10/2022,9:29,IN,CAR,75,M
26/10/2022,9:30,IN,BUS,80,M
26/10/2022,9:31,IN,CAR,25,M
26/10/2022,9:31,IN,VAN,25,M
26/10/2022,9:31,IN,BUS,80,M
26/10/2022,9:32,IN,CAR,25,M
26/10/2022,9:32,IN,CAR,50,M
26/10/2022,9:33,IN,BIKE,100,M
26/10/2022,9:33,IN,CAR,50,F
26/10/2022,9:34,IN,CAR,75,M
26/10/2022,9:35,IN,BUS,60,M
26/10/2022,9:35,IN,VAN,25,M
26/10/2022,9:36,IN,CAR,50,F
26/10/2022,9:36,IN,CAR,25,M
26/10/2022,9:37,IN,CAR,50,M
26/10/2022,9:37,IN,CAR,75,M
26/10/2022,9:38,IN,BUS,90,M
26/10/2022,9:39,IN,CAR,50,F
26/10/2022,9:39,IN,CAR,50,M
26/10/2022,9:40,IN,CAR,25,M
26/10/2022,9:41,IN,CAR,25,F
26/10/2022,9:42,IN,VAN,25,M
26/10/2022,9:42,IN,BIKE,100,M
26/10/2022,9:43,IN,BUS,90,M
26/10/2022,9:44,IN,CAR,50,F
26/10/2022,9:44,IN,CAR,75,F
26/10/2022,9:44,IN,CAR,25,M
26/10/2022,9:44,IN,BIKE,100,M
26/10/2022,9:45,IN,VAN,25,M
26/10/2022,9:45,IN,CAR,75,M
26/10/2022,9:45,IN,CAR,25,M
26/10/2022,9:46,IN,BIKE,100,M
26/10/2022,9:46,IN,BUS,60,M
26/10/2022,9:46,IN,CAR,25,M
26/10/2022,9:47,IN,CAR,50,F
26/10/2022,9:47,IN,CAR,25,M
26/10/2022,9:48,IN,BIKE,100,M
26/10/2022,9:48,IN,BUS,70,M
26/10/2022,9:48,IN,CAR,75,F
26/10/2022,9:49,IN,CAR,25,M
26/10/2022,9:50,IN,BUS,90,M
26/10/2022,9:50,IN,CAR,50,M
26/10/2022,9:51,IN,CAR,75,M
26/10/2022,9:52,IN,BUS,90,M
26/10/2022,9:52,IN,CAR,25,M
26/10/2022,9:53,IN,CAR,25,M
