Date,Time,Direction,Type,Occupancy,Sound_level,Electric_vehicle
24/10/2022,10:22,in,bus,60%,++,-
24/10/2022,10:22,in,car,2,+,+
24/10/2022,10:23,in,van,2,+,-
24/10/2022,10:23,in,car,2,+,-
24/10/2022,10:24,in,car,1,+,-
24/10/2022,10:24,in,bus,80%,++,-
24/10/2022,10:24,in,car,1,++,-
24/10/2022,10:24,in,car,1,+,-
24/10/2022,10:24,in,car,3,+,-
24/10/2022,10:24,in,car,1,+,+
24/10/2022,10:25,in,van,1,+,-
24/10/2022,10:25,in,van,2,+,-
24/10/2022,10:26,in,car,1,+,-
24/10/2022,10:26,in,car,1,+,-
24/10/2022,10:26,in,car,2,+,-
24/10/2022,10:26,in,bus,70%,++,-
24/10/2022,10:27,in,lorry,1,+++,-
24/10/2022,10:27,in,car,2,+,-
24/10/2022,10:27,in,car,1,+,+
24/10/2022,10:28,in,car,1,+,-
24/10/2022,10:28,in,car,1,+,+
24/10/2022,10:28,in,car,2,++,-
24/10/2022,10:28,in,car,1,++,-
24/10/2022,10:28,in,car,1,++,-
24/10/2022,10:28,in,car,3,++,-
24/10/2022,10:28,in,car,2,+,+
24/10/2022,10:29,in,car,1,++,-
24/10/2022,10:29,in,bus,90%,+,-
24/10/2022,10:29,in,bicycle,1,-,-
24/10/2022,10:29,in,bicycle,1,-,-
24/10/2022,10:29,in,car,4,+,-
24/10/2022,10:29,in,car,2,+,+
24/10/2022,10:29,in,car,4,+,-
24/10/2022,10:30,in,car,2,+,-
24/10/2022,10:31,in,car,1,+,-
24/10/2022,10:31,in,car,2,++,-
24/10/2022,10:32,in,car,1,+++,-
24/10/2022,10:32,in,car,1,++,-
24/10/2022,10:32,in,car,1,+,+
24/10/2022,10:32,in,lorry,1,+++,-
24/10/2022,10:33,in,car,3,+,-
24/10/2022,10:33,in,car,3,++,-
24/10/2022,10:33,in,car,2,++,-
24/10/2022,10:34,in,motorbike,1,+++,-
24/10/2022,10:34,in,car,1,++,-
24/10/2022,10:34,in,car,1,++,-
24/10/2022,10:34,in,car,1,++,+
24/10/2022,10:34,in,car,4,++,+
24/10/2022,10:34,in,car,1,+,-
24/10/2022,10:35,in,motorbike,1,+++,-
24/10/2022,10:35,in,car,2,++,-
24/10/2022,10:35,in,motorbike,1,++,-
24/10/2022,10:35,in,car,1,++,-
24/10/2022,10:35,in,car,1,++,-
24/10/2022,10:35,in,van,1,+,-
24/10/2022,10:35,in,bus,90%,+,-
24/10/2022,10:36,in,car,2,+,+
24/10/2022,10:36,in,car,2,+,-
24/10/2022,10:37,in,bicycle,1,-,-
24/10/2022,10:37,in,bus,100%,+,-
24/10/2022,10:38,in,car,1,+,-
24/10/2022,10:38,in,car,1,+,-
24/10/2022,10:39,in,car,1,++,-
