Date,Time,Direction,Type,Occupancy,Engine Type,Owner
24-10-2022,02:39pm,in,bus,75%,fuel,public
24-10-2022,02:40pm,in,car,25%,fuel,private
24-10-2022,02:41pm,in,car,50%,fuel,private
24-10-2022,02:41pm,in,van,25%,fuel,public
24-10-2022,02:41pm,in,car,25%,fuel,private
24-10-2022,02:41pm,in,car,25%,fuel,private
24-10-2022,02:44pm,in,car,25%,fuel,private
24-10-2022,02:44pm,in,car,25%,fuel,private
24-10-2022,02:44pm,in,car,25%,fuel,private
24-10-2022,02:45pm,in,car,25%,fuel,private
24-10-2022,02:45pm,in,taxi,75%,fuel,public
24-10-2022,02:46pm,in,car,25%,fuel,private
24-10-2022,02:46pm,in,car,25%,fuel,private
24-10-2022,02:47pm,in,car,25%,fuel,private
24-10-2022,02:48pm,in,car,50%,fuel,private
24-10-2022,02:48pm,in,car,25%,fuel,private
24-10-2022,02:48pm,in,van,25%,fuel,private
24-10-2022,02:49pm,in,car,25%,fuel,private
24-10-2022,02:49pm,in,car,25%,fuel,private
24-10-2022,02:50pm,in,car,25%,fuel,private
24-10-2022,02:51pm,in,car,25%,fuel,private
24-10-2022,02:52pm,in,car,25%,fuel,private
24-10-2022,02:52pm,in,bus,50%,fuel,public
24-10-2022,02:52pm,in,car,25%,fuel,private
24-10-2022,02:52pm,in,car,25%,fuel,private
24-10-2022,02:53pm,in,car,25%,fuel,private
24-10-2022,02:53pm,in,car,25%,fuel,private
24-10-2022,02:53pm,in,car,25%,fuel,private
24-10-2022,02:54pm,in,car,25%,fuel,private
24-10-2022,02:54pm,in,car,25%,fuel,private
24-10-2022,02:54pm,in,car,50%,fuel,private
24-10-2022,02:54pm,in,car,50%,fuel,private
24-10-2022,02:54pm,in,car,25%,fuel,private
24-10-2022,02:54pm,in,car,25%,fuel,private
24-10-2022,02:54pm,in,car,25%,fuel,private
24-10-2022,02:55pm,in,car,25%,fuel,private
24-10-2022,02:55pm,in,car,25%,fuel,private
24-10-2022,02:55pm,in,car,25%,fuel,private
24-10-2022,02:55pm,in,car,25%,fuel,private
24-10-2022,02:55pm,in,car,25%,fuel,private
24-10-2022,02:55pm,in,car,50%,fuel,private
24-10-2022,02:55pm,in,car,25%,fuel,private
24-10-2022,02:55pm,in,car,50%,fuel,private
24-10-2022,02:56pm,in,bus,50%,fuel,public
24-10-2022,02:57pm,in,lorry,25%,fuel,private
24-10-2022,02:58pm,in,bus,80%,fuel,public
24-10-2022,02:58pm,in,car,50%,electric,private
24-10-2022,03:01pm,in,car,75%,fuel,private
24-10-2022,03:02pm,in,car,50%,fuel,private
24-10-2022,03:02pm,in,car,50%,fuel,private
24-10-2022,03:05pm,in,car,25%,electric,private
24-10-2022,03:05pm,in,car,25%,fuel,private
24-10-2022,03:08pm,in,car,25%,fuel,private
24-10-2022,03:08pm,in,car,25%,fuel,private
24-10-2022,03:08pm,in,car,25%,fuel,private
