Data,Time,Direction,Type,Occupancy,Speed(km/h)
2022/10/25,10.39am,in,car,1,0.786
2022/10/25,10.40am,in,bus,70%,0.655
2022/10/25,10.40am,in,car,1,0.786
2022/10/25,10.41am,in,car,1,0.737
2022/10/25,10.42am,in,car,1,0.81
2022/10/25,10.42am,in,bus,80%,0.606
2022/10/25,10.43am,in,car,1,0.735
2022/10/25,10.43am,in,van,1,0.8
2022/10/25,10.43am,in,car,1,0.802
2022/10/25,10.44am,in,car,1,0.843
2022/10/25,10.44am,in,car,1,0.74
2022/10/25,10.45am,in,car,1,0.749
2022/10/25,10.46am,in,car,1,0.704
2022/10/25,10.46am,in,car,1,0.655
2022/10/25,10.46am,in,car,1,0.802
2022/10/25,10.47am,in,bus,80%,0.639
2022/10/25,10.48am,in,car,1,0.527
2022/10/25,10.48am,in,car,1,0.805
2022/10/25,10.49am,in,car,1,0.616
2022/10/25,10.51qm,in,bus,100%,0.881
2022/10/25,10.51am,in,car,1,0.561
2022/10/25,10.51am,in,car,2,0.639
2022/10/25,10.52am,in,car,1,0.929
2022/10/25,10.52am,in,bus,80%,0.826
2022/10/25,10.53am,in,moto,1,0.571
2022/10/25,10.53am,in,lorry,1,0.665
2022/10/25,10.54am,in,van,2,1.129
2022/10/25,10.55am,in,van,2,0.546
2022/10/25,10.55am,in,car,1,0.883
2022/10/25,10.56am,in,van,1,0.633
2022/10/25,10.57am,in,lorry,2,0.535
2022/10/25,10.57am,in,bike,1,0.398
2022/10/25,10.58am,in,bike,1,0.554
2022/10/25,10.58am,in,car,1,0.715
2022/10/25,10.58am,in,car,2,0.759
2022/10/25,10.59am,in,car,1,0.603
2022/10/25,11.00am,in,lorry,1,0.877
2022/10/25,11:01am,in,bus,80%,0.633
2022/10/25,11.02am,in,bus,90%,0.652
2022/10/25,11.03am,in,lorry,2,0.777
2022/10/25,11.04am,in,van,1,0.702
2022/10/25,11.05am,in,bus,70%,0.783
2022/10/25,11.05am,in,bus,100%,0.724
2022/10/25,11.05am,in,car,1,0.602
2022/10/25,11.06am,in,van,1,0.661
2022/10/25,11.07am,in,car,1,0.634
2022/10/25,11.08am,in,van,2,0.668
2022/10/25,11.09am,in,van,2,0.786
