date,direction,occupancy,capacity,not_petrol,type,time
25/10/2022,out,0.25,4,0,car,10.40AM
25/10/2022,out,0.25,4,0,car,10.40AM
25/10/2022,out,0.166666667,6,0,car,10.40AM
25/10/2022,out,0.5,2,0,van,10.40AM
25/10/2022,out,0.25,4,0,car,10.40AM
25/10/2022,out,0.25,4,0,car,10.40AM
25/10/2022,out,0.25,4,0,car,10.40AM
25/10/2022,out,0.75,4,0,car,10.45AM
25/10/2022,out,0.75,4,0,car,10.45AM
25/10/2022,out,0.25,4,0,car,10.45AM
25/10/2022,out,0.25,4,0,car,10.45AM
25/10/2022,out,0.25,4,0,car,10.45AM
25/10/2022,out,0.5,4,0,car,10.45AM
25/10/2022,out,0.5,4,0,car,10.45AM
25/10/2022,out,0.5,4,0,car,10.45AM
25/10/2022,out,0.125,80,0,bus,10.45AM
25/10/2022,out,0.5,2,0,van,10.45AM
25/10/2022,out,0.25,4,0,car,10.45AM
25/10/2022,out,0.25,4,0,taxi,10.45AM
25/10/2022,out,0.25,4,0,car,10.45AM
25/10/2022,out,0.0625,80,0,bus,10.45AM
25/10/2022,out,0.25,4,0,van,10.45AM
25/10/2022,out,0.25,4,0,car,10.45AM
25/10/2022,out,0.5,4,0,car,10.50AM
25/10/2022,out,1,4,0,car,10.50AM
25/10/2022,out,0.25,4,0,car,10.50AM
25/10/2022,out,0.25,4,0,car,10.50AM
25/10/2022,out,0.25,4,0,car,10.50AM
25/10/2022,out,0.125,80,0,bus,10.50AM
25/10/2022,out,0.25,4,0,taxi,10.50AM
25/10/2022,out,0.25,4,0,car,10.50AM
25/10/2022,out,0.5,4,0,car,10.50AM
25/10/2022,out,0.25,4,0,car,10.50AM
25/10/2022,out,0.75,4,0,car,10.55AM
25/10/2022,out,1,4,0,car,10.55AM
25/10/2022,out,0.25,4,0,car,10.55AM
25/10/2022,out,0.25,4,0,car,10.55AM
25/10/2022,out,0.25,4,0,car,10.55AM
25/10/2022,out,0.5,2,0,lorry,10.55AM
25/10/2022,out,0.5,2,0,van,10.55AM
25/10/2022,out,0.25,4,0,taxi,10.55AM
25/10/2022,out,0.25,4,0,car,10.55AM
25/10/2022,out,0.25,4,0,car,10.55AM
25/10/2022,out,0.25,4,0,taxi,10.55AM
25/10/2022,out,0.25,4,0,car,10.55AM
25/10/2022,out,0.25,4,0,car,10.55AM
25/10/2022,out,0.25,4,0,car,10.55AM
25/10/2022,out,0.125,80,0,bus,10.55AM
25/10/2022,out,0.25,4,0,car,10.55AM
25/10/2022,out,0.25,4,0,car,10.55AM
25/10/2022,out,0.5,4,0,car,10.55AM
25/10/2022,out,0.5,4,0,car,10.55AM
25/10/2022,out,0.25,4,0,car,10.55AM
25/10/2022,out,0.25,4,0,taxi,10.55AM
25/10/2022,out,0.25,4,0,car,11.00AM
25/10/2022,out,0.0625,80,0,bus,11.00AM
25/10/2022,out,0.25,4,0,car,11.00AM
25/10/2022,out,0.25,4,0,car,11.00AM
25/10/2022,out,0.5,4,0,car,11.00AM
25/10/2022,out,0.25,4,0,car,11.00AM
25/10/2022,out,0.25,4,0,car,11.00AM
25/10/2022,out,0.5,2,1,van,11.00AM
25/10/2022,out,0.5,2,0,van,11.00AM
25/10/2022,out,0.5,2,0,van,11.00AM
25/10/2022,out,0.125,80,0,bus,11.00AM
25/10/2022,out,0.25,4,0,car,11.00AM
25/10/2022,out,0.5,4,0,car,11.00AM
25/10/2022,out,0.75,4,0,car,11.00AM
25/10/2022,out,0.25,4,0,car,11.00AM
25/10/2022,out,0.5,2,0,van,11.00AM
25/10/2022,out,0.166666667,6,0,van,11.00AM
25/10/2022,out,0.25,4,0,car,11.00AM
25/10/2022,out,0.25,4,0,car,11.00AM
25/10/2022,out,0.333333333,60,0,bus,11.05AM
25/10/2022,out,0.25,4,0,car,11.05AM
25/10/2022,out,0.5,4,0,car,11.05AM
25/10/2022,out,0.5,2,0,lorry,11.05AM
25/10/2022,out,0.25,4,0,car,11.05AM
25/10/2022,out,0.25,4,0,car,11.05AM
25/10/2022,out,0.375,80,0,bus,11.05AM
25/10/2022,out,0.25,4,0,car,11.05AM
25/10/2022,out,0.25,4,0,car,11.05AM
25/10/2022,out,0.5,2,0,van,11.05AM
25/10/2022,out,0.25,4,0,car,11.05AM
25/10/2022,out,0.25,4,0,car,11.05AM
25/10/2022,out,0.25,4,0,car,11.05AM
25/10/2022,out,0.25,4,0,car,11.05AM
25/10/2022,out,0.25,4,0,car,11.05AM
