Date,Time,Direction,Type,Occupancy,Engine,Personal
25-10-2022,10.40am,in,car,2,combustion,True
25-10-2022,10.40am,in,car,2,combustion,True
25-10-2022,10.40am,in,van,1,combustion,False
25-10-2022,10.40am,in,bicycle,1,no engine,True
25-10-2022,10.40am,in,tractor,1,combustion,False
25-10-2022,10.40am,in,car,1,combustion,True
25-10-2022,10.40am,in,bus,80%,combustion,False
25-10-2022,10.40am,in,car,1,combustion,True
25-10-2022,10.40am,in,bus,1,combustion,False
25-10-2022,10.40am,in,car,2,combustion,True
25-10-2022,10.45am,in,car,4,combustion,True
25-10-2022,10.45am,in,car,2,combustion,True
25-10-2022,10.45am,in,car,1,combustion,True
25-10-2022,10.45am,in,car,1,combustion,True
25-10-2022,10.45am,in,van,1,combustion,False
25-10-2022,10.45am,in,van,2,combustion,False
25-10-2022,10.45am,in,car,1,combustion,True
25-10-2022,10.45am,in,car,3,combustion,True
25-10-2022,10.45am,in,car,3,combustion,True
25-10-2022,10.45am,in,car,1,combustion,True
25-10-2022,10.45am,in,car,2,combustion,True
25-10-2022,10.45am,in,car,2,combustion,True
25-10-2022,10.45am,in,car,2,combustion,True
25-10-2022,10.45am,in,car,1,combustion,True
25-10-2022,10.45am,in,car,1,combustion,True
25-10-2022,10.45am,in,car,2,combustion,True
25-10-2022,10.50am,in,car,1,combustion,True
25-10-2022,10.50am,in,taxi,2,combustion,False
25-10-2022,10.50am,in,car,1,combustion,True
25-10-2022,10.50am,in,car,1,combustion,True
25-10-2022,10.50am,in,car,2,combustion,True
25-10-2022,10.50am,in,car,2,combustion,True
25-10-2022,10.50am,in,car,1,combustion,True
25-10-2022,10.50am,in,car,2,combustion,True
25-10-2022,10.50am,in,taxi,2,combustion,False
25-10-2022,10.50am,in,van,3,combustion,False
25-10-2022,10.50am,in,car,1,combustion,True
25-10-2022,10.50am,in,car,2,combustion,True
25-10-2022,10.50am,in,car,1,combustion,True
25-10-2022,10.50am,in,bus,100%,combustion,False
25-10-2022,10.50am,in,car,1,combustion,True
25-10-2022,10.50am,in,car,1,combustion,True
25-10-2022,10.50am,in,car,1,combustion,True
25-10-2022,10.50am,in,car,1,hybrid,True
25-10-2022,10.50am,in,car,1,combustion,True
25-10-2022,10.50am,in,car,1,combustion,True
25-10-2022,10.50am,in,car,1,combustion,True
25-10-2022,10.50am,in,car,1,combustion,True
25-10-2022,10.50am,in,car,3,combustion,True
25-10-2022,10.50am,in,car,1,combustion,True
25-10-2022,10.50am,in,car,1,combustion,True
25-10-2022,10.50am,in,car,2,combustion,True
25-10-2022,10.50am,in,car,2,combustion,True
25-10-2022,10.50am,in,car,1,combustion,True
25-10-2022,10.50am,in,car,3,combustion,True
25-10-2022,10.50am,in,car,1,combustion,True
25-10-2022,10.50am,in,car,2,combustion,True
