Date,Time,Direction,Type,Occupancy,Use of Phone,Use of Seatbelt
25/10/2022,8.30am,in,car,1,no,yes
25/10/2022,8.30am,in,car,2,no,yes
25/10/2022,8.30am,in,car,1,no,yes
25/10/2022,8.30am,in,car,1,no,yes
25/10/2022,8.30am,in,car,2,no,yes
25/10/2022,8.30am,in,car,1,no,yes
25/10/2022,8.30am,in,Bicycle,1,no,NA
25/10/2022,8.30am,in,car,1,no,no
25/10/2022,8.30am,in,taxi,2,no,yes
25/10/2022,8.30am,in,car,2,no,yes
25/10/2022,8.30am,in,car,1,no,yes
25/10/2022,8.30am,in,bus,13,no,yes
25/10/2022,8.30am,in,car,1,no,yes
25/10/2022,8.35am,in,motorbike,2,no,NA
25/10/2022,8.35am,in,lorry,2,no,yes
25/10/2022,8.35am,in,taxi,1,no,yes
25/10/2022,8.35am,in,car,3,no,yes
25/10/2022,8.35am,in,van,2,no,yes
25/10/2022,8.35am,in,car,1,no,yes
25/10/2022,8.35am,in,car,2,no,yes
25/10/2022,8.35am,in,car,1,no,yes
25/10/2022,8.35am,in,car,1,yes,yes
25/10/2022,8.35am,in,bicycle,1,yes,NA
25/10/2022,8.35am,in,car,2,no,yes
25/10/2022,8.35am,in,car,1,no,yes
25/10/2022,8.35am,in,van,2,no,yes
25/10/2022,8.35am,in,car,1,no,yes
25/10/2022,8.35am,in,bus,8,no,yes
25/10/2022,8.40am,in,car,2,no,no
25/10/2022,8.40am,in,car,2,no,yes
25/10/2022,8.40am,in,car,1,no,yes
25/10/2022,8.40am,in,lorry,1,no,yes
25/10/2022,8.40am,in,car,2,no,no
25/10/2022,8.40am,in,car,1,no,yes
25/10/2022,8.40am,in,bus,9,no,yes
25/10/2022,8.40am,in,taxi,2,no,yes
25/10/2022,8.40am,in,car,1,no,yes
25/10/2022,8.40am,in,bicycle,1,no,NA
25/10/2022,8.40am,in,taxi,1,no,yes
25/10/2022,8.40am,in,car,1,no,yes
25/10/2022,8.40am,in,bicycle,1,no,NA
25/10/2022,8.40am,in,car,2,no,yes
25/10/2022,8.45am,in,car,1,no,yes
25/10/2022,8.45am,in,car,1,no,yes
25/10/2022,8.45am,in,car,2,no,yes
25/10/2022,8.45am,in,bicycle,1,no,NA
25/10/2022,8.45am,in,car,1,no,yes
25/10/2022,8.45am,in,bus,11,no,yes
25/10/2022,8.45am,in,car,2,no,yes
25/10/2022,8.45am,in,car,2,no,yes
25/10/2022,8.45am,in,motorbike,2,no,NA
25/10/2022,8.45am,in,car,1,no,yes
25/10/2022,8.45am,in,bus,13,no,yes
25/10/2022,8.45am,in,car,1,no,yes
25/10/2022,8.45am,in,lorry,1,no,yes
25/10/2022,8.45am,in,car,2,no,yes
25/10/2022,8.45am,in,lorry,1,no,yes
25/10/2022,8.45am,in,car,1,yes,yes
25/10/2022,8.50am,in,car,1,no,yes
25/10/2022,8.50am,in,car,2,no,no
25/10/2022,8.50am,in,bicycle,1,no,NA
25/10/2022,8.50am,in,car,2,no,yes
25/10/2022,8.50am,in,bus,15,no,yes
25/10/2022,8.50am,in,van,2,no,yes
25/10/2022,8.50am,in,car,1,no,yes
25/10/2022,8.50am,in,car,1,no,yes
25/10/2022,8.50am,in,car,2,no,no
25/10/2022,8.50am,in,car,1,yes,yes
25/10/2022,8.50am,in,van,2,no,yes
25/10/2022,8.50am,in,car,1,no,yes
25/10/2022,8.50am,in,bus,14,no,yes
25/10/2022,8.50am,in,bicycle,1,no,NA
25/10/2022,8.50am,in,bicycle,1,no,NA
25/10/2022,8.50am,in,car,1,yes,yes
25/10/2022,8.50am,in,car,2,no,yes
25/10/2022,8.55am,in,car,1,no,yes
25/10/2022,8.55am,in,lorry,1,no,yes
25/10/2022,8.55am,in,car,2,no,yes
25/10/2022,8.55am,in,bicycle,1,no,NA
25/10/2022,8.55am,in,car,1,no,yes
25/10/2022,8.55am,in,car,2,no,yes
25/10/2022,8.55am,in,bus,12,no,yes
25/10/2022,8.55am,in,car,1,no,yes
25/10/2022,8.55am,in,car,2,no,yes
25/10/2022,8.55am,in,car,3,no,no
25/10/2022,8.55am,in,van,2,no,yes
25/10/2022,8.55am,in,car,1,no,yes
25/10/2022,8.55am,in,car,1,no,yes
25/10/2022,8.55am,in,motorbike,1,no,NA
25/10/2022,8.55am,in,car,1,no,yes
25/10/2022,8.55am,in,motorbike,1,no,NA
25/10/2022,8.55am,in,car,2,no,yes
25/10/2022,8.55am,in,car,1,yes,yes
25/10/2022,8.55am,in,van,1,no,yes
25/10/2022,9.00am,in,car,2,no,yes
25/10/2022,9.00am,in,car,1,no,no
25/10/2022,9.00am,in,car,2,no,yes
25/10/2022,9.00am,in,van,2,no,yes
25/10/2022,9.00am,in,car,1,no,yes
25/10/2022,9.00am,in,bus,17,no,yes
25/10/2022,9.00am,in,car,1,no,yes
25/10/2022,9.00am,in,bicycle,1,no,NA
25/10/2022,9.00am,in,car,2,no,yes
25/10/2022,9.00am,in,bus,16,no,yes
25/10/2022,9.00am,in,car,3,no,yes
25/10/2022,9.00am,in,van,2,no,yes
25/10/2022,9.00am,in,motorbike,1,no,NA
25/10/2022,9.00am,in,car,1,no,yes
25/10/2022,9.00am,in,bus,18,no,yes
25/10/2022,9.00am,in,taxi,3,no,yes
25/10/2022,9.00am,in,car,1,no,yes
25/10/2022,9.00am,in,bicycle,1,no,NA
25/10/2022,9.00am,in,car,2,no,no
