Date,Time ,Direction of travel,Category of vehicle,Occupancy of the Vehicle,Vehicle Colour,Electric Vehicle
27-10-2022,10:52,In,Car,2,Black,No
27-10-2022,10:52,In,Lorry,2,Green,No
27-10-2022,10:52,In,Car,1,Red,No
27-10-2022,10:52,In,Bicycle,1,Black,No
27-10-2022,10:52,In,Bus,45.0,Blue,No
27-10-2022,10:52,In,Car,1,White,No
27-10-2022,10:52,In,Car,1,Green,No
27-10-2022,10:52,In,Bus,45.0,Blue,No
27-10-2022,10:52,In,Car,2,Black,No
27-10-2022,10:57,In,Bicycle,1,Black,No
27-10-2022,10:57,In,Bicycle,1,Black,No
27-10-2022,10:57,In,Car,1,Black,No
27-10-2022,10:57,In,Bus,90,Orange,No
27-10-2022,10:57,In,Van,3,White,No
27-10-2022,10:57,In,Bicycle,1,Black,No
27-10-2022,10:57,In,Van,1,Black,No
27-10-2022,10:57,In,Taxi,1,Black,No
27-10-2022,10:57,In,Bicycle,2,White,No
27-10-2022,10:57,In,Taxi,2,White,No
27-10-2022,10:57,In,Bicycle,2,Red,Yes
27-10-2022,10:57,In,Van,2,Grey,No
27-10-2022,10:57,In,Car,2,White,Yes
27-10-2022,10:57,In,Car,2,White,No
27-10-2022,11:02,In,Car,1,White,No
27-10-2022,11:02,In,Car,1,White,No
27-10-2022,11:02,In,Car,1,White,No
27-10-2022,11:02,In,Car,2,Grey,No
27-10-2022,11:02,In,Car,1,Black,No
27-10-2022,11:02,In,Taxi,2,Grey,No
27-10-2022,11:02,In,Car,1,Black,No
27-10-2022,11:02,In,Bus,90,Blue,No
27-10-2022,11:02,In,Bicycle,1,Black,No
27-10-2022,11:02,In,Car,1,White,No
27-10-2022,11:07,In,Bicycle,1,Green,No
27-10-2022,11:07,In,Car,2,Green,No
27-10-2022,11:07,In,Car,2,White,No
27-10-2022,11:07,In,Taxi,2,Black,No
27-10-2022,11:07,In,Car,1,Red,No
27-10-2022,11:07,In,Car,3,Grey,No
27-10-2022,11:07,In,Car,1,White,No
27-10-2022,11:07,In,Car,1,Grey,No
27-10-2022,11:07,In,Car,1,White,No
27-10-2022,11:07,In,Bus,45.0,Purple,No
27-10-2022,11:12,In,Car,2,White,No
27-10-2022,11:12,In,Lorry,1,Black,No
27-10-2022,11:12,In,Car,2,Blue,No
27-10-2022,11:12,In,Car,2,Grey,Yes
27-10-2022,11:12,In,Bus,90,Blue,No
27-10-2022,11:12,In,Car,1,White,No
27-10-2022,11:12,In,Car,2,White,No
27-10-2022,11:12,In,Car,2,Black,No
27-10-2022,11:12,In,Bicycle,1,Black,No
27-10-2022,11:12,In,Car,1,Grey,No
27-10-2022,11:17,In,Taxi,2,Black,No
27-10-2022,11:17,In,Car,1,Red,No
27-10-2022,11:17,In,Bus,45.0,Purple,No
27-10-2022,11:17,In,Car,1,Grey,Yes
27-10-2022,11:17,In,Car,1,Black,No
27-10-2022,11:17,In,Bus,90,Blue,No
27-10-2022,11:22,In,Bus,45.0,Blue,No
