Date,Time,Occupancy,Direction,Type,FUEL
26/10/2022,09:30,1,IN,BICYCLE,GAS
26/10/2022,09:31,10%,IN,BUS,GAS
26/10/2022,09:31,1,IN,BICYCLE,GAS
26/10/2022,09:31,2,IN,CAR,ELECTRIC
26/10/2022,09:33,1,IN,BICYCLE,GAS
26/10/2022,09:34,2,IN,CAR,GAS
26/10/2022,09:34,2,IN,TAXI,GAS
26/10/2022,09:34,5,IN,CAR,ELECTRIC
26/10/2022,09:34,2,IN,CAR,GAS
26/10/2022,09:36,2,IN,TAXI,GAS
26/10/2022,09:36,2,IN,TAXI,GAS
26/10/2022,09:36,2,IN,TAXI,GAS
26/10/2022,09:36,3,IN,VAN,GAS
26/10/2022,09:37,80%,IN,BUS,GAS
26/10/2022,09:37,2,IN,CAR,GAS
26/10/2022,09:38,3,IN,VAN,GAS
26/10/2022,09:38,2,IN,CAR,GAS
26/10/2022,09:38,1,IN,CAR,ELECTRIC
26/10/2022,09:38,2,IN,CAR,GAS
26/10/2022,09:39,2,IN,CAR,GAS
26/10/2022,09:39,2,IN,CAR,GAS
26/10/2022,09:39,40%,IN,BUS,GAS
26/10/2022,09:39,2,IN,VAN,GAS
26/10/2022,09:40,2,IN,CAR,ELECTRIC
26/10/2022,09:41,2,IN,CAR,GAS
26/10/2022,09:41,2,IN,VAN,GAS
26/10/2022,09:42,50%,IN,BUS,GAS
26/10/2022,09:42,10%,IN,BUS,GAS
26/10/2022,09:43,10%,IN,BUS,GAS
26/10/2022,09:43,1,IN,CAR,GAS
26/10/2022,09:43,1,IN,CAR,GAS
26/10/2022,09:44,2,IN,CAR,GAS
26/10/2022,09:44,4,IN,CAR,GAS
26/10/2022,09:45,1,IN,CAR,GAS
26/10/2022,09:45,30%,IN,BUS,GAS
26/10/2022,09:45,3,IN,TAXI,GAS
26/10/2022,09:46,3,IN,CAR,ELECTRIC
26/10/2022,09:47,2,IN,CAR,GAS
26/10/2022,09:47,2,IN,CAR,GAS
26/10/2022,09:47,1,IN,CAR,GAS
26/10/2022,09:47,1,IN,CAR,GAS
26/10/2022,09:47,30%,IN,BUS,GAS
26/10/2022,09:49,2,IN,VAN,GAS
26/10/2022,09:49,1,IN,CAR,GAS
26/10/2022,09:49,1,IN,CAR,GAS
26/10/2022,09:50,1,IN,BICYCLE,GAS
26/10/2022,09:50,3,IN,CAR,ELECTRIC
26/10/2022,09:50,1,IN,TAXI,GAS
26/10/2022,09:50,1,IN,CAR,GAS
26/10/2022,09:51,2,IN,CAR,GAS
26/10/2022,09:51,2,IN,CAR,GAS
26/10/2022,09:51,3,IN,VAN,GAS
26/10/2022,09:51,2,IN,CAR,GAS
26/10/2022,09:52,1,IN,TAXI,ELECTRIC
26/10/2022,09:53,2,IN,CAR,GAS
26/10/2022,09:54,1,IN,CAR,ELECTRIC
26/10/2022,09:56,1,IN,TAXI,GAS
26/10/2022,09:56,2,IN,CAR,GAS
26/10/2022,09:57,2,IN,CAR,GAS
26/10/2022,09:58,1,IN,CAR,GAS
26/10/2022,09:58,40%,IN,BUS,GAS
26/10/2022,09:58,2,IN,VAN,GAS
26/10/2022,09:59,3,IN,CAR,GAS
26/10/2022,09:59,2,IN,CAR,GAS
26/10/2022,09:59,1,IN,CAR,ELECTRIC
26/10/2022,10:00,60%,IN,BUS,GAS
26/10/2022,10:00,5,IN,CAR,GAS
