Date, Time, Direction, Type, Occupancy,Weather
27/10/2022, 1.30pm,out,Van,1,Partial Cloudy/ Sunny
27/10/2022, 1.30pm, out,Car,10%,Partial Cloudy/ Sunny
27/10/2022, 1.30pm,out,Taxi,1,Partial Cloudy/ Sunny
27/10/2022, 1.30pm,out,Bus,10%,Partial Cloudy/ Sunny
27/10/2022, 1.30pm,out,Bus,10%,Partial Cloudy/ Sunny
27/10/2022, 1.30pm,out,Car,4,Partial Cloudy/ Sunny
27/10/2022, 1.30pm,out,Car,2,Partial Cloudy/ Sunny
27/10/2022, 1.30pm,out,Car,1,Partial Cloudy/ Sunny
27/10/2022, 1.30pm,out,Car,4,Partial Cloudy/ Sunny
27/10/2022, 1.30pm,out,Car,2,Partial Cloudy/ Sunny
27/10/2022, 1.35pm,out,Car,1,Partial Cloudy/ Sunny
27/10/2022, 1.35pm,out,Car,2,Partial Cloudy/ Sunny
27/10/2022, 1.35pm,out,Car,1,Partial Cloudy/ Sunny
27/10/2022, 1.35pm,out,Bicycle,2,Partial Cloudy/ Sunny
27/10/2022, 1.35pm,out,Bicycle,1,Partial Cloudy/ Sunny
27/10/2022, 1.35pm,out,Motorbike,1,Partial Cloudy/ Sunny
27/10/2022, 1.35pm,out,Car,1,Partial Cloudy/ Sunny
27/10/2022, 1.35pm,out,Car,4,Partial Cloudy/ Sunny
27/10/2022, 1.35pm,out,Van,2,Partial Cloudy/ Sunny
27/10/2022, 1.35pm,out,Car,1,Partial Cloudy/ Sunny
27/10/2022, 1.35pm,out,Bicycle,1,Partial Cloudy/ Sunny
27/10/2022, 1.35pm,out,Car,1,Partial Cloudy/ Sunny
27/10/2022, 1.35pm,out,Car,5,Partial Cloudy/ Sunny
27/10/2022, 1.35pm,out,Car,4,Partial Cloudy/ Sunny
27/10/2022, 1.35pm,out,Car,1,Partial Cloudy/ Sunny
27/10/2022, 1.35pm,out,Car,5,Partial Cloudy/ Sunny
27/10/2022, 1.35pm,out,Car,4,Partial Cloudy/ Sunny
27/10/2022, 1.35pm,out,Car,2,Partial Cloudy/ Sunny
27/10/2022, 1.35pm,out,Car,2,Partial Cloudy/ Sunny
27/10/2022, 1.35pm,out,Car,1,Partial Cloudy/ Sunny
27/10/2022, 1.35pm,out,Car,1,Partial Cloudy/ Sunny
27/10/2022, 1.35pm,out,Bicycle,1,Partial Cloudy/ Sunny
27/10/2022, 1.35pm,out,Bicycle,1,Partial Cloudy/ Sunny
27/10/2022, 1.35pm,out,Bicycle,1,Partial Cloudy/ Sunny
