Date,Time,Direction,Type,Occupancy,Colour of Vehicle,Pedestrian Count
25/10/2022,10:35,Out,Car,2,Grey,N/A
25/10/2022,10:35,Out,Car,1,Red,N/A
25/10/2022,10:35,Out,Car,1,White,N/A
25/10/2022,10:35,Out,Car,2,Grey,N/A
25/10/2022,10:35,Out,Car,1,Red,N/A
25/10/2022,10:35,Out,Car,2,Black,N/A
25/10/2022,10:35,Out,Car,2,Grey,N/A
25/10/2022,10:35,Out,Car,1,Black,N/A
25/10/2022,10:35,Out,Car,2,White,N/A
25/10/2022,10:35,Out,Taxi,1,Grey,N/A
25/10/2022,10:35,Out,Van,1,Brown,N/A
25/10/2022,10:35,Out,Bus,5,Blue,N/A
25/10/2022,10:35,Out,Bus,5,Purple,N/A
25/10/2022,10:35,Out,Pedestrian,1,N/A,1
25/10/2022,10:40,Out,Car,1,Grey,N/A
25/10/2022,10:40,Out,Car,1,Grey,N/A
25/10/2022,10:40,Out,Car,1,Black,N/A
25/10/2022,10:40,Out,Van,1,Green,N/A
25/10/2022,10:40,Out,Van,1,Grey,N/A
25/10/2022,10:40,Out,Bus,3,Blue,N/A
25/10/2022,10:40,Out,Pedestrian,3,N/A,3
25/10/2022,10:45,Out,Car,1,Grey,N/A
25/10/2022,10:45,Out,Car,1,White,N/A
25/10/2022,10:45,Out,Car,2,Grey,N/A
25/10/2022,10:45,Out,Taxi,1,Grey,N/A
25/10/2022,10:45,Out,Van,1,Grey,N/A
25/10/2022,10:45,Out,Bus,3,Purple,N/A
25/10/2022,10:50,Out,Car,1,White,N/A
25/10/2022,10:50,Out,Car,3,Grey,N/A
25/10/2022,10:50,Out,Car,1,Grey,N/A
25/10/2022,10:50,Out,Car,1,Black,N/A
25/10/2022,10:50,Out,Car,1,Blue,N/A
25/10/2022,10:50,Out,Taxi,1,Black,N/A
25/10/2022,10:50,Out,Bus,4,Blue,N/A
25/10/2022,10:50,Out,Bus,8,Blue,N/A
25/10/2022,10:50,Out,Pedestrian,2,N/A,2
25/10/2022,10:55,Out,Car,1,Grey,N/A
25/10/2022,10:55,Out,Car,1,Black,N/A
25/10/2022,10:55,Out,Car,1,White,N/A
25/10/2022,10:55,Out,Car,1,Red,N/A
25/10/2022,10:55,Out,Car,1,Black,N/A
25/10/2022,10:55,Out,Taxi,1,Black,N/A
25/10/2022,10:55,Out,Taxi,1,Black,N/A
25/10/2022,10:55,Out,Van,1,Red,N/A
25/10/2022,10:55,Out,Bus,12,Blue,N/A
25/10/2022,10:55,Out,Pedestrian,7,N/A,7
25/10/2022,11:00,Out,Car,1,Black,N/A
25/10/2022,11:00,Out,Car,2,Black,N/A
25/10/2022,11:00,Out,Car,1,Black,N/A
25/10/2022,11:00,Out,Car,1,Black,N/A
25/10/2022,11:00,Out,Car,2,White,N/A
25/10/2022,11:00,Out,Car,1,White,N/A
25/10/2022,11:00,Out,Van,1,Red,N/A
25/10/2022,11:00,Out,Van,1,White,N/A
25/10/2022,11:00,Out,Van,1,Blue,N/A
25/10/2022,11:00,Out,Van,1,Blue,N/A
25/10/2022,11:00,Out,Bus,12,Purple,N/A
25/10/2022,11:00,Out,Bus,16,Blue,N/A
25/10/2022,11:00,Out,Bus,1,Red,N/A
25/10/2022,11:00,Out,Pedestrian,1,N/A,1
