Date,Time,Direction,Type,Occupancy,Vehicle Age(years),Brand Name
23-10-2023,10.00am,in,bus,35,6,Aquae
23-10-2023,10.01am,in,bicycle,1,N/A,Specialized
23-10-2023,10.01am,in,motorbike,1,1,Honda
23-10-2023,10.01am,in,bus,49,7,Aquae
23-10-2023,10.02am,in,car,2,19,Mercedes
23-10-2023,10.02am,in,car,3,9,Hyundai
23-10-2023,10.02am,in,car,1,13,Honda
23-10-2023,10.02am,in,car,1,8,Hyundai
23-10-2023,10.04am,in,car,2,14,Toyota
23-10-2023,10.04am,in,car,3,3,Renault
23-10-2023,10.04am,in,car,1,6,Skoda
23-10-2023,10.04am,in,car,1,4,Citroën
23-10-2023,10.04am,in,car,1,7,Vauxhall
23-10-2023,10.04am,in,car,2,11,Mercedes
23-10-2023,10.04am,in,car,1,5,Hyundai
23-10-2023,10.05am,in,bicycle,1,N/A,Specialized
23-10-2023,10.05am,in,car,1,2,Jeep
23-10-2023,10.05am,in,car,3,13,Kia
23-10-2023,10.05am,in,car,1,18,BMW
23-10-2023,10.06am,in,car,1,12,Toyota
23-10-2023,10.06am,in,car,2,1,BMW
23-10-2023,10.07am,in,car,2,6,Skoda
23-10-2023,10.08am,in,car,2,6,Volkswagon
23-10-2023,10.08am,in,car,1,3,Volkswagon
23-10-2023,10.08am,in,car,1,2,BMW
23-10-2023,10.08am,in,bus,70,7,Aquae
23-10-2023,10.08am,in,car,2,1,Kia
23-10-2023,10.09am,in,car,1,18,Toyota
23-10-2023,10.09am,in,bicycle,1,N/A,Trek
23-10-2023,10.09am,in,car,2,1,Volkswagon
23-10-2023,10.09am,in,car,1,0,Honda
23-10-2023,10.09am,in,car,2,3,BMW
23-10-2023,10.09am,in,car,1,8,Volkswagon
23-10-2023,10.10am,in,car,2,5,Skoda
23-10-2023,10.10am,in,bicycle,1,N/A,Specialized
23-10-2023,10.10am,in,car,1,3,Fiat
23-10-2023,10.10am,in,car,1,6,Mercedes
23-10-2023,10.11am,in,car,1,12,Honda
23-10-2023,10.11am,in,car,1,13,Toyota
23-10-2023,10.12am,in,car,1,3,Fiat
23-10-2023,10.13am,in,bus,70,7,Aquae
23-10-2023,10.13am,in,car,1,7,Peugeot
23-10-2023,10.14am,in,car,2,4,BMW
23-10-2023,10.15am,in,car,1,9,Volkswagon
23-10-2023,10.15am,in,car,1,7,Volkswagon
23-10-2023,10.15am,in,car,2,5,Toyota
23-10-2023,10.15am,in,car,3,11,Honda
23-10-2023,10.15am,in,bus,70,19,Wessex Connect
23-10-2023,10.15am,in,bus,70,7,Aquae
23-10-2023,10.15am,in,bicycle,1,N/A,Specialized
23-10-2023,10.15am,in,car,1,6,Volkswagon
23-10-2023,10.15am,in,car,3,11,Nissan
23-10-2023,10.15am,in,car,2,8,Volkswagon
23-10-2023,10.16am,in,motorbike,1,17,Yamaha
23-10-2023,10.16am,in,motorbike,1,21,BMW
23-10-2023,10.16am,in,car,2,16,Volkswagon
23-10-2023,10.17am,in,taxi,2,22,Toyota
23-10-2023,10.17am,in,bus,70,6,Aquae
23-10-2023,10.17am,in,car,1,10,Toyota
23-10-2023,10.17am,in,car,2,11,Bentley
23-10-2023,10.18am,in,car,2,9,Mazda
23-10-2023,10.18am,in,car,1,14,BMW
23-10-2023,10.19am,in,car,1,2,Toyota
23-10-2023,10.20am,in,car,1,5,Audi
23-10-2023,10.20am,in,car,2,8,Kia
23-10-2023,10.20am,in,bus,70,7,Aquae
23-10-2023,10.21am,in,van,2,8,Toyota
23-10-2023,10.21am,in,car,2,9,Fiat
23-10-2023,10.21am,in,bus,70,7,Aquae
23-10-2023,10.21am,in,motorbike,1,1,Yamaha
23-10-2023,10.21am,in,bus,28,7,Aquae
23-10-2023,10.21am,in,car,2,3,Skoda
23-10-2023,10.21am,in,car,2,7,Fiat
23-10-2023,10.22am,in,car,3,8,Skoda
23-10-2023,10.22am,in,bicycle,1,N/A,Canyon
23-10-2023,10.22am,in,car,2,12,Citroën
23-10-2023,10.23am,in,van,2,3,Toyota
23-10-2023,10.23am,in,car,2,5,Audi
23-10-2023,10.23am,in,car,1,19,Bentley
23-10-2023,10.23am,in,motorbike,1,4,Yamaha
23-10-2023,10.24am,in,car,1,13,Bentley
23-10-2023,10.24am,in,bicycle,1,N/A,Canyon
23-10-2023,10.24am,in,car,1,8,Skoda
23-10-2023,10.25am,in,car,1,8,Ford
23-10-2023,10.26am,in,car,1,2,Kia
23-10-2023,10.26am,in,car,2,2,Volkswagon
23-10-2023,10.26am,in,car,1,5,Volkswagon
23-10-2023,10.27am,in,car,1,7,Mercedes
23-10-2023,10.27am,in,car,2,2,Peugeot
23-10-2023,10.27am,in,car,2,6,Nissan
23-10-2023,10.27am,in,car,3,6,Seat
23-10-2023,10.27am,in,van,2,7,Fiat
23-10-2023,10.27am,in,car,1,15,Honda
23-10-2023,10.28am,in,car,2,10,Nissan
23-10-2023,10.28am,in,car,2,1,Nissan
23-10-2023,10.28am,in,bus,14,6,Wessex Connect
23-10-2023,10.28am,in,car,2,3,Range Rover
23-10-2023,10.28am,in,car,1,6,Seat
23-10-2023,10.30am,in,car,1,16,BMW
23-10-2023,10.30am,in,van,2,5,Citroën
23-10-2023,10.30am,in,car,1,6,Jeep
23-10-2023,10.30am,in,car,1,5,Citroën
