Date,Time,Direction,Type,Occupancy,AdditionalData1,AdditionalData2
23-10-2023,10:05 AM,Out,Bus,1%,No,null
23-10-2023,10:05 AM,Out,Bus,1%,No,null
23-10-2023,10:05 AM,Out,Car,1,No,null
23-10-2023,10:05 AM,Out,Taxi,1,No,null
23-10-2023,10:05 AM,Out,Car,1,No,null
23-10-2023,10:05 AM,Out,Car,1,No,null
23-10-2023,10:05 AM,Out,Bus,1%,No,null
23-10-2023,10:05 AM,Out,Car,1,No,null
23-10-2023,10:05 AM,Out,Car,1,No,null
23-10-2023,10:05 AM,Out,Bus,5%,No,null
23-10-2023,10:05 AM,Out,Car,2,No,null
23-10-2023,10:05 AM,Out,Car,1,No,null
23-10-2023,10:05 AM,Out,Car,1,No,null
23-10-2023,10:05 AM,Out,Van,2,No,null
23-10-2023,10:10 AM,Out,Car,1,No,null
23-10-2023,10:10 AM,Out,Car,1,No,null
23-10-2023,10:10 AM,Out,Car,1,No,null
23-10-2023,10:10 AM,Out,Car,2,No,null
23-10-2023,10:10 AM,Out,Car,2,No,null
23-10-2023,10:10 AM,Out,Car,1,No,null
23-10-2023,10:10 AM,Out,Bus,1%,No,null
23-10-2023,10:10 AM,Out,Car,1,Yes,null
23-10-2023,10:10 AM,Out,Car,2,No,null
23-10-2023,10:10 AM,Out,Taxi,2,No,null
23-10-2023,10:10 AM,Out,Car,1,No,null
23-10-2023,10:10 AM,Out,Car,1,No,null
23-10-2023,10:10 AM,Out,Car,2,No,null
23-10-2023,10:10 AM,Out,Bus,5%,No,null
23-10-2023,10:10 AM,Out,Taxi,1,No,null
23-10-2023,10:15 AM,Out,Car,1,No,null
23-10-2023,10:15 AM,Out,Car,2,No,null
23-10-2023,10:15 AM,Out,Car,1,No,null
23-10-2023,10:15 AM,Out,Car,3,No,null
23-10-2023,10:15 AM,Out,Taxi,1,No,null
23-10-2023,10:15 AM,Out,Car,2,No,null
23-10-2023,10:15 AM,Out,Car,1,No,null
23-10-2023,10:15 AM,Out,Car,1,No,null
23-10-2023,10:15 AM,Out,Car,1,No,null
23-10-2023,10:15 AM,Out,Taxi,1,No,null
23-10-2023,10:15 AM,Out,Bicycle,1,Yes,null
23-10-2023,10:20 AM,Out,Car,2,No,null
23-10-2023,10:20 AM,Out,Car,1,No,null
23-10-2023,10:20 AM,Out,Lorry,1,No,null
23-10-2023,10:20 AM,Out,Car,1,No,null
23-10-2023,10:20 AM,Out,Lorry,2,No,null
23-10-2023,10:20 AM,Out,Bus,5%,No,null
23-10-2023,10:20 AM,Out,Lorry,1,No,null
23-10-2023,10:20 AM,Out,Car,1,No,null
23-10-2023,10:20 AM,Out,Bus,60%,No,null
23-10-2023,10:20 AM,Out,Car,1,No,null
23-10-2023,10:20 AM,Out,Van,1,No,null
23-10-2023,10:20 AM,Out,Car,2,No,null
23-10-2023,10:25 AM,Out,Bus,1%,No,null
23-10-2023,10:25 AM,Out,Car,1,Yes,null
23-10-2023,10:25 AM,Out,Car,1,No,null
23-10-2023,10:25 AM,Out,Lorry,2,No,null
23-10-2023,10:25 AM,Out,Bus,1%,No,null
23-10-2023,10:25 AM,Out,Car,1,No,null
23-10-2023,10:25 AM,Out,Car,1,Yes,null
23-10-2023,10:25 AM,Out,Van,1,No,null
23-10-2023,10:25 AM,Out,Bus,5%,No,null
23-10-2023,10:30 AM,Out,Bus,1%,No,null
23-10-2023,10:30 AM,Out,Car,1,No,null
23-10-2023,10:30 AM,Out,Car,1,Yes,null
23-10-2023,10:30 AM,Out,Car,1,No,null
23-10-2023,10:30 AM,Out,Car,1,No,null
23-10-2023,10:30 AM,Out,Van,1,No,null
