Date,Time,Direction,Type,Occupancy,Color,Public/Private
23-10-2023,10.30am,out,car,20,grey,private
23-10-2023,10.30am,out,car,20,other,private
23-10-2023,10.30am,out,car,20,grey,private
23-10-2023,10.30am,out,van,50,white,public
23-10-2023,10.30am,out,van,100,,public
23-10-2023,10.30am,out,car,40,black,public
23-10-2023,10.30am,out,car,20,black,private
23-10-2023,10.30am,out,bus,10,blue,public
23-10-2023,10.30am,out,car,20,red,private
23-10-2023,10.30am,out,car,20,blue,private
23-10-2023,10.30am,out,bicycle,100,grey,private
23-10-2023,10.30am,out,bus ,20,blue,public
23-10-2023,10.30am,out,car,40,grey,private
23-10-2023,10.30am,out,bus,10,white,public
23-10-2023,10.35am,out,lorry,50,grey,private
23-10-2023,10.35am,out,car,20,grey,private
23-10-2023,10.35am,out,car,10,red,private
23-10-2023,10.35am,out,car,20,black,private
23-10-2023,10.40am,out,car,20,red,public
23-10-2023,10.40am,out,car,20,grey,private
23-10-2023,10.40am,out,bus,10,blue,public
23-10-2023,10.40am,out,car,20,grey,private
23-10-2023,10.40am,out,taxi,20,grey,public
23-10-2023,10.40am,out,car,40,other,private
23-10-2023,10.40am,out,lorry,50,white,public
23-10-2023,10.40am,out,car,20,white,private
23-10-2023,10.40am,out,car,50,black,private
23-10-2023,10.45am,out,car,40,black,private
23-10-2023,10.45am,out,car,20,red,public
23-10-2023,10.45am,out,car,20,grey,private
23-10-2023,10.45am,out,car,40,black,private
23-10-2023,10.45am,out,car,40,black,private
23-10-2023,10.45am,out,bus,10,black,public
23-10-2023,10.45am,out,van,50,white,private
23-10-2023,10.45am,out,car,20,black,private
23-10-2023,10.45am,out,car,20,red,private
23-10-2023,10.45am,out,bus,20,black,private
23-10-2023,10.50am,out,car,20,blue,public
23-10-2023,10.50am,out,bus,5,blue,public
23-10-2023,10.50am,out,car,20,red,private
23-10-2023,10.50am,out,car,40,red,private
23-10-2023,10.50am,out,car,50,red,private
23-10-2023,10.50am,out,car,20,white,private
23-10-2023,10.50am,out,car,20,blue,private
23-10-2023,10.50am,out,car,20,black,private
23-10-2023,10.50am,out,car,20,white,private
23-10-2023,10.50am,out,lorry,50,white,public
23-10-2023,10.50am,out,car,50,black,private
23-10-2023,10.55am,out,car,20,black,private
23-10-2023,10.55am,out,car,20,black,private
23-10-2023,10.55am,out,bus,10,blue,public
23-10-2023,10.55am,out,car,20,grey,private
23-10-2023,10.55am,out,bus,30,blue,public
23-10-2023,10.55am,out,car,50,grey,private
23-10-2023,10.55am,out,car,40,blue,private
23-10-2023,10.55am,out,car,50,red,private
23-10-2023,10.55am,out,car,40,grey,private
23-10-2023,10.55am,out,car,40,white,private
23-10-2023,10.55am,out,car,20,black,private
