Date,Time,Direction,Type,Occupancy,Carpool,Rideshare
26-10-2023,10:35AM,out,car,1,0,0
26-10-2023,10:35AM,out,car,2,1,0
26-10-2023,10:35AM,out,car,2,1,0
26-10-2023,10:35AM,out,car,1,0,0
26-10-2023,10:35AM,out,car,1,0,0
26-10-2023,10:35AM,out,car,1,0,0
26-10-2023,10:35AM,out,lorry,1,0,0
26-10-2023,10:40AM,out,car,2,1,0
26-10-2023,10:40AM,out,car,1,0,0
26-10-2023,10:40AM,out,car,2,1,0
26-10-2023,10:40AM,out,bus,70%,0,0
26-10-2023,10:40AM,out,car,2,1,0
26-10-2023,10:40AM,out,car,2,1,0
26-10-2023,10:40AM,out,bus,80%,0,0
26-10-2023,10:40AM,out,car,1,0,0
26-10-2023,10:40AM,out,car,1,0,0
26-10-2023,10:40AM,out,bicycle,1,0,0
26-10-2023,10:40AM,out,car,2,1,0
26-10-2023,10:40AM,out,car,1,0,0
26-10-2023,10:40AM,out,scooter,1,0,1
26-10-2023,10:40AM,out,car,1,0,0
26-10-2023,10:40AM,out,car,1,0,0
26-10-2023,10:45AM,out,car,2,1,0
26-10-2023,10:45AM,out,car,1,0,0
26-10-2023,10:45AM,out,car,4,1,0
26-10-2023,10:45AM,out,car,2,1,0
26-10-2023,10:45AM,out,car,1,0,0
26-10-2023,10:45AM,out,car,3,1,0
26-10-2023,10:45AM,out,van,1,0,0
26-10-2023,10:45AM,out,lorry,1,0,0
26-10-2023,10:45AM,out,car,1,0,0
26-10-2023,10:45AM,out,van,1,0,0
26-10-2023,10:45AM,out,van,2,0,0
26-10-2023,10:45AM,out,car,1,0,0
26-10-2023,10:50AM,out,car,1,0,0
26-10-2023,10:50AM,out,car,2,1,0
26-10-2023,10:50AM,out,taxi,2,0,0
26-10-2023,10:50AM,out,car,1,0,0
26-10-2023,10:50AM,out,car,1,0,0
26-10-2023,10:50AM,out,bus,90%,0,0
26-10-2023,10:50AM,out,car,1,0,0
26-10-2023,10:50AM,out,car,1,0,0
26-10-2023,10:50AM,out,car,2,1,0
26-10-2023,10:50AM,out,car,1,0,0
26-10-2023,10:50AM,out,car,1,0,0
26-10-2023,10:50AM,out,bicycle,1,0,0
26-10-2023,10:50AM,out,bicycle,1,0,0
26-10-2023,10:50AM,out,car,1,0,0
26-10-2023,10:50AM,out,car,4,1,0
26-10-2023,10:50AM,out,van,1,0,0
26-10-2023,10:50AM,out,car,1,0,0
26-10-2023,10:55AM,out,bus,100%,0,0
26-10-2023,10:55AM,out,car,2,1,0
26-10-2023,10:55AM,out,car,4,1,0
26-10-2023,10:55AM,out,car,2,1,0
26-10-2023,10:55AM,out,car,1,0,0
26-10-2023,10:55AM,out,car,2,1,0
26-10-2023,10:55AM,out,bus,90%,0,0
26-10-2023,10:55AM,out,car,4,1,0
26-10-2023,10:55AM,out,car,1,0,0
26-10-2023,10:55AM,out,car,1,0,0
26-10-2023,10:55AM,out,car,3,1,0
26-10-2023,10:55AM,out,car,1,0,0
26-10-2023,10:55AM,out,car,1,0,0
26-10-2023,10:55AM,out,bicycle,1,0,0
26-10-2023,10:55AM,out,car,5,1,0
26-10-2023,10:55AM,out,motorbike,1,0,0
26-10-2023,10:55AM,out,bus,100%,0,0
26-10-2023,10:55AM,out,car,1,0,0
26-10-2023,10:55AM,out,car,1,0,0
26-10-2023,10:55AM,out,car,1,0,0
26-10-2023,10:55AM,out,car,1,0,0
26-10-2023,10:55AM,out,van,1,0,0
26-10-2023,10:55AM,out,car,1,0,0
26-10-2023,10:55AM,out,car,2,1,0
26-10-2023,10:55AM,out,car,1,0,0
26-10-2023,10:55AM,out,car,1,0,0
26-10-2023,10:55AM,out,car,1,0,0
26-10-2023,10:55AM,out,car,3,1,0
26-10-2023,10:55AM,out,car,4,1,0
26-10-2023,10:55AM,out,bus,100%,0,0
26-10-2023,11:00AM,out,car,1,0,0
26-10-2023,11:00AM,out,car,1,0,0
26-10-2023,11:00AM,out,car,4,1,0
26-10-2023,11:00AM,out,car,1,0,0
26-10-2023,11:00AM,out,car,4,1,0
26-10-2023,11:00AM,out,bus,95%,0,0
26-10-2023,11:00AM,out,car,1,0,0
26-10-2023,11:00AM,out,car,2,1,0
26-10-2023,11:00AM,out,car,2,1,0
26-10-2023,11:00AM,out,car,1,0,0
26-10-2023,11:00AM,out,car,1,0,0
26-10-2023,11:00AM,out,car,2,1,0
26-10-2023,11:00AM,out,car,3,1,0
26-10-2023,11:00AM,out,car,3,1,0
26-10-2023,11:00AM,out,van,1,0,0
26-10-2023,11:00AM,out,car,2,1,0
26-10-2023,11:00AM,out,motorbike,1,0,0
26-10-2023,11:00AM,out,car,2,1,0
26-10-2023,11:00AM,out,car,4,1,0
26-10-2023,11:00AM,out,bus,60%,0,0
26-10-2023,11:00AM,out,car,2,1,0
