Date,Time,Direction,Type,Occupancy,Vehicle Category,Colour
24-10-2023,10.30am,in,car,1,3,2
24-10-2023,10.30am,in,van,1,3,6
24-10-2023,10.30am,in,car,1,3,5
24-10-2023,10.30am,in,car,1,3,5
24-10-2023,10.30am,in,car,1,3,3
24-10-2023,10.30am,in,car,1,3,2
24-10-2023,10.30am,in,car,1,3,5
24-10-2023,10.30am,in,car,2,3,3
24-10-2023,10.30am,in,car,1,3,2
24-10-2023,10.30am,in,car,3,3,5
24-10-2023,10.30am,in,car,1,3,6
24-10-2023,10.30am,in,car,1,3,7
24-10-2023,10.30am,in,van,1,1,6
24-10-2023,10.30am,in,van,1,1,6
24-10-2023,10.30am,in,car,1,3,4
24-10-2023,10.30am,in,car,1,3,2
24-10-2023,10.30am,in,bus,100%,2,1
24-10-2023,10.30am,in,car,1,3,2
24-10-2023,10.30am,in,car,1,3,3
24-10-2023,10.30am,in,car,1,3,6
24-10-2023,10.30am,in,van,2,1,2
24-10-2023,10.30am,in,car,1,3,1
24-10-2023,10.30am,in,car,1,3,3
24-10-2023,10.30am,in,car,1,3,2
24-10-2023,10.30am,in,car,1,3,6
24-10-2023,10.30am,in,car,1,3,5
24-10-2023,10.30am,in,van,1,3,6
24-10-2023,10.30am,in,car,1,3,2
24-10-2023,10.30am,in,car,1,3,5
24-10-2023,10.35am,in,car,1,3,5
24-10-2023,10.35am,in,car,1,3,2
24-10-2023,10.35am,in,car,1,3,5
24-10-2023,10.35am,in,car,2,3,6
24-10-2023,10.35am,in,car,1,3,2
24-10-2023,10.35am,in,car,1,3,5
24-10-2023,10.35am,in,car,1,3,5
24-10-2023,10.35am,in,bus,100%,2,1
24-10-2023,10.35am,in,car,1,3,5
24-10-2023,10.35am,in,car,2,3,2
24-10-2023,10.35am,in,car,2,3,2
24-10-2023,10.35am,in,car,1,3,5
24-10-2023,10.35am,in,car,1,3,3
24-10-2023,10.35am,in,car,2,3,2
24-10-2023,10.35am,in,car,2,3,5
24-10-2023,10.40am,in,car,1,3,6
24-10-2023,10.40am,in,car,1,3,3
24-10-2023,10.40am,in,car,1,3,5
24-10-2023,10.40am,in,car,1,3,3
24-10-2023,10.40am,in,car,1,3,3
24-10-2023,10.40am,in,car,2,3,2
24-10-2023,10.40am,in,scooter,1,3,2
24-10-2023,10.40am,in,car,2,3,3
24-10-2023,10.40am,in,car,1,3,4
24-10-2023,10.40am,in,car,1,3,2
24-10-2023,10.40am,in,lorry,1,1,6
24-10-2023,10.40am,in,car,1,3,5
24-10-2023,10.40am,in,car,2,3,2
24-10-2023,10.40am,in,van,1,1,6
24-10-2023,10.40am,in,car,1,3,5
24-10-2023,10.40am,in,van,2,1,6
24-10-2023,10.40am,in,car,1,3,3
24-10-2023,10.40am,in,bus,100%,2,1
24-10-2023,10.45am,in,mini truck,1,1,6
24-10-2023,10.45am,in,bus,50%,2,1
24-10-2023,10.45am,in,car,1,3,2
24-10-2023,10.45am,in,car,1,3,6
24-10-2023,10.45am,in,car,1,3,6
24-10-2023,10.45am,in,car,1,3,2
24-10-2023,10.45am,in,car,1,3,2
24-10-2023,10.45am,in,car,1,3,5
24-10-2023,10.45am,in,taxi,1,2,5
24-10-2023,10.45am,in,bicycle,1,3,2
24-10-2023,10.45am,in,car,1,3,5
24-10-2023,10.45am,in,car,1,3,6
24-10-2023,10.45am,in,car,1,3,3
24-10-2023,10.45am,in,car,1,3,6
24-10-2023,10.45am,in,car,1,3,4
24-10-2023,10.45am,in,motorbike,1,3,3
24-10-2023,10.45am,in,bicycle,1,3,3
24-10-2023,10.45am,in,bus,85%,2,1
24-10-2023,10.45am,in,bus,37%,2,1
24-10-2023,10.45am,in,car,2,3,5
24-10-2023,10.45am,in,taxi,1,2,5
24-10-2023,10.45am,in,car,2,3,2
24-10-2023,10.45am,in,car,1,3,2
24-10-2023,10.45am,in,car,1,3,2
24-10-2023,10.45am,in,taxi,1,2,6
24-10-2023,10.45am,in,car,1,3,2
24-10-2023,10.45am,in,car,1,3,2
24-10-2023,10.45am,in,car,2,3,2
24-10-2023,10.45am,in,car,1,3,3
24-10-2023,10.45am,in,car,1,3,4
24-10-2023,10.45am,in,car,1,3,3
24-10-2023,10.50am,in,car,2,3,2
24-10-2023,10.50am,in,car,2,3,6
24-10-2023,10.50am,in,taxi,1,2,6
24-10-2023,10.50am,in,car,1,3,6
24-10-2023,10.50am,in,van,1,1,5
24-10-2023,10.50am,in,car,1,3,2
24-10-2023,10.50am,in,car,2,3,6
24-10-2023,10.50am,in,car,1,3,6
24-10-2023,10.50am,in,car,2,3,6
24-10-2023,10.50am,in,car,2,3,2
24-10-2023,10.50am,in,car,1,3,5
24-10-2023,10.50am,in,car,1,3,6
24-10-2023,10.50am,in,car,2,3,2
24-10-2023,10.50am,in,car,1,3,2
24-10-2023,10.50am,in,car,1,3,5
24-10-2023,10.50am,in,car,2,3,2
24-10-2023,10.50am,in,car,1,3,3
24-10-2023,10.50am,in,car,1,3,2
24-10-2023,10.50am,in,van,1,3,5
24-10-2023,10.50am,in,car,1,3,5
24-10-2023,10.50am,in,car,1,3,2
24-10-2023,10.50am,in,car,1,3,5
24-10-2023,10.50am,in,car,1,3,2
24-10-2023,10.50am,in,car,1,3,5
24-10-2023,10.50am,in,car,1,3,5
24-10-2023,10.50am,in,car,1,3,6
24-10-2023,10.50am,in,car,2,3,5
24-10-2023,10.55am,in,van,2,1,6
24-10-2023,10.55am,in,bicycle,1,3,6
24-10-2023,10.55am,in,car,1,3,5
24-10-2023,10.55am,in,scooter,1,3,5
24-10-2023,10.55am,in,car,2,3,6
24-10-2023,10.55am,in,car,1,3,2
24-10-2023,10.55am,in,car,1,3,5
24-10-2023,10.55am,in,bicycle,1,3,2
24-10-2023,10.55am,in,van,1,1,5
24-10-2023,10.55am,in,bus,95%,2,4
24-10-2023,10.55am,in,car,2,3,6
24-10-2023,10.55am,in,car,2,3,5
24-10-2023,10.55am,in,car,1,3,2
24-10-2023,10.55am,in,mini truck,1,1,5
24-10-2023,10.55am,in,bus,50%,2,1
24-10-2023,10.55am,in,car,1,3,2
24-10-2023,10.55am,in,car,2,3,6
24-10-2023,10.55am,in,car,1,3,5
24-10-2023,10.55am,in,car,1,3,2
24-10-2023,10.55am,in,car,1,3,5
24-10-2023,10.55am,in,car,2,3,3
24-10-2023,10.55am,in,car,2,3,5
24-10-2023,10.55am,in,car,1,3,5
24-10-2023,10.55am,in,car,4,3,5
24-10-2023,10.55am,in,car,1,3,5
24-10-2023,10.55am,in,car,2,3,6
24-10-2023,10.55am,in,car,1,3,6
24-10-2023,10.55am,in,car,1,3,5
24-10-2023,10.55am,in,car,1,3,2
24-10-2023,10.55am,in,car,2,3,6
24-10-2023,10.55am,in,car,1,3,5
24-10-2023,10.55am,in,car,1,3,5
24-10-2023,10.55am,in,car,2,3,5
24-10-2023,11.00am,in,car,1,3,5
24-10-2023,11.00am,in,car,1,3,3
