Date ,Time,Direction,Type,Occupancy,Driver Gender,Fuel Type
"Tuesday, 24 October 2023",10:15:00 AM,IN,car,3,male,ICE
"Tuesday, 24 October 2023",10:15:00 AM,IN,truck,2,male,ICE
"Tuesday, 24 October 2023",10:15:00 AM,IN,bus,80%,male,ICE
"Tuesday, 24 October 2023",10:15:00 AM,IN,bus ,100%,male,ICE
"Tuesday, 24 October 2023",10:15:00 AM,IN,truck,2,male,ICE
"Tuesday, 24 October 2023",10:15:00 AM,IN,bicycle,1,male,ZEV
"Tuesday, 24 October 2023",10:15:00 AM,IN,car,3,female,ICE
"Tuesday, 24 October 2023",10:15:00 AM,IN,car,1,male,ICE
"Tuesday, 24 October 2023",10:15:00 AM,IN,car,4,male,ICE
"Tuesday, 24 October 2023",10:15:00 AM,IN,car,3,male,ICE
"Tuesday, 24 October 2023",10:15:00 AM,IN,motorbike,1,male,ICE
"Tuesday, 24 October 2023",10:15:00 AM,IN,motorbike,1,male,ICE
"Tuesday, 24 October 2023",10:15:00 AM,IN,car,2,male,ICE
"Tuesday, 24 October 2023",10:20:00 AM,IN,car,3,female,ICE
"Tuesday, 24 October 2023",10:20:00 AM,IN,car,1,female,ICE
"Tuesday, 24 October 2023",10:20:00 AM,IN,car,1,male,ICE
"Tuesday, 24 October 2023",10:20:00 AM,IN,car,1,female,ICE
"Tuesday, 24 October 2023",10:20:00 AM,IN,car,1,female,ICE
"Tuesday, 24 October 2023",10:20:00 AM,IN,car,4,male,ICE
"Tuesday, 24 October 2023",10:20:00 AM,IN,car,3,female,ICE
"Tuesday, 24 October 2023",10:20:00 AM,IN,bus ,100%,female,ICE
"Tuesday, 24 October 2023",10:20:00 AM,IN,car,1,male,ICE
"Tuesday, 24 October 2023",10:20:00 AM,IN,car,1,female,ICE
"Tuesday, 24 October 2023",10:20:00 AM,IN,car,3,female,ICE
"Tuesday, 24 October 2023",10:20:00 AM,IN,car,2,female,ICE
"Tuesday, 24 October 2023",10:20:00 AM,IN,car,2,male,ICE
"Tuesday, 24 October 2023",10:20:00 AM,IN,car,1,female,ICE
"Tuesday, 24 October 2023",10:20:00 AM,IN,car,1,female,ICE
"Tuesday, 24 October 2023",10:20:00 AM,IN,car,1,female,ICE
"Tuesday, 24 October 2023",10:20:00 AM,IN,car,1,male,ICE
"Tuesday, 24 October 2023",10:20:00 AM,IN,car,1,male,ICE
"Tuesday, 24 October 2023",10:20:00 AM,IN,car,2,male,ICE
"Tuesday, 24 October 2023",10:20:00 AM,IN,car,1,male,ICE
"Tuesday, 24 October 2023",10:20:00 AM,IN,car,1,female,ICE
"Tuesday, 24 October 2023",10:20:00 AM,IN,car,1,female,ICE
"Tuesday, 24 October 2023",10:20:00 AM,IN,car,3,female,ICE
"Tuesday, 24 October 2023",10:20:00 AM,IN,bus,80%,female,ICE
"Tuesday, 24 October 2023",10:20:00 AM,IN,car,3,male,ICE
"Tuesday, 24 October 2023",10:20:00 AM,IN,car,1,female,ICE
"Tuesday, 24 October 2023",10:20:00 AM,IN,bus ,50%,male,ICE
"Tuesday, 24 October 2023",10:20:00 AM,IN,car,2,male,ICE
"Tuesday, 24 October 2023",10:20:00 AM,IN,car,2,female,ICE
