Date,Time,Direction,Type,Occupancy,is_carpool,is_rideshare
26-10-2023,10:35 AM,out,van,1,,0
26-10-2023,10:35 AM,out,van,1,,0
26-10-2023,10:35 AM,out,taxi,1,,0
26-10-2023,10:35 AM,out,bus,5%,,0
26-10-2023,10:35 AM,out,car,1,0,0
26-10-2023,10:40 AM,out,car,1,0,0
26-10-2023,10:40 AM,out,taxi,1,,0
26-10-2023,10:40 AM,out,car,2,1,0
26-10-2023,10:40 AM,out,van,1,,0
26-10-2023,10:40 AM,out,car,1,0,0
26-10-2023,10:40 AM,out,lorry,1,,0
26-10-2023,10:45 AM,out,car,4,1,0
26-10-2023,10:45 AM,out,car,1,0,0
26-10-2023,10:45 AM,out,car,1,0,0
26-10-2023,10:45 AM,out,bus,1%,,0
26-10-2023,10:45 AM,out,car,4,1,0
26-10-2023,10:45 AM,out,car,2,1,0
26-10-2023,10:50 AM,out,car,3,1,0
26-10-2023,10:50 AM,out,car,1,0,0
26-10-2023,10:50 AM,out,car,1,0,0
26-10-2023,10:50 AM,out,taxi,2,,0
26-10-2023,10:50 AM,out,motorbike,1,,0
26-10-2023,10:50 AM,out,motorbike,1,,0
26-10-2023,10:50 AM,out,motorbike,1,,0
26-10-2023,10:55 AM,out,taxi,1,,0
26-10-2023,10:55 AM,out,car,2,1,0
26-10-2023,10:55 AM,out,car,1,0,0
26-10-2023,10:55 AM,out,car,2,1,0
26-10-2023,10:55 AM,out,bus,25%,,0
26-10-2023,10:55 AM,out,bus,0%,,0
26-10-2023,10:55 AM,out,van,1,,0
26-10-2023,10:55 AM,out,car,1,0,0
26-10-2023,11:00 AM,out,car,1,0,0
26-10-2023,11:00 AM,out,bus,1,,0
26-10-2023,11:00 AM,out,motorbike,1,,0
26-10-2023,11:00 AM,out,car,1,0,0
26-10-2023,11:00 AM,out,car,1,0,0
26-10-2023,11:00 AM,out,car,3,1,0
26-10-2023,11:00 AM,out,car,2,1,0
26-10-2023,11:00 AM,out,motorbike,1,,0
26-10-2023,11:05 AM,out,car,2,1,0
26-10-2023,11:05 AM,out,car,1,0,0
