Date,Time,Direction,Type,Occupancy,Electric,Part of Mobility Service
24-10-2023,10.30am,in,car,1,0,0
24-10-2023,10.30am,in,car,3,0,0
24-10-2023,10.30am,in,car,1,0,0
24-10-2023,10.30am,in,bus,0%,0,0
24-10-2023,10.30am,in,car,1,0,0
24-10-2023,10.30am,in,bus,0%,0,0
24-10-2023,10.30am,in,car,1,0,0
24-10-2023,10.30am,in,car,1,0,0
24-10-2023,10.30am,in,bike,1,0,0
24-10-2023,10.30am,in,car,1,0,0
24-10-2023,10.30am,in,car,3,0,0
24-10-2023,10.30am,in,bus,10%,0,0
24-10-2023,10.30am,in,car,1,0,0
24-10-2023,10.30am,in,bus,0%,0,0
24-10-2023,10.35am,in,car,1,0,0
24-10-2023,10.35am,in,car,1,0,0
24-10-2023,10.35am,in,car,2,0,0
24-10-2023,10.35am,in,car,1,0,0
24-10-2023,10.35am,in,car,2,0,0
24-10-2023,10.35am,in,car,1,0,0
24-10-2023,10.35am,in,car,1,1,0
24-10-2023,10.35am,in,car,1,0,0
24-10-2023,10.35am,in,lorry,1,0,0
24-10-2023,10.35am,in,van,1,0,0
24-10-2023,10.40am,in,bus,5%,0,0
24-10-2023,10.40am,in,bus,5%,0,0
24-10-2023,10.40am,in,car,1,0,0
24-10-2023,10.40am,in,car,1,0,0
24-10-2023,10.45am,in,car,2,0,0
24-10-2023,10.45am,in,car,1,0,0
24-10-2023,10.45am,in,car,2,0,0
24-10-2023,10.45am,in,taxi,1,0,0
24-10-2023,10.45am,in,car,1,1,0
24-10-2023,10.50am,in,taxi,1,1,0
24-10-2023,10.50am,in,taxi,1,0,0
24-10-2023,10.50am,in,car,2,0,0
24-10-2023,10.50am,in,bus,0%,0,0
24-10-2023,10.50am,in,bus,0%,0,0
24-10-2023,10.50am,in,bus,10%,0,0
24-10-2023,10.50am,in,car,1,0,0
24-10-2023,10.55am,in,van,1,0,0
24-10-2023,10.55am,in,car,1,0,0
24-10-2023,10.55am,in,car,1,0,0
24-10-2023,10.55am,in,car,1,0,0
24-10-2023,10.55am,in,van,1,0,0
24-10-2023,10.55am,in,car,2,0,0
24-10-2023,10.55am,in,car,1,0,0
24-10-2023,10.55am,in,van,1,0,0
24-10-2023,10.55am,in,car,1,0,0
