Date,Time,Direction,Type,Occupancy,Origin,AdditionalData2
26-10-2023,10.10am,in,car,1,right,null
26-10-2023,10.10am,in,car,2,right,null
26-10-2023,10.10am,in,car,1,right,null
26-10-2023,10.10am,in,car,2,right,null
26-10-2023,10.10am,in,car,2,right,null
26-10-2023,10.10am,in,car,1,right,null
26-10-2023,10.10am,in,car,1,right,null
26-10-2023,10.10am,in,car,1,right,null
26-10-2023,10.10am,in,car,1,right,null
26-10-2023,10.10am,in,car,1,right,null
26-10-2023,10.10am,in,car,1,right,null
26-10-2023,10.10am,in,car,2,left,null
26-10-2023,10.10am,in,car,1,left,null
26-10-2023,10.10am,in,car,1,left,null
26-10-2023,10.10am,in,car,2,left,null
26-10-2023,10.10am,in,bus,100%,right,null
26-10-2023,10.10am,in,van,2,right,null
26-10-2023,10.15am,in,car,1,right,null
26-10-2023,10.15am,in,car,1,right,null
26-10-2023,10.15am,in,car,1,right,null
26-10-2023,10.15am,in,car,1,right,null
26-10-2023,10.15am,in,car,1,right,null
26-10-2023,10.15am,in,car,2,right,null
26-10-2023,10.15am,in,car,1,right,null
26-10-2023,10.15am,in,car,1,right,null
26-10-2023,10.15am,in,car,4,right,null
26-10-2023,10.15am,in,car,1,right,null
26-10-2023,10.15am,in,car,3,right,null
26-10-2023,10.15am,in,car,1,right,null
26-10-2023,10.15am,in,car,3,left,null
26-10-2023,10.15am,in,car,2,left,null
26-10-2023,10.15am,in,car,1,left,null
26-10-2023,10.15am,in,car,1,left,null
26-10-2023,10.15am,in,car,2,left,null
26-10-2023,10.15am,in,car,2,left,null
26-10-2023,10.15am,in,car,1,left,null
26-10-2023,10.15am,in,car,1,left,null
26-10-2023,10.15am,in,bus,25%,right,null
26-10-2023,10.15am,in,bus,50%,left,null
26-10-2023,10.15am,in,van,1,right,null
26-10-2023,10.15am,in,van,1,left,null
26-10-2023,10.15am,in,lorry,1,left,null
26-10-2023,10.15am,in,bicycle,1,right,null
26-10-2023,10.15am,in,bicycle,1,right,null
26-10-2023,10.20am,in,car,1,right,null
26-10-2023,10.20am,in,car,4,right,null
26-10-2023,10.20am,in,car,1,right,null
26-10-2023,10.20am,in,car,2,right,null
26-10-2023,10.20am,in,car,1,right,null
26-10-2023,10.20am,in,car,2,right,null
26-10-2023,10.20am,in,car,1,right,null
26-10-2023,10.20am,in,car,2,right,null
26-10-2023,10.20am,in,car,1,right,null
26-10-2023,10.20am,in,car,1,left,null
26-10-2023,10.20am,in,car,1,left,null
26-10-2023,10.20am,in,car,1,left,null
26-10-2023,10.20am,in,bus,75%,right,null
26-10-2023,10.20am,in,bus,75%,right,null
26-10-2023,10.20am,in,bus,25%,right,null
26-10-2023,10.20am,in,bus,0%,right,null
26-10-2023,10.20am,in,bicycle,1,left,null
26-10-2023,10.20am,in,bicycle,1,left,null
26-10-2023,10.20am,in,motorbike,1,left,null
26-10-2023,10.20am,in,scooter,1,right,null
26-10-2023,10.25am,in,car,2,right,null
26-10-2023,10.25am,in,car,2,right,null
26-10-2023,10.25am,in,car,1,right,null
26-10-2023,10.25am,in,car,1,right,null
26-10-2023,10.25am,in,car,2,right,null
26-10-2023,10.25am,in,car,2,right,null
26-10-2023,10.25am,in,car,3,right,null
26-10-2023,10.25am,in,car,4,left,null
26-10-2023,10.25am,in,car,1,left,null
26-10-2023,10.25am,in,car,1,left,null
26-10-2023,10.25am,in,bus,25%,right,null
26-10-2023,10.25am,in,bus,25%,right,null
26-10-2023,10.25am,in,van,1,right,null
26-10-2023,10.25am,in,van,1,left,null
26-10-2023,10.25am,in,van,2,left,null
26-10-2023,10.25am,in,taxi,1,right,null
26-10-2023,10.25am,in,taxi,1,right,null
26-10-2023,10.25am,in,bicycle,1,left,null
26-10-2023,10.25am,in,bicycle,1,left,null
26-10-2023,10.30am,in,car,2,right,null
26-10-2023,10.30am,in,car,2,right,null
26-10-2023,10.30am,in,car,2,right,null
26-10-2023,10.30am,in,car,1,right,null
26-10-2023,10.30am,in,car,2,right,null
26-10-2023,10.30am,in,car,1,left,null
26-10-2023,10.30am,in,car,1,left,null
26-10-2023,10.30am,in,car,2,left,null
26-10-2023,10.30am,in,car,1,left,null
26-10-2023,10.30am,in,car,1,left,null
26-10-2023,10.30am,in,van,1,right,null
26-10-2023,10.30am,in,van,1,left,null
26-10-2023,10.30am,in,van,1,left,null
26-10-2023,10.30am,in,van,1,left,null
26-10-2023,10.30am,in,bicycle,1,left,null
26-10-2023,10.30am,in,bicycle,2,left,null
26-10-2023,10.30am,in,motorbike,1,left,null
26-10-2023,10.35am,in,car,2,right,null
26-10-2023,10.35am,in,car,1,right,null
26-10-2023,10.35am,in,car,2,right,null
26-10-2023,10.35am,in,car,1,right,null
26-10-2023,10.35am,in,car,1,right,null
26-10-2023,10.35am,in,car,1,right,null
26-10-2023,10.35am,in,car,5,right,null
26-10-2023,10.35am,in,car,2,right,null
26-10-2023,10.35am,in,car,1,right,null
26-10-2023,10.35am,in,car,1,right,null
26-10-2023,10.35am,in,car,2,right,null
