Date,Time,Direction,Type,Occupancy,Age_Id,Is_env_friendly
25-10-2023,10:27am,out,car,1,15,No
25-10-2023,10:29am,out,car,1,18,No
25-10-2023,10:29am,out,car,2,19,No
25-10-2023,10:30am,out,bus,5%,67,Yes
25-10-2023,10:30am,out,car,1,64,No
25-10-2023,10:31am,out,bus,10%,17,Yes
25-10-2023,10:31am,out,car,1,12,No
25-10-2023,10:31am,out,car,1,7,No
25-10-2023,10:32am,out,car,1,72,No
25-10-2023,10:33am,out,car,1,64,No
25-10-2023,10:33am,out,car,1,57,No
25-10-2023,10:34am,out,car,2,6,No
25-10-2023,10:35am,out,bus,5%,66,Yes
25-10-2023,10:35am,out,bus,10%,66,Yes
25-10-2023,10:36am,out,motorbike,1,19,No
25-10-2023,10:36am,out,car,1,9,No
25-10-2023,10:37am,out,van,1,65,No
25-10-2023,10:38am,out,car,1,19,No
25-10-2023,10:38am,out,car,1,20,No
25-10-2023,10:39am,out,car,1,14,No
25-10-2023,10:39am,out,car,1,15,No
25-10-2023,10:40am,out,bus,25%,22,Yes
25-10-2023,10:40am,out,car,2,14,No
25-10-2023,10:41am,out,car,1,12,No
25-10-2023,10:42am,out,car,1,69,No
25-10-2023,10:42am,out,bus,3%,66,Yes
25-10-2023,10:42am,out,car,1,10,No
25-10-2023,10:43am,out,car,1,72,No
25-10-2023,10:43am,out,van,2,65,No
25-10-2023,10:43am,out,bus,2%,66,Yes
25-10-2023,10:43am,out,car,1,19,No
25-10-2023,10:44am,out,car,1,70,No
25-10-2023,10:45am,out,van,1,71,No
25-10-2023,10:45am,out,van,1,23,No
25-10-2023,10:45am,out,car,2,63,No
25-10-2023,10:46am,out,car,2,64,No
25-10-2023,10:47am,out,bus,5%,11,Yes
25-10-2023,10:47am,out,car,1,12,No
25-10-2023,10:47am,out,van,1,70,No
25-10-2023,10:48am,out,car,1,69,No
25-10-2023,10:48am,out,car,1,67,No
25-10-2023,10:48am,out,bus,5%,66,Yes
25-10-2023,10:48am,out,car,1,15,No
25-10-2023,10:48am,out,car,1,56,No
25-10-2023,10:49am,out,car,2,16,No
25-10-2023,10:50am,out,car,1,64,No
25-10-2023,10:50am,out,car,2,57,No
25-10-2023,10:51am,out,car,1,57,No
25-10-2023,10:51am,out,car,2,58,No
25-10-2023,10:51am,out,car,2,64,No
25-10-2023,10:51am,out,car,1,8,No
25-10-2023,10:52am,out,car,1,17,No
25-10-2023,10:52am,out,car,1,16,No
25-10-2023,10:53am,out,car,1,72,No
25-10-2023,10:53am,out,van,1,23,No
25-10-2023,10:54am,out,van,1,68,No
25-10-2023,10:55am,out,car,1,11,No
25-10-2023,10:56am,out,bus,25%,66,Yes
25-10-2023,10:56am,out,bus,26%,66,Yes
25-10-2023,10:57am,out,car,1,67,No
25-10-2023,10:57am,out,car,1,69,No
25-10-2023,10:57am,out,car,1,69,No
25-10-2023,10:57am,out,car,1,65,No
25-10-2023,10:58am,out,car,1,19,No
25-10-2023,10:58am,out,taxi,1,21,No
25-10-2023,10:59am,out,van,1,0,No
