Date,Time,Direction,Type,Occupancy,Colour,Brand
25-10-2023,8.20am,in,car,1,White,Mini
25-10-2023,8.20am,in,car,1,Grey,Volvo
25-10-2023,8.20am,in,car,1,Blue,Ford
25-10-2023,8.20am,in,car,1,Red,Hyundai
25-10-2023,8.20am,in,car,1,Blue,Ford
25-10-2023,8.20am,in,car,1,Red,Audi
25-10-2023,8.20am,in,car,1,Black,Citroen
25-10-2023,8.20am,in,car,1,Red,Peugeot
25-10-2023,8.20am,in,bus,90%,Blue,
25-10-2023,8.20am,in,car,2,White,Ford
25-10-2023,8.20am,in,car,1,Grey,Renault
25-10-2023,8.20am,in,car,1,Blue,Renault
25-10-2023,8.20am,in,bus,75%,Blue,
25-10-2023,8.20am,in,bus,80%,White,
25-10-2023,8.20am,in,car,1,White,BMW
25-10-2023,8.20am,in,bicycle,1,Black,
25-10-2023,8.20am,in,car,2,Black,Fiat
25-10-2023,8.20am,in,car,1,Grey,Ford
25-10-2023,8.20am,in,car,1,Black,Renault
25-10-2023,8.25am,in,car,1,Grey,Suzuki
25-10-2023,8.25am,in,car,1,Grey,Peugeot
25-10-2023,8.25am,in,car,1,White,Citroen
25-10-2023,8.25am,in,car,1,Grey,Seat
25-10-2023,8.25am,in,car,1,Red,Honda
25-10-2023,8.25am,in,car,1,Black,Mercedes Benz
25-10-2023,8.25am,in,car,1,Black,Honda
25-10-2023,8.25am,in,car,2,White,Mercedes Benz
25-10-2023,8.25am,in,car,2,Black,Ford
25-10-2023,8.25am,in,car,1,Blue,Ford
25-10-2023,8.25am,in,car,1,Black,Tesla
25-10-2023,8.25am,in,car,1,Black,Honda
25-10-2023,8.25am,in,car,1,White,Renault
25-10-2023,8.25am,in,car,1,White,Tesla
25-10-2023,8.30am,in,car,1,Blue,Hyundai
25-10-2023,8.30am,in,car,1,Red,Peugeot
25-10-2023,8.30am,in,car,1,Black,Audi
25-10-2023,8.30am,in,car,1,Blue,Toyota
25-10-2023,8.30am,in,car,1,Black,Toyota
25-10-2023,8.30am,in,car,1,Black,Honda
25-10-2023,8.30am,in,car,1,White,Toyota
25-10-2023,8.30am,in,taxi,1,White,Mercedes Benz
25-10-2023,8.30am,in,lorry,1,Black,Skoda
25-10-2023,8.30am,in,bus,25%,Blue,
25-10-2023,8.30am,in,car,1,Black,Skoda
25-10-2023,8.30am,in,car,1,Blue,Renault
25-10-2023,8.30am,in,car,1,Black,Ford
25-10-2023,8.30am,in,bus,20%,Blue,
25-10-2023,8.30am,in,car,1,Grey,Skoda
25-10-2023,8.30am,in,car,1,Blue,Ford
25-10-2023,8.30am,in,car,1,Grey,Volkswagen
25-10-2023,8.30am,in,car,1,Red,Volvo
25-10-2023,8.30am,in,car,1,Blue,Mini
25-10-2023,8.30am,in,car,2,Red,Peugeot
25-10-2023,8.30am,in,car,3,Blue,Audi
25-10-2023,8.30am,in,car,2,Grey,Volkswagen
25-10-2023,8.30am,in,car,1,Cream,Mini
25-10-2023,8.30am,in,car,1,Black,Peugeot
25-10-2023,8.30am,in,car,1,Black,Renault
25-10-2023,8.30am,in,car,1,Green,Skoda
25-10-2023,8.35am,in,car,1,Blue,Ford
25-10-2023,8.35am,in,car,1,Grey,Volkswagen
25-10-2023,8.35am,in,car,1,Blue,Honda
25-10-2023,8.35am,in,bus,100%,Blue,
25-10-2023,8.35am,in,car,1,Grey,Audi
25-10-2023,8.35am,in,car,1,White,Seat
