Date,Time,Direction,Type,Occupancy,Eco-Friendly,Date of Car,
27/10/2023,08:30am,out,Car,1,,2013/2014,
27/10/2023,08:30am,out,Car,1,Yes,2019/2020,
27/10/2023,08:30am,out,Car,2,,2008/2009,
27/10/2023,08:30am,out,Car,2,,2016/2017,
27/10/2023,08:30am,out,Car,1,Yes,2018/2019,
27/10/2023,08:30am,out,Car,1,Yes,2021/2022,
27/10/2023,08:30am,out,Car,1,,2008/2009,
27/10/2023,08:30am,out,Car,1,,2010/2011,
27/10/2023,08:30am,out,Car,1,Yes,2016/2017,
27/10/2023,08:30am,out,Car,1,,2011/2012,
27/10/2023,08:30am,out,Bus,10%,Yes,2017/2018,
27/10/2023,08:30am,out,Car,1,,2007/2008,
27/10/2023,08:30am,out,Car,1,Yes,2020/2021,
27/10/2023,08:30am,out,Car,1,Yes,2019/2020,
27/10/2023,08:30am,out,Car,1,,2014/2015,
27/10/2023,08:30am,out,Car,1,,2008/2009,
27/10/2023,08:30am,out,Bus,10%,Yes,2016/2017,
27/10/2023,08:30am,out,Car,1,Yes,2019/2020,
27/10/2023,08:30am,out,Car,1,,2008/2009,
27/10/2023,08:35am,out,Car,1,,2009/2010,
27/10/2023,08:35am,out,Van,1,,2021/2022,
27/10/2023,08:35am,out,Van,1,,2021/2022,
27/10/2023,08:35am,out,Car,1,,2013/2014,
27/10/2023,08:35am,out,Car,1,Yes,2019/2020,
27/10/2023,08:35am,out,Car,1,Yes,2015/2016,
27/10/2023,08:35am,out,Van,1,,2013/2014,
27/10/2023,08:35am,out,Taxi,1,Yes,2020/2021,
27/10/2023,08:35am,out,Lorry,2,,2016/2017,
27/10/2023,08:40am,out,Van,1,,2015/2016,
27/10/2023,08:40am,out,Car,1,Yes,2020/2021,
27/10/2023,08:40am,out,Car,1,Yes,2023/2024,
27/10/2023,08:40am,out,Van,1,,2022/2023,
27/10/2023,08:40am,out,Bus,0%,Yes,2016/2017,
27/10/2023,08:40am,out,Car,2,Yes,2021/2022,
27/10/2023,08:40am,out,Car,1,,2009/2010,
27/10/2023,08:40am,out,Bus,10%,Yes,2016/2017,
27/10/2023,08:40am,out,Car,1,,2017/2018,
27/10/2023,08:45am,out,Car,1,Yes,2020/2021,
27/10/2023,08:45am,out,Car,1,Yes,2015/2016,
27/10/2023,08:45am,out,Taxi,1,Yes,2021/2022,
27/10/2023,08:45am,out,Car,1,Yes,2014/2015,
27/10/2023,08:45am,out,Car,1,,2011/2012,
27/10/2023,08:45am,out,Car,2,Yes,2022/2023,
27/10/2023,08:45am,out,Car,1,,2015/2016,
27/10/2023,08:45am,out,Car,1,Yes,2017/2018,
27/10/2023,08:45am,out,Bus,10%,Yes,2016/2017,
27/10/2023,08:45am,out,Car,1,Yes,2019/2020,
27/10/2023,08:45am,out,Car,2,,2013/2014,
27/10/2023,08:45am,out,Car,1,Yes,2019/2020,
27/10/2023,08:45am,out,Car,1,,2013/2014,
27/10/2023,08:45am,out,Bus,0%,Yes,2016/2017,
27/10/2023,08:45am,out,Van,1,,2018/2019,
27/10/2023,08:45am,out,Car,1,,2004/2005,
27/10/2023,08:50am,out,Car,1,,2013/2014,
27/10/2023,08:50am,out,Car,2,,2007/2008,
27/10/2023,08:50am,out,Car,2,Yes,2021/2022,
27/10/2023,08:50am,out,Van,1,,2021/2022,
27/10/2023,08:50am,out,Car,1,,2007/2008,
27/10/2023,08:50am,out,Bus,10%,Yes,2016/2017,
27/10/2023,08:50am,out,Van,1,,2017/2018,
27/10/2023,08:50am,out,Car,1,Yes,2022/2023,
27/10/2023,08:50am,out,Taxi,1,Yes,2017/2018,
27/10/2023,08:50am,out,Car,1,,2018/2019,
27/10/2023,08:50am,out,Car,1,Yes,null,
27/10/2023,08:50am,out,Car,1,Yes,2022/2023,
27/10/2023,08:50am,out,Bus,10%,Yes,2016/2017,
27/10/2023,08:50am,out,Car,1,,2013/2014,
27/10/2023,08:55am,out,Car,1,,2012/2013,
27/10/2023,08:55am,out,Car,1,,2012/2013,
27/10/2023,08:55am,out,Car,1,Yes,2020/2021,
27/10/2023,08:55am,out,Car,2,Yes,2019/2020,
27/10/2023,08:55am,out,Car,2,,2010/2011,
27/10/2023,08:55am,out,Bicycle,1,Yes,null,
27/10/2023,08:55am,out,Car,1,,2014/2015,
27/10/2023,08:55am,out,Car,1,,2006/2007,
27/10/2023,08:55am,out,Car,1,,2016/2017,
27/10/2023,08:55am,out,Van,1,,2017/2018,
27/10/2023,08:55am,out,Car,1,,2014/2015,
27/10/2023,08:55am,out,Car,1,,2010/2011,
27/10/2023,08:55am,out,Car,1,,2016/2017,
27/10/2023,08:55am,out,Car,1,,2008/2009,
27/10/2023,08:55am,out,Bus,10%,Yes,2016/2017,
27/10/2023,08:55am,out,Lorry,1,,2023/2024,
27/10/2023,08:55am,out,Bicycle,1,Yes,null,
27/10/2023,08:55am,out,Taxi,1,,2006/2007,
27/10/2023,08:55am,out,Lorry,1,Yes,2021/2022,
27/10/2023,08:55am,out,Car,1,Yes,2016/2017,
27/10/2023,08:55am,out,Car,1,,2014/2015,
27/10/2023,08:55am,out,Car,1,Yes,2022/2023,
27/10/2023,08:55am,out,Car,1,,2000/2001,
27/10/2023,08:55am,out,Bicycle,1,Yes,null,
27/10/2023,08:55am,out,Car,1,,2015/2016,
27/10/2023,08:55am,out,Car,2,,2018/2019,
27/10/2023,08:55am,out,Car,1,,2015/2016,
27/10/2023,08:55am,out,Car,2,,2021/2022,
27/10/2023,08:55am,out,Car,1,,2017/2018,
27/10/2023,08:55am,out,Car,1,,2017/2018,
27/10/2023,08:55am,out,Bus,20%,Yes,2016/2017,
27/10/2023,08:55am,out,Car,1,,2012/2013,
27/10/2023,08:55am,out,Car,1,,2010/2011,
,,,,,,,
