Date,Time,Direction,Type,Occupancy,Service,Size
25-10-2023,10:30am,in,bus,10%,U1,double decker
25-10-2023,10:30am,in,car,1,null,null
25-10-2023,10:30am,in,car,1,null,null
25-10-2023,10:30am,in,car,1,null,null
25-10-2023,10:30am,in,car,1,null,null
25-10-2023,10:30am,in,car,1,null,null
25-10-2023,10:30am,in,car,2,null,null
25-10-2023,10:30am,in,car,1,null,null
25-10-2023,10:30am,in,bicycle,1,null,null
25-10-2023,10:30am,in,car,2,null,null
25-10-2023,10:35am,in,car,1,null,null
25-10-2023,10:35am,in,car,2,null,null
25-10-2023,10:35am,in,car,1,null,null
25-10-2023,10:35am,in,car,1,null,null
25-10-2023,10:35am,in,van,1,null,null
25-10-2023,10:35am,in,car,1,null,null
25-10-2023,10:35am,in,motorcycle,1,null,null
25-10-2023,10:35am,in,car,2,null,null
25-10-2023,10:35am,in,car,2,null,null
25-10-2023,10:35am,in,bus,5%,null,single decker
25-10-2023,10:35am,in,car,2,null,null
25-10-2023,10:35am,in,car,1,null,null
25-10-2023,10:35am,in,car,1,null,null
25-10-2023,10:40am,in,van,1,null,null
25-10-2023,10:40am,in,car,2,null,null
25-10-2023,10:40am,in,car,3,null,null
25-10-2023,10:40am,in,bus,80%,U2,double decker
25-10-2023,10:40am,in,car,1,null,null
25-10-2023,10:40am,in,van,1,null,null
25-10-2023,10:40am,in,bus,80%,U2,single decker
25-10-2023,10:40am,in,car,3,null,null
25-10-2023,10:40am,in,car,1,null,null
25-10-2023,10:40am,in,car,1,null,null
25-10-2023,10:40am,in,car,1,null,null
25-10-2023,10:40am,in,car,1,null,null
25-10-2023,10:40am,in,car,1,null,null
25-10-2023,10:40am,in,car,1,null,null
25-10-2023,10:40am,in,car,2,null,null
25-10-2023,10:40am,in,van,1,null,null
25-10-2023,10:40am,in,car,1,null,null
25-10-2023,10:40am,in,car,1,null,null
25-10-2023,10:40am,in,car,1,null,null
25-10-2023,10:40am,in,car,1,null,null
25-10-2023,10:40am,in,bus,70%,U1,double decker
25-10-2023,10:40am,in,car,2,null,null
25-10-2023,10:40am,in,van,2,null,null
25-10-2023,10:40am,in,car,1,null,null
25-10-2023,10:40am,in,car,2,null,null
25-10-2023,10:40am,in,car,1,null,null
25-10-2023,10:45am,in,car,2,null,null
25-10-2023,10:45am,in,car,1,null,null
25-10-2023,10:45am,in,van,2,null,null
25-10-2023,10:45am,in,car,2,null,null
25-10-2023,10:45am,in,car,1,null,null
25-10-2023,10:45am,in,car,1,null,null
25-10-2023,10:45am,in,car,1,null,null
25-10-2023,10:45am,in,car,2,null,null
25-10-2023,10:45am,in,car,3,null,null
25-10-2023,10:45am,in,car,1,null,null
25-10-2023,10:45am,in,car,2,null,null
25-10-2023,10:45am,in,car,1,null,null
25-10-2023,10:45am,in,car,1,null,null
25-10-2023,10:45am,in,car,1,null,null
25-10-2023,10:45am,in,bicycle,1,null,null
25-10-2023,10:45am,in,car,1,null,null
25-10-2023,10:45am,in,car,4,null,null
25-10-2023,10:45am,in,car,1,null,null
25-10-2023,10:45am,in,car,2,null,null
25-10-2023,10:50am,in,bus,100%,U2,double decker
25-10-2023,10:50am,in,car,1,null,null
25-10-2023,10:50am,in,car,4,null,null
25-10-2023,10:50am,in,car,3,null,null
25-10-2023,10:50am,in,car,1,null,null
25-10-2023,10:50am,in,car,2,null,null
25-10-2023,10:50am,in,car,1,null,null
25-10-2023,10:50am,in,car,1,null,null
25-10-2023,10:50am,in,bus,100%,U1,double decker
25-10-2023,10:50am,in,car,1,null,null
25-10-2023,10:50am,in,van,1,null,null
25-10-2023,10:50am,in,car,1,null,null
25-10-2023,10:50am,in,car,3,null,null
25-10-2023,10:50am,in,car,1,null,null
25-10-2023,10:50am,in,car,2,null,null
25-10-2023,10:50am,in,car,2,null,null
25-10-2023,10:50am,in,car,2,null,null
25-10-2023,10:50am,in,car,2,null,null
25-10-2023,10:50am,in,car,5,null,null
25-10-2023,10:50am,in,car,2,null,null
25-10-2023,10:50am,in,car,1,null,null
25-10-2023,10:50am,in,car,3,null,null
25-10-2023,10:50am,in,car,1,null,null
25-10-2023,10:50am,in,car,1,null,null
25-10-2023,10:50am,in,car,3,null,null
25-10-2023,10:50am,in,car,1,null,null
25-10-2023,10:50am,in,bus,10%,null,single decker
25-10-2023,10:55am,in,car,1,null,null
25-10-2023,10:55am,in,car,1,null,null
25-10-2023,10:55am,in,car,2,null,null
25-10-2023,10:55am,in,car,2,null,null
25-10-2023,10:55am,in,car,2,null,null
25-10-2023,10:55am,in,bus,100%,U1,double decker
25-10-2023,10:55am,in,car,5,null,null
25-10-2023,10:55am,in,car,1,null,null
25-10-2023,10:55am,in,car,2,null,null
25-10-2023,10:55am,in,car,3,null,null
25-10-2023,10:55am,in,car,1,null,null
25-10-2023,10:55am,in,van,1,null,null
25-10-2023,10:55am,in,car,2,null,null
25-10-2023,10:55am,in,car,3,null,null
25-10-2023,10:55am,in,van,2,null,null
25-10-2023,10:55am,in,car,1,null,null
25-10-2023,10:55am,in,car,1,null,null
25-10-2023,10:55am,in,car,2,null,null
25-10-2023,10:55am,in,bus,90%,U2,double decker
25-10-2023,10:55am,in,car,1,null,null
25-10-2023,10:55am,in,car,2,null,null
25-10-2023,10:55am,in,car,2,null,null
25-10-2023,10:55am,in,car,1,null,null
25-10-2023,10:55am,in,car,1,null,null
25-10-2023,10:55am,in,car,2,null,null
25-10-2023,10:55am,in,van,2,null,null
25-10-2023,11:00am,in,van,1,null,null
