Date,Time,Direction,Type,Occupancy,Driver Gender,Vehicle Purpose
24/10/2023,10:25am,out,car,1,male,commute
24/10/2023,10:25am,out,car,1,female,commute
24/10/2023,10:30am,out,car,2,female,commute
24/10/2023,10:30am,out,car,1,female,commute
24/10/2023,10:30am,out,car,2,male,commute
24/10/2023,10:30am,out,car,1,female,commute
24/10/2023,10:00am,out,bus,0%,male,commute
24/10/2023,10:35am,out,car,1,male,commute
24/10/2023,10:35am,out,bus,0%,male,commute
24/10/2023,10:35am,out,car,1,female,commute
24/10/2023,10:35am,out,car,1,male,commute
24/10/2023,10:35am,out,bicycle,1,male,commute
24/10/2023,10:35am,out,car,1,female,commute
24/10/2023,10:35am,out,car,1,female,commute
24/10/2023,10:35am,out,bus,5%,male,commute
24/10/2023,10:35am,out,bus,5%,male,commute
24/10/2023,10:35am,out,car,1,female,commute
24/10/2023,10:35am,out,car,1,female,commute
24/10/2023,10:35am,out,car,2,female,commute
24/10/2023,10:35am,out,car,1,female,commute
24/10/2023,10:35am,out,car,2,male,commute
24/10/2023,10:40am,out,car,1,male,commute
24/10/2023,10:40am,out,car,1,female,commute
24/10/2023,10:40am,out,van,1,male,commercial
24/10/2023,10:40am,out,taxi,1,female,commute
24/10/2023,10:40am,out,bus,10%,male,commute
24/10/2023,10:40am,out,bus,5%,male,commute
24/10/2023,10:40am,out,car,1,male,commute
24/10/2023,10:40am,out,car,1,male,commute
24/10/2023,10:45am,out,car,1,male,commute
24/10/2023,10:50am,out,taxi,1,male,commute
24/10/2023,10:50am,out,car,1,male,commute
24/10/2023,10:50am,out,taxi,1,male,commute
24/10/2023,10:50am,out,car,2,female,commute
24/10/2023,10:50am,out,bus,0%,male,commute
24/10/2023,10:55am,out,bus,2%,male,commute
24/10/2023,10:55am,out,bus,15%,male,commute
24/10/2023,10:55am,out,van,1,male,commute
24/10/2023,10:55am,out,car,1,female,commute
24/10/2023,10:55am,out,car,1,female,commute
24/10/2023,10:55am,out,car,1,female,commute
24/10/2023,10:55am,out,taxi,1,male,commute
