Date,Time,Direction,Type,Occupancy,Driver_Gender,Mode_of_Travel
26-10-2023,08:50 AM,OUT,car,1,Female,Private
26-10-2023,08:50 AM,OUT,lorry,1,Male,Commercial
26-10-2023,08:50 AM,OUT,car,1,Female,Private
26-10-2023,08:50 AM,OUT,car,1,Male,Private
26-10-2023,08:51 AM,OUT,taxi,1,Male,Rented
26-10-2023,08:51 AM,OUT,bus,15%,Male,Public
26-10-2023,08:53 AM,OUT,car,1,Male,Private
26-10-2023,08:53 AM,OUT,bus,0%,Male,Public
26-10-2023,08:54 AM,OUT,car,1,Male,Private
26-10-2023,08:54 AM,OUT,car,1,Female,Private
26-10-2023,08:54 AM,OUT,car,1,Male,Private
26-10-2023,08:56 AM,OUT,taxi,1,Male,Rented
26-10-2023,08:56 AM,OUT,taxi,1,Male,Rented
26-10-2023,08:56 AM,OUT,bus,15%,Male,Public
26-10-2023,08:57 AM,OUT,car,1,Female,Private
26-10-2023,08:58 AM,OUT,lorry,1,Male,Commercial
26-10-2023,08:58 AM,OUT,car,1,Male,Private
26-10-2023,09:00 AM,OUT,bus,15%,Male,Public
26-10-2023,09:00 AM,OUT,van,1,Male,Commercial
26-10-2023,09:00 AM,OUT,car,1,Male,Private
26-10-2023,09:01 AM,OUT,car,1,Male,Private
26-10-2023,09:01 AM,OUT,car,1,Female,Private
26-10-2023,09:01 AM,OUT,bus,10%,Male,Public
26-10-2023,09:01 AM,OUT,car,1,Male,Private
26-10-2023,09:01 AM,OUT,car,1,Male,Private
26-10-2023,09:02 AM,OUT,car,1,Female,Private
26-10-2023,09:03 AM,OUT,car,1,Female,Private
26-10-2023,09:04 AM,OUT,car,1,Female,Private
26-10-2023,09:04 AM,OUT,car,1,Female,Private
26-10-2023,09:04 AM,OUT,car,1,Female,Private
26-10-2023,09:05 AM,OUT,van,1,Female,Commercial
26-10-2023,09:06 AM,OUT,car,1,Male,Private
26-10-2023,09:06 AM,OUT,bus,15%,Male,Public
26-10-2023,09:07 AM,OUT,car,1,Female,Private
26-10-2023,09:07 AM,OUT,lorry,1,Male,Commercial
26-10-2023,09:07 AM,OUT,car,1,Male,Private
26-10-2023,09:07 AM,OUT,car,1,Female,Private
26-10-2023,09:07 AM,OUT,car,2,Male,Private
26-10-2023,09:08 AM,OUT,van,3,Female,Commercial
26-10-2023,09:08 AM,OUT,car,1,Male,Private
26-10-2023,09:08 AM,OUT,car,2,Female,Private
26-10-2023,09:08 AM,OUT,bus,15%,Male,Public
26-10-2023,09:09 AM,OUT,car,2,Female,Private
26-10-2023,09:09 AM,OUT,van,1,Female,Commercial
26-10-2023,09:09 AM,OUT,taxi,1,Male,Rented
26-10-2023,09:09 AM,OUT,car,1,Female,Private
26-10-2023,09:10 AM,OUT,car,1,Male,Private
26-10-2023,09:10 AM,OUT,car,2,Male,Private
26-10-2023,09:10 AM,OUT,car,1,Female,Private
26-10-2023,09:12 AM,OUT,taxi,1,Male,Rented
26-10-2023,09:12 AM,OUT,car,2,Male,Private
26-10-2023,09:12 AM,OUT,car,1,Female,Private
26-10-2023,09:12 AM,OUT,bus,20%,Male,Public
26-10-2023,09:12 AM,OUT,car,1,Male,Private
26-10-2023,09:12 AM,OUT,car,3,Female,Private
26-10-2023,09:13 AM,OUT,car,1,Female,Private
26-10-2023,09:13 AM,OUT,car,1,Female,Private
26-10-2023,09:14 AM,OUT,car,2,Male,Private
26-10-2023,09:14 AM,OUT,van,1,Male,Commercial
26-10-2023,09:14 AM,OUT,car,1,Male,Private
26-10-2023,09:14 AM,OUT,van,1,Male,Commercial
26-10-2023,09:15 AM,OUT,car,1,Male,Private
26-10-2023,09:15 AM,OUT,car,1,Male,Private
26-10-2023,09:15 AM,OUT,bus,0%,Male,Public
26-10-2023,09:15 AM,OUT,bus,10%,Male,Public
26-10-2023,09:16 AM,OUT,bus,20%,Male,Public
26-10-2023,09:16 AM,OUT,car,1,Female,Private
26-10-2023,09:16 AM,OUT,car,1,Female,Private
26-10-2023,09:17 AM,OUT,taxi,1,Male,Rented
26-10-2023,09:17 AM,OUT,bus,0%,Male,Public
26-10-2023,09:17 AM,OUT,bus,0%,Male,Public
26-10-2023,09:18 AM,OUT,car,2,Female,Private
26-10-2023,09:18 AM,OUT,lorry,1,Male,Commercial
26-10-2023,09:18 AM,OUT,car,1,Male,Private
26-10-2023,09:18 AM,OUT,car,1,Male,Private
26-10-2023,09:20 AM,OUT,van,2,Male,Commercial
26-10-2023,09:20 AM,OUT,motorbike,1,Female,Private
26-10-2023,09:20 AM,OUT,car,1,Male,Private
