Date,Time,Direction,Type,Occupancy,Brand,Colour
25-10-2023,10.30am,In,Car,2,Skoda,Black
25-10-2023,10.30am,In,Car,1,Hyundai,White
25-10-2023,10.30am,In,Car,2,Hyundai,White
25-10-2023,10.30am,In,Van,2,Renault,Black
25-10-2023,10.30am,In,Bicycle,1,null,Black
25-10-2023,10.30am,In,Car,2,Skoda,White
25-10-2023,10.30am,In,Car,1,Volkswagen,White
25-10-2023,10.30am,In,Car,1,Renault,Grey
25-10-2023,10.30am,In,Car,3,Honda,Blue
25-10-2023,10.30am,In,Car,1,Hyundai,Black
25-10-2023,10.30am,In,Van,2,Kia,White
25-10-2023,10.30am,In,Car,2,Mini,Black
25-10-2023,10.30am,In,Car,1,Ford,Grey
25-10-2023,10.30am,In,Motorbike,1,Honda,Black
25-10-2023,10.30am,In,Bus,90%,Scania,Blue
25-10-2023,10.30am,In,Car,1,Skoda,Grey
25-10-2023,10.30am,In,Van,2,Ford,Grey
25-10-2023,10.35am,In,Car,2,Hyundai,Grey
25-10-2023,10.35am,In,Bus,100%,Scania,Blue
25-10-2023,10.35am,In,Car,1,Audi,Grey
25-10-2023,10.35am,In,Car,1,Toyota,White
25-10-2023,10.35am,In,Car,1,Vauxhall,Black
25-10-2023,10.35am,In,Van,2,Kia,Red
25-10-2023,10.35am,In,Car,2,Toyota,Black
25-10-2023,10.35am,In,Van,3,Renault,White
25-10-2023,10.35am,In,Car,1,Skoda,Blue
25-10-2023,10.35am,In,Car,2,Mini,Black
25-10-2023,10.35am,In,Van,2,Kia,Black
25-10-2023,10.35am,In,Car,1,Ford,Red
25-10-2023,10.35am,In,Car,2,Skoda,Blue
25-10-2023,10.35am,In,Car,1,Hyundai,White
25-10-2023,10.35am,In,Car,1,Ford,Grey
25-10-2023,10.35am,In,Car,1,Toyota,Grey
25-10-2023,10.35am,In,Car,1,Fiat,Red
25-10-2023,10.35am,In,Car,2,Renault,Black
25-10-2023,10.35am,In,Van,2,Puegeot,Blue
25-10-2023,10.35am,In,Van,1,Renault,Grey
25-10-2023,10.35am,In,Car,2,Toyota,White
25-10-2023,10.35am,In,Car,2,Mazda,Blue
25-10-2023,10.35am,In,Car,1,Hyundai,White
25-10-2023,10.35am,In,Bus,90%,Scania,Green
25-10-2023,10.35am,In,Motorbike,1,BMW,Black
25-10-2023,10.35am,In,Car,2,Hyundai,White
25-10-2023,10.35am,In,Car,2,Fiat,White
25-10-2023,10.35am,In,Car,1,Volkswagen,Black
25-10-2023,10.40am,In,Car,2,Ford,Grey
25-10-2023,10.40am,In,Car,1,BMW,Blue
25-10-2023,10.40am,In,Car,1,Renault,Red
25-10-2023,10.40am,In,Bus,90%,Scania,Blue
25-10-2023,10.40am,In,Car,2,Toyota,Black
25-10-2023,10.40am,In,Car,2,Skoda,White
25-10-2023,10.40am,In,Car,2,Subaru,Blue
25-10-2023,10.40am,In,Car,1,Ford,Black
25-10-2023,10.40am,In,Car,1,Citroen,Grey
25-10-2023,10.40am,In,Car,2,Toyota,White
25-10-2023,10.40am,In,Car,1,Skoda,White
25-10-2023,10.40am,In,Car,1,Mini,Green
25-10-2023,10.40am,In,Bus,90%,Scania,Blue
25-10-2023,10.40am,In,Car,1,Toyota,Grey
25-10-2023,10.40am,In,Car,2,BMW,Black
25-10-2023,10.45am,In,Car,1,Vauxhall,Grey
25-10-2023,10.45am,In,Car,1,Renault,White
25-10-2023,10.45am,In,Car,1,Fiat,White
25-10-2023,10.45am,In,Car,1,Mazda,Red
25-10-2023,10.45am,In,Car,3,Hyundai,Black
25-10-2023,10.45am,In,Car,2,Puegeot,White
25-10-2023,10.45am,In,Car,1,Mercedes,Black
25-10-2023,10.45am,In,Car,2,Land Rover,White
25-10-2023,10.45am,In,Bus,85%,Scania,Orange
25-10-2023,10.45am,In,Car,1,Audi,Red
25-10-2023,10.45am,In,Car,1,Nissan,Grey
25-10-2023,10.45am,In,Car,2,Ford,White
25-10-2023,10.45am,In,Car,1,Vauxhall,Grey
25-10-2023,10.45am,In,Car,1,Toyota,Black
25-10-2023,10.45am,In,Car,2,Audi,Black
25-10-2023,10.45am,In,Van,1,Ford,Grey
25-10-2023,10.45am,In,Car,1,Toyota,Black
25-10-2023,10.45am,In,Car,3,Skoda,White
25-10-2023,10.50am,In,Car,1,Fiat,Black
25-10-2023,10.50am,In,Bus,90%,Scania,Purple
25-10-2023,10.50am,In,Van,2,Renault,Grey
25-10-2023,10.50am,In,Car,1,Puegeot,Black
25-10-2023,10.50am,In,Car,2,Skoda,White
25-10-2023,10.50am,In,Car,1,BMW,White
25-10-2023,10.50am,In,Car,1,Toyota,Grey
25-10-2023,10.50am,In,Car,1,Fiat,Black
25-10-2023,10.50am,In,Car,1,Vauxhall,Grey
25-10-2023,10.50am,In,Car,1,Volkswagen,White
25-10-2023,10.50am,In,Car,3,Audi,White
25-10-2023,10.50am,In,Car,1,Mercedes,Black
25-10-2023,10.50am,In,Car,2,Skoda,Grey
25-10-2023,10.50am,In,Car,1,Land Rover,Black
25-10-2023,10.50am,In,Car,2,Nissan,White
25-10-2023,10.50am,In,Bus,100%,Scania,Blue
25-10-2023,10.50am,In,Car,2,Toyota,Grey
25-10-2023,10.50am,In,Car,2,Mini,Black
25-10-2023,10.55am,In,Car,3,Skoda,Grey
25-10-2023,10.55am,In,Car,1,Kia,Grey
25-10-2023,10.55am,In,Van,1,Ford,White
25-10-2023,10.55am,In,Car,1,Kia,Black
25-10-2023,10.55am,In,Car,2,Land Rover,Black
25-10-2023,10.55am,In,Bus,80%,Scania,Blue
25-10-2023,10.55am,In,Car,2,Skoda,Grey
25-10-2023,10.55am,In,Van,1,Ford,White
25-10-2023,10.55am,In,Car,3,Ford,Grey
25-10-2023,10.55am,In,Car,1,BMW,Black
25-10-2023,10.55am,In,Car,1,Skoda,Grey
25-10-2023,10.55am,In,Car,2,Vauxhall,Black
