Date,Time,Direction,Type,Occupancy,Brand,Year
24-10-2023,10.30am,in,car,1,Jeep ,2016
24-10-2023,10.30am,in,car,1,Mercedes,2016
24-10-2023,10.30am,in,car,2,Skoda,2018
24-10-2023,10.30am,in,car,2,Volkswagen,2007
24-10-2023,10.30am,in,car,4,Hyundai,2012
24-10-2023,10.30am,in,car,3,BMW,2022
24-10-2023,10.30am,in,van,2,Ford,2014
24-10-2023,10.30am,in,car,3,Hyundai,2022
24-10-2023,10.30am,in,bus,70%,Scania,2017
24-10-2023,10.30am,in,car,1,Mazda,2023
24-10-2023,10.30am,in,van,1,Renault,2018
24-10-2023,10.30am,in,car,1,BMW,2012
24-10-2023,10.35am,in,car,1,Mercedes,2020
24-10-2023,10.35am,in,car,1,Skoda,2011
24-10-2023,10.35am,in,car,2,Ford,2019
24-10-2023,10.35am,in,car,2,Nissan,2013
24-10-2023,10.35am,in,car,2,Citroen,2017
24-10-2023,10.35am,in,car,2,Volkswagen,2013
24-10-2023,10.35am,in,bus,90%,Scania,2016
24-10-2023,10.35am,in,car,1,Mazda,2012
24-10-2023,10.35am,in,car,1,Renault,2014
24-10-2023,10.35am,in,car,1,Mini,2022
24-10-2023,10.35am,in,car,2,Kia,2011
24-10-2023,10.35am,in,car,4,Nissan,2018
24-10-2023,10.35am,in,car,3,Citroen,2014
24-10-2023,10.40am,in,car,1,Volkswagen,2012
24-10-2023,10.40am,in,car,1,Vauxhall,2011
24-10-2023,10.40am,in,car,1,Vauxhall,2017
24-10-2023,10.40am,in,car,1,Kia,2021
24-10-2023,10.40am,in,car,2,Kia,2018
24-10-2023,10.40am,in,car,1,Kia,2013
24-10-2023,10.40am,in,car,3,Volvo,2014
24-10-2023,10.40am,in,bicycle,1,N/A,N/A
24-10-2023,10.40am,in,car,3,Mercedes,2017
24-10-2023,10.40am,in,car,2,Kia,2021
24-10-2023,10.40am,in,van,1,Ford,2016
24-10-2023,10.40am,in,car,1,Renault,2023
24-10-2023,10.40am,in,van,2,Nissan,2015
24-10-2023,10.40am,in,car,1,Ford,2014
24-10-2023,10.45am,in,bus,80%,Scania,2016
24-10-2023,10.45am,in,car,1,Toyota,2010
24-10-2023,10.45am,in,bus,60%,Scania,2016
24-10-2023,10.45am,in,car,2,Ford,2015
24-10-2023,10.45am,in,car,1,Suzuki,2013
24-10-2023,10.45am,in,car,4,Audi,2017
24-10-2023,10.45am,in,car,1,Audi,2015
24-10-2023,10.45am,in,taxi,2,Toyota,2019
24-10-2023,10.45am,in,car,2,Hyundai,2019
24-10-2023,10.45am,in,car,4,Volkswagen,2004
24-10-2023,10.45am,in,motorbike,1,N/A,N/A
24-10-2023,10.45am,in,bus,100%,Scania,2017
24-10-2023,10.45am,in,taxi,3,Skoda,2017
24-10-2023,10.45am,in,car,2,Ford,2017
24-10-2023,10.45am,in,car,1,Citroen,2020
24-10-2023,10.45am,in,car,2,Kia,2023
24-10-2023,10.45am,in,car,3,BMW,2020
24-10-2023,10.45am,in,car,1,Citroen,2013
24-10-2023,10.45am,in,car,1,Skoda,2020
24-10-2023,10.50am,in,car,1,Toyota,2019
24-10-2023,10.50am,in,car,4,Vauxhall,2011
24-10-2023,10.50am,in,taxi,2,Skoda,2020
24-10-2023,10.50am,in,car,1,Toyota,2004
24-10-2023,10.50am,in,car,2,Volkswagen,2015
24-10-2023,10.50am,in,car,2,Hyundai,2015
24-10-2023,10.50am,in,car,1,Volkswagen,2018
24-10-2023,10.50am,in,car,2,Kia,2016
24-10-2023,10.50am,in,car,3,Volvo,2017
24-10-2023,10.50am,in,car,2,BMW,2019
24-10-2023,10.50am,in,car,1,Mercedes,2014
24-10-2023,10.50am,in,car,2,Honda,2015
24-10-2023,10.50am,in,car,1,Mini,2019
24-10-2023,10.50am,in,van,1,Renault,2010
24-10-2023,10.50am,in,car,2,Skoda,2020
24-10-2023,10.55am,in,car,3,Ford,2010
24-10-2023,10.55am,in,car,4,Mini,2003
24-10-2023,10.55am,in,car,3,Mercedes,2017
24-10-2023,10.55am,in,car,3,Mercedes,2012
24-10-2023,10.55am,in,bicycle,1,N/A,N/A
24-10-2023,10.55am,in,scooter,1,N/A,N/A
24-10-2023,10.55am,in,van,2,Ford,2014
24-10-2023,10.55am,in,bicycle,1,N/A,N/A
24-10-2023,10.55am,in,bus,90%,Scania,2016
24-10-2023,10.55am,in,car,2,Ford,2015
24-10-2023,10.55am,in,car,2,Kia,2017
24-10-2023,10.55am,in,car,2,Ford,2012
24-10-2023,10.55am,in,bus,100%,Scania,2017
24-10-2023,10.55am,in,car,1,Suzuki,2006
24-10-2023,10.55am,in,car,2,Hyundai,2022
24-10-2023,10.55am,in,car,2,Kia,2022
24-10-2023,10.55am,in,car,1,Volkswagen,2013
24-10-2023,10.55am,in,car,2,Mazda,2013
24-10-2023,10.55am,in,car,1,Volkswagen,2015
24-10-2023,10.55am,in,car,2,Toyota,2015
24-10-2023,10.55am,in,car,3,Audi,2017
24-10-2023,10.55am,in,car,1,Ford,2018
24-10-2023,10.55am,in,car,1,Ford,2016
24-10-2023,10.55am,in,car,2,Range Rover,2016
