Date,Time,Direction,Vehicle Type,Occupancy,Make,Green Badge
24/10/2023,10:05,in,Car,1,Vauxhall,N
24/10/2023,10:05,in,Car,2,Skoda,N
24/10/2023,10:05,in,Taxi,2,Volkswagen,N
24/10/2023,10:05,in,Car,2,Mini,N
24/10/2023,10:05,in,Car,2,Seat,N
24/10/2023,10:05,in,Car,1,Citroen,N
24/10/2023,10:05,in,Car,2,BMW,N
24/10/2023,10:05,in,bicycle,1,Null,N
24/10/2023,10:05,in,bus,100%,Null,N
24/10/2023,10:05,in,Taxi,1,Toyota,N
24/10/2023,10:05,in,Car,1,Hyundai,N
24/10/2023,10:05,in,Car,1,Volkswagen,N
24/10/2023,10:05,in,Car,1,Ford,N
24/10/2023,10:05,in,Car,1,Skoda,N
24/10/2023,10:05,in,bicycle,1,Null,N
24/10/2023,10:05,in,Taxi,1,Ford,N
24/10/2023,10:05,in,Car,1,Mercedes,N
24/10/2023,10:05,in,Car,1,Fiat,N
24/10/2023,10:05,in,Car,1,Toyota,N
24/10/2023,10:10,in,Car,1,Hyundai,N
24/10/2023,10:10,in,Car,1,Volvo,N
24/10/2023,10:10,in,Car,1,Mini,N
24/10/2023,10:10,in,bus,100%,Null,N
24/10/2023,10:10,in,Car,1,Volkswagen,N
24/10/2023,10:10,in,Car,1,Hyundai,N
24/10/2023,10:10,in,Car,1,Peugeot,N
24/10/2023,10:10,in,Car,1,Volkswagen,N
24/10/2023,10:10,in,Car,1,Dacia,N
24/10/2023,10:10,in,Car,1,Renault,N
24/10/2023,10:10,in,Car,2,Hyundai,N
24/10/2023,10:10,in,bus,50%,Null,N
24/10/2023,10:10,in,bus,100%,Null,N
24/10/2023,10:10,in,Car,2,Toyota,N
24/10/2023,10:10,in,bicycle,1,Null,N
24/10/2023,10:15,in,Taxi,2,Honda,N
24/10/2023,10:15,in,Car,2,Volkswagen,N
24/10/2023,10:15,in,Car,1,Nissan,N
24/10/2023,10:15,in,Car,2,Volkswagen,N
24/10/2023,10:15,in,motorbike,1,Null,N
24/10/2023,10:15,in,motorbike,1,Null,N
24/10/2023,10:15,in,Car,2,Toyota,N
24/10/2023,10:15,in,Car,1,Ford,N
24/10/2023,10:15,in,Car,1,Seat,N
24/10/2023,10:15,in,Car,1,Mini,N
24/10/2023,10:15,in,Car,1,Honda,N
24/10/2023,10:15,in,Car,1,Volvo,N
24/10/2023,10:15,in,Car,1,Volkswagen,N
24/10/2023,10:15,in,bus,100%,Null,N
24/10/2023,10:15,in,Car,1,Toyota,N
24/10/2023,10:15,in,Car,1,Mini,N
24/10/2023,10:15,in,Car,1,Ford,N
24/10/2023,10:15,in,Car,2,Citroen,N
24/10/2023,10:15,in,Car,1,BMW,N
24/10/2023,10:15,in,Car,1,Mini,N
24/10/2023,10:15,in,Car,1,Range Rover,N
24/10/2023,10:15,in,Car,2,Audi,N
24/10/2023,10:15,in,Car,1,Peugeot,N
24/10/2023,10:20,in,bus,20%,Null,N
24/10/2023,10:20,in,Car,2,Skoda,N
24/10/2023,10:20,in,Car,1,Ford,N
24/10/2023,10:20,in,bus,10%,Null,N
24/10/2023,10:20,in,motorbike,1,Null,N
24/10/2023,10:20,in,Car,2,Honda,Y
24/10/2023,10:20,in,Car,2,Audi,N
24/10/2023,10:20,in,Car,2,Kia,N
24/10/2023,10:20,in,bus,90%,Null,N
24/10/2023,10:20,in,Car,1,Porsche,N
24/10/2023,10:20,in,Car,1,Ford,N
24/10/2023,10:20,in,bus,10%,Null,N
24/10/2023,10:20,in,Taxi,2,Ford,N
24/10/2023,10:20,in,Car,1,Renault,Y
24/10/2023,10:20,in,Car,1,Skoda,N
24/10/2023,10:20,in,bicycle,1,Null,N
24/10/2023,10:20,in,Car,2,Fiat,N
24/10/2023,10:20,in,Car,1,Ford,N
24/10/2023,10:20,in,Car,2,Volkswagen,N
24/10/2023,10:25,in,Car,1,Volvo,N
24/10/2023,10:25,in,Car,1,Ford,N
24/10/2023,10:25,in,Car,1,Null,N
24/10/2023,10:25,in,Car,1,Audi,N
24/10/2023,10:25,in,Car,1,Mini,N
24/10/2023,10:25,in,bicycle,1,Null,N
24/10/2023,10:25,in,bicycle,1,Null,N
24/10/2023,10:25,in,Car,1,Skoda,N
24/10/2023,10:25,in,Car,1,Ford,N
24/10/2023,10:25,in,Car,1,Volvo,N
24/10/2023,10:25,in,Car,1,Audi,N
24/10/2023,10:25,in,Car,1,Mercedes,N
24/10/2023,10:25,in,Car,1,Nissan,N
24/10/2023,10:25,in,Car,1,Honda,Y
24/10/2023,10:25,in,Car,3,Seat,N
24/10/2023,10:25,in,Car,2,Nissan,N
24/10/2023,10:25,in,Car,2,Nissan,N
24/10/2023,10:25,in,Car,2,Peugeot,N
24/10/2023,10:25,in,bicycle,1,Null,N
24/10/2023,10:25,in,Car,1,Honda,N
24/10/2023,10:25,in,Taxi,2,Volkswagen,N
24/10/2023,10:25,in,Car,5,Vauxhall,N
24/10/2023,10:25,in,Car,2,Kia,N
24/10/2023,10:25,in,Car,1,Mini,N
24/10/2023,10:25,in,van,1,Fiat,N
24/10/2023,10:25,in,Car,2,Nissan,N
24/10/2023,10:25,in,Taxi,2,Honda,N
24/10/2023,10:25,in,Car,1,Mini,N
24/10/2023,10:25,in,bus,20%,Null,N
24/10/2023,10:25,in,Car,1,Range Rover,N
24/10/2023,10:25,in,Car,1,Seat,N
24/10/2023,10:30,in,Car,1,BMW,N
24/10/2023,10:30,in,van,1,Peugeot,N
24/10/2023,10:30,in,Car,1,Jeep,N
24/10/2023,10:30,in,Car,1,Mercedes,N
24/10/2023,10:30,in,Car,2,Honda,N
24/10/2023,10:30,in,Car,1,Skoda,N
24/10/2023,10:30,in,Car,1,Mercedes,N
24/10/2023,10:30,in,Car,2,Volkswagen,N
24/10/2023,10:30,in,Car,1,Vauxhall,N
24/10/2023,10:30,in,Car,4,Honda,N
24/10/2023,10:30,in,Car,1,Mercedes,N
24/10/2023,10:30,in,Car,1,Kia,Y
24/10/2023,10:30,in,van,2,Ford,N
24/10/2023,10:30,in,van,2,Ford,N
24/10/2023,10:30,in,Car,1,Ford,N
24/10/2023,10:30,in,Car,1,Honda,Y
24/10/2023,10:30,in,bus,60%,Null,N
24/10/2023,10:30,in,Car,1,Mitsubshi,N
24/10/2023,10:30,in,van,1,Ford,N
24/10/2023,10:30,in,Car,1,Volkswagen,N
24/10/2023,10:30,in,Car,1,Honda,N
24/10/2023,10:30,in,Car,1,Vauxhall,N
24/10/2023,10:30,in,Car,1,Ford,N
24/10/2023,10:30,in,Car,1,BMW,N
24/10/2023,10:30,in,Car,1,Land Rover,N
24/10/2023,10:30,in,Car,1,Mercedes,N
24/10/2023,10:30,in,Car,1,Skoda,N
