Date,Time,Direction,Type,Occupancy,Public Vehicle,Safety
26-10-2023,10.35am,in,scooter,1,1.0,1.0
26-10-2023,10.30am,in,bicycle,1,0.0,1.0
26-10-2023,10.30am,in,bicycle,1,0.0,1.0
26-10-2023,10.30am,in,bicycle,2,0.0,1.0
26-10-2023,10.30am,in,bicycle,2,0.0,1.0
26-10-2023,10.35am,in,bicycle,1,1.0,0.0
26-10-2023,10.35am,in,bicycle,1,0.0,1.0
26-10-2023,10.35am,in,bicycle,1,0.0,1.0
26-10-2023,10.55am,in,bicycle,1,1.0,0.0
26-10-2023,10.55am,in,bicycle,1,1.0,1.0
26-10-2023,10.50am,in,motorbike,1,0.0,1.0
26-10-2023,10.55am,in,motorbike,1,0.0,1.0
26-10-2023,10.30am,in,car,1,,
26-10-2023,10.30am,in,car,1,,
26-10-2023,10.30am,in,car,1,,
26-10-2023,10.30am,in,car,1,,
26-10-2023,10.30am,in,car,2,,
26-10-2023,10.30am,in,car,2,,
26-10-2023,10.30am,in,car,2,,
26-10-2023,10.30am,in,car,1,,
26-10-2023,10.30am,in,car,1,,
26-10-2023,10.30am,in,car,1,,
26-10-2023,10.35am,in,car,1,,
26-10-2023,10.35am,in,car,4,,
26-10-2023,10.35am,in,car,3,,
26-10-2023,10.35am,in,car,2,,
26-10-2023,10.35am,in,car,1,,
26-10-2023,10.35am,in,car,1,,
26-10-2023,10.35am,in,car,1,,
26-10-2023,10.35am,in,car,1,,
26-10-2023,10.35am,in,car,1,,
26-10-2023,10.35am,in,car,1,,
26-10-2023,10.35am,in,car,1,,
26-10-2023,10.35am,in,car,2,,
26-10-2023,10.35am,in,car,1,,
26-10-2023,10.35am,in,car,1,,
26-10-2023,10.35am,in,car,1,,
26-10-2023,10.35am,in,car,2,,
26-10-2023,10.35am,in,car,2,,
26-10-2023,10.35am,in,car,1,,
26-10-2023,10.35am,in,car,2,,
26-10-2023,10.35am,in,car,2,,
26-10-2023,10.35am,in,car,1,,
26-10-2023,10.35am,in,car,2,,
26-10-2023,10.35am,in,car,1,,
26-10-2023,10.35am,in,car,1,,
26-10-2023,10.35am,in,car,1,,
26-10-2023,10.35am,in,car,2,,
26-10-2023,10.35am,in,car,2,,
26-10-2023,10.35am,in,car,1,,
26-10-2023,10.35am,in,car,2,,
26-10-2023,10.35am,in,car,1,,
26-10-2023,10.35am,in,car,2,,
26-10-2023,10.35am,in,car,3,,
26-10-2023,10.35am,in,car,1,,
26-10-2023,10.35am,in,car,4,,
26-10-2023,10.35am,in,car,1,,
26-10-2023,10.35am,in,car,1,,
26-10-2023,10.35am,in,car,1,,
26-10-2023,10.35am,in,car,1,,
26-10-2023,10.35am,in,car,2,,
26-10-2023,10.35am,in,car,2,,
26-10-2023,10.35am,in,car,2,,
26-10-2023,10.35am,in,car,2,,
26-10-2023,10.35am,in,car,1,,
26-10-2023,10.35am,in,car,2,,
26-10-2023,10.35am,in,car,2,,
26-10-2023,10.45am,in,car,2,,
26-10-2023,10.45am,in,car,1,,
26-10-2023,10.45am,in,car,1,,
26-10-2023,10.45am,in,car,2,,
26-10-2023,10.45am,in,car,2,,
26-10-2023,10.45am,in,car,1,,
26-10-2023,10.45am,in,car,1,,
26-10-2023,10.45am,in,car,2,,
26-10-2023,10.45am,in,car,1,,
26-10-2023,10.45am,in,car,2,,
26-10-2023,10.45am,in,car,1,,
26-10-2023,10.45am,in,car,1,,
26-10-2023,10.45am,in,car,1,,
26-10-2023,10.45am,in,car,1,,
26-10-2023,10.45am,in,car,3,,
26-10-2023,10.45am,in,car,3,,
26-10-2023,10.45am,in,car,1,,
26-10-2023,10.45am,in,car,1,,
26-10-2023,10.45am,in,car,1,,
26-10-2023,10.45am,in,car,1,,
26-10-2023,10.45am,in,car,2,,
26-10-2023,10.45am,in,car,2,,
26-10-2023,10.45am,in,car,2,,
26-10-2023,10.45am,in,car,1,,
26-10-2023,10.45am,in,car,1,,
26-10-2023,10.45am,in,car,1,,
26-10-2023,10.45am,in,car,3,,
26-10-2023,10.45am,in,car,3,,
26-10-2023,10.45am,in,car,1,,
26-10-2023,10.50am,in,car,2,,
26-10-2023,10.50am,in,car,5,,
26-10-2023,10.50am,in,car,1,,
26-10-2023,10.50am,in,car,2,,
26-10-2023,10.50am,in,car,1,,
26-10-2023,10.50am,in,car,3,,
26-10-2023,10.50am,in,car,3,,
26-10-2023,10.50am,in,car,3,,
26-10-2023,10.50am,in,car,1,,
26-10-2023,10.50am,in,car,2,,
26-10-2023,10.50am,in,car,1,,
26-10-2023,10.50am,in,car,2,,
26-10-2023,10.50am,in,car,2,,
26-10-2023,10.50am,in,car,3,,
26-10-2023,10.50am,in,car,1,,
26-10-2023,10.50am,in,car,2,,
26-10-2023,10.50am,in,car,3,,
26-10-2023,10.50am,in,car,2,,
26-10-2023,10.50am,in,car,1,,
26-10-2023,10.50am,in,car,5,,
26-10-2023,10.50am,in,car,1,,
26-10-2023,10.50am,in,car,1,,
26-10-2023,10.50am,in,car,2,,
26-10-2023,10.55am,in,car,3,,
26-10-2023,10.55am,in,car,2,,
26-10-2023,10.55am,in,car,1,,
26-10-2023,10.55am,in,car,1,,
26-10-2023,10.55am,in,car,2,,
26-10-2023,10.55am,in,car,1,,
26-10-2023,10.55am,in,car,3,,
26-10-2023,10.55am,in,car,1,,
26-10-2023,10.55am,in,car,1,,
26-10-2023,10.55am,in,car,1,,
26-10-2023,10.55am,in,car,3,,
26-10-2023,10.55am,in,car,2,,
26-10-2023,10.55am,in,car,1,,
26-10-2023,10.55am,in,car,3,,
26-10-2023,10.55am,in,car,2,,
26-10-2023,10.55am,in,car,1,,
