Date,Time,Direction,Type,Occupancy,Colour,Class_of_the_vehicle 
25-10-2023,9.45am,in,car,1,black,coupe
25-10-2023,9.45am,in,car,3,silver,hatchback
25-10-2023,9.45am,in,car,1,white,hatchback
25-10-2023,9.45am,in,van,1,white,not_applicable
25-10-2023,9.45am,in,car,2,black,hatchback
25-10-2023,9.45am,in,car,1,white,suv
25-10-2023,9.45am,in,car,1,white,suv
25-10-2023,9.45am,in,car,2,white,hatchback
25-10-2023,9.45am,in,car,2,red,hatchback
25-10-2023,9.45am,in,car,1,red,hatchback
25-10-2023,9.45am,in,car,1,red,coupe
25-10-2023,9.45am,in,bus,20%,green,ev
25-10-2023,9.45am,in,car,3,black,sedan
25-10-2023,9.45am,in,car,2,white,sedan
25-10-2023,9.45am,in,car,2,black,hatchback
25-10-2023,9.45am,in,car,2,black,hatchback
25-10-2023,9.45am,in,car,1,blue,suv
25-10-2023,9.45am,in,car,1,indigo,suv
25-10-2023,9.45am,in,car,1,silver,hatchback
25-10-2023,9.50am,in,bus,40%,green,ev
25-10-2023,9.50am,in,car,2,white,hatchback
25-10-2023,9.50am,in,car,1,yellow,hatchback
25-10-2023,9.50am,in,car,1,black,hatchback
25-10-2023,9.50am,in,car,1,white,suv
25-10-2023,9.50am,in,bus,50%,purple,double
25-10-2023,9.50am,in,car,2,black,suv
25-10-2023,9.50am,in,car,3,black,hatchback
25-10-2023,9.50am,in,car,2,black,suv
25-10-2023,9.50am,in,car,1,red,sedan
25-10-2023,9.50am,in,car,2,blue,suv
25-10-2023,9.50am,in,car,2,blue,hatchback
25-10-2023,9.50am,in,car,1,white,hatchback
25-10-2023,9.50am,in,car,2,silver,suv
25-10-2023,9.50am,in,car,1,blue,hatchback
25-10-2023,9.50am,in,car,2,red,hatchback
25-10-2023,9.50am,in,car,1,grey,suv
25-10-2023,9.50am,in,car,1,white,suv
25-10-2023,9.50am,in,car,1,grey,suv
25-10-2023,9.50am,in,car,1,red,hatchback
25-10-2023,9.50am,in,car,2,red,hatchback
25-10-2023,9.50am,in,car,1,white,sedan
25-10-2023,9.50am,in,bus,70%,blue,double
25-10-2023,9.55am,in,car,2,blue,hatchback
25-10-2023,9.55am,in,car,2,blue,hatchback
25-10-2023,9.55am,in,car,1,red,hatchback
25-10-2023,9.55am,in,car,1,black,suv
25-10-2023,9.55am,in,car,2,grey,suv
25-10-2023,9.55am,in,car,1,red,hatchback
25-10-2023,9.55am,in,car,1,white,hatchback
25-10-2023,9.55am,in,car,1,silver,suv
25-10-2023,9.55am,in,car,1,blue,hatchback
25-10-2023,9.55am,in,bus,120%,white,Single
25-10-2023,10.00am,in,car,2,green,hatchback
25-10-2023,10.00am,in,car,1,purple,hatchback
25-10-2023,10.00am,in,bus,40%,grey,double
25-10-2023,10.00am,in,car,2,green,sedan
25-10-2023,10.00am,in,car,1,blue,sedan 
25-10-2023,10.00am,in,car,40%,grey,double 
25-10-2023,10.00am,in,bus,70%,blue,double
25-10-2023,10.00am,in,car,3,red,hatchback 
25-10-2023,10.00am,in,bus,100%,pink,double
25-10-2023,10.00am,in,bus,40%,green,double
25-10-2023,10.00am,in,lorry,2,white,not_applicable
25-10-2023,10.00am,in,car,2,white,hatchback
25-10-2023,10.00am,in,car,1,blue,hatchback
25-10-2023,10.00am,in,car,1,white,suv 
25-10-2023,10.00am,in,car,2,red,hatchback
25-10-2023,10.00am,in,car,1,white,suv
25-10-2023,10.00am,in,car,1,grey,sedan
25-10-2023,10.00am,in,car,2,silver,hatchback
25-10-2023,10.00am,in,car,1,black,nonev
25-10-2023,10.05am,in,car,1,black,electric
25-10-2023,10.05am,in,car,1,grey,hatchback
25-10-2023,10.05am,in,car,1,blue,suv
25-10-2023,10.10am,in,car,1,black,suv
25-10-2023,10.10am,in,car,1,blue,hatchback
25-10-2023,10.10am,in,bus,40%,blue,double
25-10-2023,10.10am,in,car,1,grey,hatchback
25-10-2023,10.10am,in,car,2,black,suv
25-10-2023,10.10am,in,car,2,blue,sedan
25-10-2023,10.10am,in,lorry,1,white,not_applicable
