Date,Time,Direction,Type,Occupancy,Zero Emissions,Low Emissions Compliant
27-10-2022,09:55,Out,Taxi,1,N,Y
27-10-2022,09:55,Out,Taxi,1,Y,Y
27-10-2022,09:55,Out,Car,1,N,Y
27-10-2022,09:55,Out,Taxi,1,N,Y
27-10-2022,09:55,Out,Car,1,N,Y
27-10-2022,09:55,Out,Taxi,1,Y,Y
27-10-2022,09:55,Out,Car,1,N,Y
27-10-2022,09:55,Out,Taxi,1,N,Y
27-10-2022,09:55,Out,Car,1,N,Y
27-10-2022,09:55,Out,Car,1,N,Y
27-10-2022,09:55,Out,Bus,1,N,Y
27-10-2022,09:55,Out,Bus,1,N,Y
27-10-2022,09:55,Out,Van,1,N,Y
27-10-2022,09:55,Out,Car,2,N,Y
27-10-2022,10:00,Out,Van,1,N,Y
27-10-2022,10:00,Out,Van,1,N,Y
27-10-2022,10:00,Out,Car,1,N,Y
27-10-2022,10:00,Out,Taxi,1,N,Y
27-10-2022,10:00,Out,Taxi,1,N,Y
27-10-2022,10:00,Out,Bus,1,N,N
27-10-2022,10:00,Out,Car,1,N,Y
27-10-2022,10:00,Out,Bus,1,N,Y
27-10-2022,10:00,Out,Van,2,N,Y
27-10-2022,10:00,Out,Car,4,N,Y
27-10-2022,10:00,Out,Car,1,N,Y
27-10-2022,10:00,Out,Taxi,1,N,Y
27-10-2022,10:00,Out,Taxi,1,N,Y
27-10-2022,10:00,Out,Car,1,N,Y
27-10-2022,10:00,Out,Car,1,N,Y
27-10-2022,10:00,Out,Car,1,N,Y
27-10-2022,10:05,Out,Car,1,N,Y
27-10-2022,10:05,Out,Car,2,N,Y
27-10-2022,10:05,Out,Bus,10%,N,Y
27-10-2022,10:05,Out,Car,1,Y,Y
27-10-2022,10:05,Out,Car,1,N,N
27-10-2022,10:05,Out,Car,1,N,Y
27-10-2022,10:05,Out,Car,2,N,Y
27-10-2022,10:05,Out,Car,2,N,Y
27-10-2022,10:05,Out,Car,1,N,Y
27-10-2022,10:05,Out,Car,2,N,Y
27-10-2022,10:05,Out,Taxi,1,N,Y
27-10-2022,10:05,Out,Van,1,N,Y
27-10-2022,10:05,Out,Van,2,N,Y
27-10-2022,10:05,Out,Taxi,1,N,Y
27-10-2022,10:05,Out,Van,2,N,Y
27-10-2022,10:05,Out,Car,3,N,Y
27-10-2022,10:10,Out,Car,2,N,Y
27-10-2022,10:10,Out,Car,2,N,Y
27-10-2022,10:10,Out,Car,1,N,Y
27-10-2022,10:10,Out,Car,2,N,Y
27-10-2022,10:10,Out,Bus,10%,N,Y
27-10-2022,10:10,Out,Van,1,N,Y
27-10-2022,10:10,Out,Car,1,Y,Y
27-10-2022,10:10,Out,Car,2,N,Y
27-10-2022,10:10,Out,Car,2,Y,Y
27-10-2022,10:10,Out,Car,1,N,Y
27-10-2022,10:10,Out,Bus,5%,N,Y
27-10-2022,10:10,Out,Car,2,N,Y
27-10-2022,10:10,Out,Car,1,N,Y
27-10-2022,10:10,Out,Car,1,Y,Y
27-10-2022,10:10,Out,Car,2,N,Y
27-10-2022,10:10,Out,Bus,10%,N,Y
27-10-2022,10:10,Out,Taxi,1,N,Y
27-10-2022,10:10,Out,Car,1,N,Y
27-10-2022,10:10,Out,Car,2,N,Y
27-10-2022,10:10,Out,Car,4,N,Y
27-10-2022,10:10,Out,Car,4,N,Y
27-10-2022,10:15,Out,Car,2,N,Y
27-10-2022,10:15,Out,Car,1,N,Y
27-10-2022,10:15,Out,Car,1,N,Y
27-10-2022,10:15,Out,Car,1,N,Y
27-10-2022,10:15,Out,Car,1,N,N
27-10-2022,10:15,Out,Car,2,N,Y
27-10-2022,10:15,Out,Taxi,1,N,N
27-10-2022,10:15,Out,Van,1,N,N
27-10-2022,10:15,Out,Taxi,1,N,Y
27-10-2022,10:15,Out,Taxi,1,N,Y
27-10-2022,10:15,Out,Van,2,N,Y
27-10-2022,10:15,Out,Car,1,N,Y
27-10-2022,10:15,Out,Bus,5%,N,Y
27-10-2022,10:15,Out,Car,1,N,Y
27-10-2022,10:15,Out,Car,1,N,Y
27-10-2022,10:15,Out,Taxi,1,N,Y
27-10-2022,10:20,Out,Car,2,N,Y
27-10-2022,10:20,Out,Car,3,N,Y
27-10-2022,10:20,Out,Bus,10%,N,Y
27-10-2022,10:20,Out,Van,2,N,Y
27-10-2022,10:20,Out,Car,2,N,Y
27-10-2022,10:20,Out,Car,2,N,Y
27-10-2022,10:20,Out,Taxi,2,N,Y
27-10-2022,10:20,Out,Car,1,N,Y
27-10-2022,10:20,Out,Car,1,N,Y
27-10-2022,10:20,Out,Bus,1,N,N
27-10-2022,10:20,Out,Van,2,N,Y
27-10-2022,10:20,Out,Car,1,N,Y
27-10-2022,10:20,Out,Car,1,Y,Y
27-10-2022,10:20,Out,Bicycle,1,Y,Y
27-10-2022,10:20,Out,Bus,5%,N,N
