Date,Time,Direction,Type,Occupancy,Colour,Age Identifier
23-10-2023,10.30am,out,car,1,black,21
23-10-2023,10.30am,out,car,1,orange,67
23-10-2023,10.30am,out,car,1,silver,17
23-10-2023,10.30am,out,van,1,white,71
23-10-2023,10.30am,out,car,1,blue,18
23-10-2023,10.30am,out,car,2,blue,57
23-10-2023,10.30am,out,bus,0%,blue,66
23-10-2023,10.30am,out,car,1,white,67
23-10-2023,10.30am,out,car,1,red,18
23-10-2023,10.30am,out,bicycle,1,white,
23-10-2023,10.30am,out,bus,10%,blue,66
23-10-2023,10.35am,out,car,4,silver,68
23-10-2023,10.35am,out,bus,0%,white,17
23-10-2023,10.35am,out,lorry,1,blue,
23-10-2023,10.35am,out,car,1,silver,10
23-10-2023,10.35am,out,car,3,red,71
23-10-2023,10.35am,out,car,1,silver,63
23-10-2023,10.35am,out,car,1,red,
23-10-2023,10.35am,out,car,1,black,67
23-10-2023,10.40am,out,bus,10%,blue,66
23-10-2023,10.40am,out,car,2,black,11
23-10-2023,10.40am,out,taxi,1,black,70
23-10-2023,10.40am,out,car,4,brown,14
23-10-2023,10.40am,out,lorry,1,green,17
23-10-2023,10.40am,out,car,1,white,65
23-10-2023,10.45am,out,car,4,silver,
23-10-2023,10.45am,out,car,1,blue,19
23-10-2023,10.45am,out,car,1,red,21
23-10-2023,10.45am,out,taxi,2,black,69
23-10-2023,10.45am,out,car,2,black,15
23-10-2023,10.45am,out,bus,0%,black,66
23-10-2023,10.45am,out,lorry,1,white,71
23-10-2023,10.45am,out,car,2,black,14
23-10-2023,10.45am,out,car,1,red,22
23-10-2023,10.45am,out,car,1,black,
23-10-2023,10.45am,out,bus,10%,blue,66
23-10-2023,10.50am,out,bus,0%,blue,66
23-10-2023,10.50am,out,taxi,1,black,65
23-10-2023,10.50am,out,car,1,red,16
23-10-2023,10.50am,out,car,1,red,13
23-10-2023,10.50am,out,car,1,silver,72
23-10-2023,10.50am,out,car,1,blue,9
23-10-2023,10.50am,out,car,1,brown,61
23-10-2023,10.50am,out,car,1,blue,61
23-10-2023,10.50am,out,car,1,white,71
23-10-2023,10.50am,out,lorry,1,white,20
23-10-2023,10.50am,out,car,2,blue,55
23-10-2023,10.50am,out,taxi,1,blue,68
23-10-2023,10.50am,out,bus,20%,blue,66
23-10-2023,10.50am,out,car,1,silver,56
23-10-2023,10.55am,out,bus,40%,blue,59
23-10-2023,10.55am,out,car,2,silver,17
23-10-2023,10.55am,out,car,2,blue,69
23-10-2023,10.55am,out,van,1,red,70
23-10-2023,10.55am,out,car,1,grey,15
23-10-2023,10.55am,out,car,2,silver,60
23-10-2023,10.55am,out,car,1,black,16
23-10-2023,10.55am,out,van,1,black,16
23-10-2023,10.55am,out,van,1,white,20
23-10-2023,10.55am,out,car,1,green,59
23-10-2023,10.55am,out,car,1,grey,66
23-10-2023,10.55am,out,car,1,white,11
23-10-2023,10.55am,out,car,1,blue,23
23-10-2023,10.55am,out,car,2,silver,21
23-10-2023,10.55am,out,car,1,black,21
23-10-2023,10.55am,out,car,3,white,16
