Date,Time,Direction,Type,Occupancy,Electric,MobilityService
24-10-23,10.30am,in,car,2,0,0
24-10-23,10.30am,in,car,3,0,0
24-10-23,10.30am,in,car,2,0,0
24-10-23,10.30am,in,bus,10%,0,0
24-10-23,10.30am,in,car,2,0,0
24-10-23,10.30am,in,car,1,0,0
24-10-23,10.30am,in,car,1,0,0
24-10-23,10.30am,in,van,1,0,0
24-10-23,10.30am,in,car,1,0,0
24-10-23,10.30am,in,car,1,0,0
24-10-23,10.30am,in,car,2,0,0
24-10-23,10.30am,in,car,3,0,0
24-10-23,10.30am,in,car,1,0,0
24-10-23,10.30am,in,car,2,0,0
24-10-23,10.30am,in,car,1,0,0
24-10-23,10.30am,in,car,4,0,0
24-10-23,10.30am,in,car,1,0,0
24-10-23,10.30am,in,car,1,0,0
24-10-23,10.30am,in,van,2,0,0
24-10-23,10.30am,in,van,2,0,0
24-10-23,10.30am,in,car,1,0,0
24-10-23,10.30am,in,car,1,0,0
24-10-23,10.30am,in,bus,95%,0,0
24-10-23,10.30am,in,car,1,0,0
24-10-23,10.30am,in,car,1,0,0
24-10-23,10.30am,in,car,2,0,0
24-10-23,10.30am,in,car,1,0,0
24-10-23,10.30am,in,car,1,0,0
24-10-23,10.30am,in,car,1,1,0
24-10-23,10.30am,in,car,1,0,0
24-10-23,10.30am,in,car,1,0,0
24-10-23,10.30am,in,car,1,0,0
24-10-23,10.35am,in,car,1,0,0
24-10-23,10.35am,in,car,1,0,0
24-10-23,10.35am,in,car,1,0,0
24-10-23,10.35am,in,car,3,0,0
24-10-23,10.35am,in,car,3,0,0
24-10-23,10.35am,in,car,2,0,0
24-10-23,10.35am,in,car,3,0,0
24-10-23,10.35am,in,bus,90%,0,0
24-10-23,10.35am,in,car,1,0,0
24-10-23,10.35am,in,car,3,0,0
24-10-23,10.35am,in,car,1,0,0
24-10-23,10.35am,in,car,1,0,0
24-10-23,10.35am,in,car,2,0,0
24-10-23,10.35am,in,car,2,0,0
24-10-23,10.35am,in,car,1,0,0
24-10-23,10.35am,in,car,1,0,0
24-10-23,10.40am,in,car,1,0,0
24-10-23,10.40am,in,car,1,0,0
24-10-23,10.40am,in,car,2,0,0
24-10-23,10.40am,in,car,1,0,0
24-10-23,10.40am,in,car,3,0,0
24-10-23,10.40am,in,motorbike,1,0,0
24-10-23,10.40am,in,car,2,0,0
24-10-23,10.40am,in,car,3,0,0
24-10-23,10.40am,in,taxi,2,0,0
24-10-23,10.40am,in,car,1,0,0
24-10-23,10.40am,in,car,2,0,0
24-10-23,10.40am,in,van,2,0,0
24-10-23,10.40am,in,van,1,0,0
24-10-23,10.40am,in,car,1,1,0
24-10-23,10.40am,in,van,2,1,0
24-10-23,10.40am,in,car,1,0,0
24-10-23,10.40am,in,bus,80%,0,0
24-10-23,10.40am,in,car,1,0,0
24-10-23,10.40am,in,bus,80%,0,0
24-10-23,10.45am,in,car,2,0,0
24-10-23,10.45am,in,car,1,0,0
24-10-23,10.45am,in,car,1,0,0
24-10-23,10.45am,in,car,3,0,0
24-10-23,10.45am,in,car,2,0,0
24-10-23,10.45am,in,car,1,0,0
24-10-23,10.45am,in,taxi,2,0,0
24-10-23,10.45am,in,bicycle,1,0,0
24-10-23,10.45am,in,car,2,0,0
24-10-23,10.45am,in,car,1,0,0
24-10-23,10.45am,in,car,3,0,0
24-10-23,10.45am,in,car,2,0,0
24-10-23,10.45am,in,car,1,0,0
24-10-23,10.45am,in,motorbike,1,0,0
24-10-23,10.45am,in,bus,100%,0,0
24-10-23,10.45am,in,car,1,0,0
24-10-23,10.45am,in,taxi,3,0,0
24-10-23,10.45am,in,car,1,1,0
24-10-23,10.45am,in,car,1,0,0
24-10-23,10.45am,in,car,2,0,0
24-10-23,10.45am,in,taxi,2,0,0
24-10-23,10.45am,in,car,1,0,0
24-10-23,10.45am,in,car,3,0,0
24-10-23,10.45am,in,car,1,0,0
24-10-23,10.45am,in,car,1,0,0
24-10-23,10.45am,in,car,3,1,0
24-10-23,10.45am,in,car,1,0,0
24-10-23,10.45am,in,car,1,0,0
24-10-23,10.45am,in,car,1,0,0
24-10-23,10.50am,in,car,3,0,0
24-10-23,10.50am,in,taxi,2,0,0
24-10-23,10.50am,in,car,2,0,0
24-10-23,10.50am,in,car,3,0,0
24-10-23,10.50am,in,car,1,0,0
24-10-23,10.50am,in,car,2,0,0
24-10-23,10.50am,in,car,2,0,0
24-10-23,10.50am,in,car,1,0,0
24-10-23,10.50am,in,car,2,0,0
24-10-23,10.50am,in,car,2,0,0
24-10-23,10.50am,in,car,2,0,0
24-10-23,10.50am,in,car,1,0,0
24-10-23,10.50am,in,car,3,0,0
24-10-23,10.50am,in,car,1,0,0
24-10-23,10.50am,in,car,2,0,0
24-10-23,10.50am,in,car,3,0,0
24-10-23,10.50am,in,car,1,0,0
24-10-23,10.50am,in,car,1,0,0
24-10-23,10.50am,in,van,1,0,0
24-10-23,10.50am,in,taxi,2,0,0
24-10-23,10.50am,in,car,2,0,0
24-10-23,10.50am,in,car,1,0,0
24-10-23,10.50am,in,car,1,0,0
24-10-23,10.50am,in,car,1,0,0
24-10-23,10.50am,in,car,1,0,0
24-10-23,10.50am,in,car,2,0,0
24-10-23,10.55am,in,van,1,0,0
24-10-23,10.55am,in,car,1,0,0
24-10-23,10.55am,in,motorbike,1,0,0
24-10-23,10.55am,in,bicycle,1,0,0
24-10-23,10.55am,in,car,3,0,0
24-10-23,10.55am,in,car,1,0,0
24-10-23,10.55am,in,van,2,0,0
24-10-23,10.55am,in,bicycle,1,0,0
24-10-23,10.55am,in,bus,70%,0,0
24-10-23,10.55am,in,car,4,0,0
24-10-23,10.55am,in,car,2,0,0
24-10-23,10.55am,in,car,2,0,0
24-10-23,10.55am,in,van,1,0,0
24-10-23,10.55am,in,bus,90%,0,0
24-10-23,10.55am,in,car,1,0,0
24-10-23,10.55am,in,car,2,0,0
24-10-23,10.55am,in,car,1,0,0
24-10-23,10.55am,in,car,1,0,0
24-10-23,10.55am,in,car,1,0,0
24-10-23,10.55am,in,car,2,0,0
24-10-23,10.55am,in,car,3,0,0
24-10-23,10.55am,in,car,1,0,0
24-10-23,10.55am,in,car,5,0,0
24-10-23,10.55am,in,car,1,0,0
24-10-23,10.55am,in,car,2,0,0
24-10-23,10.55am,in,car,2,0,0
24-10-23,10.55am,in,car,1,0,0
24-10-23,10.55am,in,car,1,0,0
24-10-23,10.55am,in,car,2,0,0
24-10-23,10.55am,in,car,1,0,0
24-10-23,10.55am,in,car,1,0,0
