Date,Time,Direction,Vehicle Type,Occupancy,Safety,Manufacturing Data,Manufactured after 2015
25/10/2023,9:30,out,car,2,1,7,0
25/10/2023,9:30,out,car,2,1,72,1
25/10/2023,9:30,out,car,3,1,18,1
25/10/2023,9:30,out,car,2,1,21,1
25/10/2023,9:30,out,car,2,1,68,1
25/10/2023,9:30,out,car,1,1,6,0
25/10/2023,9:30,out,van ,1,1,73,1
25/10/2023,9:30,out,van ,1,1,7,0
25/10/2023,9:30,out,car ,1,1,12,0
25/10/2023,9:35,out,car ,1,1,20,1
25/10/2023,9:35,out,car ,1,0,66,1
25/10/2023,9:35,out,bus,1%,1,66,1
25/10/2023,9:35,out,bus,20%,1,58,0
25/10/2023,9:40,out,car,1,1,67,1
25/10/2023,9:40,out,car,2,0,66,1
25/10/2023,9:40,out,car,2,1,68,1
25/10/2023,9:40,out,car,1,1,65,0
25/10/2023,9:40,out,car,1,1,13,0
25/10/2023,9:40,out,bus,1%,1,66,1
25/10/2023,9:40,out,bus,1%,1,67,1
25/10/2023,9:40,out,bus,20%,1,66,1
25/10/2023,9:40,out,bicycle,1,1,,
25/10/2023,9:40,out,van ,1,1,62,0
25/10/2023,9:40,out,van ,2,0,66,1
25/10/2023,9:40,out,lorry,1,1,67,1
25/10/2023,9:40,out,scooter ,1,1,73,1
25/10/2023,9:45,out,car ,1,1,18,1
25/10/2023,9:45,out,car ,1,1,16,1
25/10/2023,9:45,out,car ,1,1,55,0
25/10/2023,9:45,out,bus,1%,1,67,1
25/10/2023,9:45,out,bus,1%,1,66,1
25/10/2023,9:45,out,bicycle,1,1,,
25/10/2023,9:50,out,car ,2,1,66,1
25/10/2023,9:50,out,car ,1,1,60,0
25/10/2023,9:50,out,car ,1,1,20,1
25/10/2023,9:50,out,car ,1,1,63,0
25/10/2023,9:50,out,car ,1,0,21,1
25/10/2023,9:50,out,van ,2,1,72,1
25/10/2023,9:50,out,lorry,1,1,19,1
25/10/2023,9:55,out,car,1,1,61,0
25/10/2023,9:55,out,car,1,1,69,1
25/10/2023,9:55,out,car,1,1,6,0
25/10/2023,9:55,out,taxi,1,1,3,0
25/10/2023,9:55,out,taxi,1,1,67,1
25/10/2023,9:55,out,van ,1,1,18,1
25/10/2023,9:55,out,lorry,1,1,73,1
25/10/2023,9:55,out,car,1,1,59,0
25/10/2023,9:55,out,car,1,0,67,1
25/10/2023,9:55,out,car,1,1,65,0
25/10/2023,9:55,out,car,1,1,16,1
25/10/2023,9:55,out,bus,5%,1,66,1
25/10/2023,9:55,out,bus,1%,1,66,1
