Date,Time,Direction,Left,Right,CAR,BUS,BICYCLE,MOTORBIKE,TAXI,SCOOTER,VAN,Occupancy,MALE,FEMALE
25-10-2023,10:30am,in,,,✓,,,,,,,1,✓,
25-10-2023,10:32am,in,,,✓,,,,,,,1,✓,
25-10-2023,10:33am,in,,,✓,,,,,,,2,,✓
25-10-2023,10:33am,in,,,,,,,,,✓,1,✓,
25-10-2023,10:33am,in,,,,,,✓,,,,1,✓,
25-10-2023,10:33am,in,,,✓,,,,,,,1,,✓
25-10-2023,10:33am,in,,,✓,,,,,,,2,✓,✓
25-10-2023,10:34am,in,,,,✓,,,,,,10%,✓,
25-10-2023,10:34am,in,,,✓,,,,,,,2,✓,
25-10-2023,10:34am,in,,,✓,,,,,,,2,✓,
25-10-2023,10:34am,in,,,✓,,,,,,,1,✓,
25-10-2023,10:34am,in,,,✓,,,,,,,1,✓,
25-10-2023,10:35am,in,,,✓,,,,,,,2,,
25-10-2023,10:35am,in,,,,,,,,,✓,2,,
25-10-2023,10:35am,in,,,✓,,,,,,,2,,✓
25-10-2023,10:35am,in,,,✓,,,,,,,1,,✓
25-10-2023,10:35am,in,,,✓,,,,,,,2,,
25-10-2023,10:35am,in,,,,✓,,,,,,100%,,
25-10-2023,10:35am,in,,,✓,,,,,,,2,,
25-10-2023,10:36am,in,,,✓,,,,,,,2,,✓
25-10-2023,10:36am,in,,,✓,,,,,,,1,,✓
25-10-2023,10:36am,in,,,✓,,,,,,,2,,✓
25-10-2023,10:36am,in,,,✓,,,,,,,1,,✓
25-10-2023,10:36am,in,,,✓,,,,,,,40%,✓,
25-10-2023,10:36am,in,,,✓,,,,,,,1,,✓
25-10-2023,10:37am,in,,,✓,,,,,,,1,,✓
25-10-2023,10:37am,in,,,✓,,,,,,,2,✓,
25-10-2023,10:37am,in,,,✓,,,,,,,2,,✓
25-10-2023,10:37am,in,,,✓,,,,,,,2,,✓
25-10-2023,10:38am,in,,,✓,,,,,,,3,,✓
25-10-2023,10:38am,in,,,✓,,,,,,,2,,✓
25-10-2023,10:38am,in,,,✓,,,,,,,2,,✓
25-10-2023,10:38am,in,,,✓,,,,,,,3,,✓
25-10-2023,10:38am,in,,,✓,,,,,,,2,,✓
25-10-2023,10:38am,in,,,✓,,,,,,,3,,✓
25-10-2023,10:38am,in,,,,✓,,,,,,70%,,✓
25-10-2023,10:39am,in,,,✓,,,,,,,1,,✓
25-10-2023,10:39am,in,,,✓,,,,,,,1,,✓
25-10-2023,10:39am,in,,,✓,,,,,,,1,,✓
25-10-2023,10:39am,in,,,✓,,,,,,,2,,✓
25-10-2023,10:39am,in,,,✓,,,,,,,1,✓,
25-10-2023,10:39am,in,,,✓,,,,,,,1,,✓
25-10-2023,10:40am,in,,,✓,,,,,,,1,✓,
25-10-2023,10:40am,in,,,✓,,,,,,,1,✓,
25-10-2023,10:40am,in,,,✓,,,,,,,1,,✓
25-10-2023,10:40am,in,,,✓,,,,,,,1,✓,
25-10-2023,10:41am,in,,,✓,,,,,,,1,✓,
25-10-2023,10:41am,in,,,✓,,,,,,,1,✓,
25-10-2023,10:41am,in,,,✓,,,,,,,2,✓,
25-10-2023,10:42am,in,,,✓,,,,,,,2,,✓
25-10-2023,10:42am,in,,,✓,,,,,,,2,✓,
25-10-2023,10:42am,in,,,✓,,,,,,,1,,✓
25-10-2023,10:42am,in,,,✓,,,,,,,2,✓,
25-10-2023,10:42am,in,,,✓,,,,,,,1,,✓
25-10-2023,10:43am,in,,,✓,,,,,,,1,✓,
25-10-2023,10:43am,in,,,✓,,,,,,,3,,✓
25-10-2023,10:43am,in,,,✓,,,,,,,2,✓,
25-10-2023,10:43am,in,,,✓,,,,,,,1,✓,
25-10-2023,10:43am,in,,,✓,,,,,,,1,,✓
25-10-2023,10:43am,in,,,✓,,,,,,,2,✓,
25-10-2023,10:44am,in,,,✓,,,,,,,1,,✓
25-10-2023,10:44am,in,,,✓,,,,,,,1,,✓
25-10-2023,10:44am,in,,,✓,,,,,,,2,,✓
25-10-2023,10:44am,in,,,✓,,,,,,,1,✓,
25-10-2023,10:45am,in,,,✓,,,,,,,2,✓,
25-10-2023,10:45am,in,,,✓,,,,,,,1,✓,
25-10-2023,10:45am,in,,,✓,,,,,,,2,,✓
25-10-2023,10:45am,in,,,✓,,,,,,,3,✓,
25-10-2023,10:45am,in,,,✓,,,,,,,1,✓,
25-10-2023,10:46am,in,,,,✓,,,,,,90%,✓,
25-10-2023,10:46am,in,,,✓,,,,,,,2,,✓
25-10-2023,10:46am,in,,,✓,,,,,,,1,✓,
25-10-2023,10:46am,in,,,✓,,,,,,,2,,✓
25-10-2023,10:46am,in,,,✓,,,,,,,1,✓,
25-10-2023,10:46am,in,,,✓,,,,,,,2,✓,
25-10-2023,10:47am,in,,,✓,,,,,,,2,,✓
25-10-2023,10:47am,in,,,✓,,,,,,,1,✓,
25-10-2023,10:47am,in,,,✓,,,,,,,1,✓,
25-10-2023,10:47am,in,,,,✓,,,,,,70%,✓,
25-10-2023,10:47am,in,,,✓,,,,,,,2,✓,
25-10-2023,10:47am,in,,,✓,,,,,,,1,✓,
25-10-2023,10:47am,in,,,✓,,,,,,,2,,✓
25-10-2023,10:47am,in,,,✓,,,,,,,1,✓,
25-10-2023,10:47am,in,,,✓,,,,,,,2,✓,
25-10-2023,10:47am,in,,,✓,,,,,,,2,,✓
25-10-2023,10:48am,in,,,,,,,,,✓,1,✓,
25-10-2023,10:48am,in,,,,,,,,,✓,1,✓,
25-10-2023,10:48am,in,,,✓,,,,,,,2,,✓
25-10-2023,10:48am,in,,,✓,,,,,,,1,,✓
25-10-2023,10:48am,in,,,✓,,,,,,,2,,✓
25-10-2023,10:48am,in,,,✓,,,,,,,2,✓,
25-10-2023,10:49am,in,,,✓,,,,,,,1,,✓
25-10-2023,10:49am,in,,,✓,,,,,,,2,✓,
25-10-2023,10:49am,in,,,✓,,,,,,,1,,✓
25-10-2023,10:49am,in,,,✓,,,,,,,2,✓,
25-10-2023,10:49am,in,,,✓,,,,,,,2,✓,
25-10-2023,10:50am,in,,,✓,,,,,,,1,✓,
25-10-2023,10:50am,in,,,✓,,,,,,,1,,✓
25-10-2023,10:50am,in,,,✓,,,,,,,2,,✓
25-10-2023,10:50am,in,,,✓,,,,,,,1,✓,
25-10-2023,10:50am,in,,,,✓,,,,,,10%,✓,
25-10-2023,10:51am,in,,,✓,,,,,,,1,✓,
25-10-2023,10:51am,in,,,✓,,,,,,,2,,✓
25-10-2023,10:51am,in,,,✓,,,,,,,1,,✓
25-10-2023,10:51am,in,,,✓,,,,,,,2,✓,
25-10-2023,10:51am,in,,,✓,,,,,,,2,,✓
25-10-2023,10:51am,in,,,✓,,,,,,,1,✓,
25-10-2023,10:51am,in,,,,✓,,,,,,100%,✓,
25-10-2023,10:52am,in,,,,,,,,,✓,1,✓,
25-10-2023,10:52am,in,,,✓,,,,,,,1,,✓
25-10-2023,10:52am,in,,,✓,,,,,,,2,✓,
25-10-2023,10:52am,in,,,✓,,,,,,,1,✓,
25-10-2023,10:52am,in,,,✓,,,,,,,1,✓,
25-10-2023,10:53am,in,,,✓,,,,,,,2,✓,
25-10-2023,10:53am,in,,,✓,,,,,,,1,,✓
25-10-2023,10:53am,in,,,✓,,,,,,,1,✓,
25-10-2023,10:53am,in,,,✓,,,,,,,1,✓,
25-10-2023,10:53am,in,,,✓,,,,,,,2,,✓
25-10-2023,10:54am,in,,,✓,,,,,,,1,✓,
25-10-2023,10:54am,in,,,✓,,,,,,,2,✓,
25-10-2023,10:54am,in,,,✓,,,,,,,2,,✓
25-10-2023,10:54am,in,,,✓,,,,,,,1,✓,
25-10-2023,10:54am,in,,,✓,,,,,,,2,✓,
25-10-2023,10:54am,in,,,✓,,,,,,,1,,✓
25-10-2023,10:55am,in,,,✓,,,,,,,1,✓,
25-10-2023,10:55am,in,,,✓,,,,,,,2,✓,
25-10-2023,10:55am,in,,,,✓,,,,,,90%,✓,
25-10-2023,10:55am,in,,,✓,,,,,,,2,✓,
25-10-2023,10:55am,in,,,✓,,,,,,,2,,✓
25-10-2023,10:55am,in,,,✓,,,,,,,1,✓,
25-10-2023,10:55am,in,,,✓,,,,,,,1,,✓
25-10-2023,10:56am,in,,,✓,,,,,,,2,✓,
25-10-2023,10:56am,in,,,✓,,,,,,,1,✓,
25-10-2023,10:56am,in,,,✓,,,,,,,2,,✓
25-10-2023,10:56am,in,,,✓,,,,,,,1,✓,
25-10-2023,10:56am,in,,,✓,,,,,,,1,✓,
25-10-2023,10:56am,in,,,,,,,,,✓,1,✓,
25-10-2023,10:56am,in,,,,,,,,,✓,1,✓,
25-10-2023,10:56am,in,,,✓,,,,,,,1,,✓
25-10-2023,10:56am,in,,,,✓,,,,,,100%,✓,
25-10-2023,10:57am,in,,,✓,,,,,,,2,,✓
25-10-2023,10:57am,in,,,✓,,,,,,,2,✓,
25-10-2023,10:57am,in,,,✓,,,,,,,3,,✓
25-10-2023,10:57am,in,,,✓,,,,,,,2,✓,
25-10-2023,10:57am,in,,,✓,,,,,,,1,,✓
25-10-2023,10:57am,in,,,✓,,,,,,,1,,✓
25-10-2023,10:57am,in,,,✓,,,,,,,2,✓,
25-10-2023,10:58am,in,,,✓,,,,,,,2,✓,
25-10-2023,10:58am,in,,,✓,,,,,,,2,,✓
25-10-2023,10:58am,in,,,✓,,,,,,,1,,✓
25-10-2023,10:58am,in,,,✓,,,,,,,1,,✓
25-10-2023,10:58am,in,,,✓,,,,,,,2,✓,
25-10-2023,10:59am,in,,,✓,,,,,,,1,,✓
25-10-2023,10:59am,in,,,✓,,,,,,,1,,✓
