Date,Time,Direction,Type,Occupancy,Vehicle Brand,Vehicle Year
24-10-2023,10.30am,out,bus,1%,Scania,2016
24-10-2023,10.30am,out,car,1,Ford,2018
24-10-2023,10.30am,out,bus,1%,Scania,2017
24-10-2023,10.30am,out,car,1,Vauxhall,2019
24-10-2023,10.30am,out,car,1,Vauxhall,2014
24-10-2023,10.30am,out,car,1,Citroen,2006
24-10-2023,10.30am,out,bus,5%,Scania,2016
24-10-2023,10.30am,out,car,1,Volkswagen,2008
24-10-2023,10.30am,out,bus,5%,Scania,2016
24-10-2023,10.35am,out,car,1,Vauxhall,2013
24-10-2023,10.35am,out,car,1,Skoda,2015
24-10-2023,10.35am,out,car,2,Skoda,2017
24-10-2023,10.35am,out,car,1,Ford,2019
24-10-2023,10.35am,out,car,2,Citroen,2018
24-10-2023,10.35am,out,car,1,Audi,2014
24-10-2023,10.35am,out,car,1,Hyundai,2015
24-10-2023,10.35am,out,car,1,Mercedes-Benz,2023
24-10-2023,10.35am,out,car,1,Volkswagen,2018
24-10-2023,10.40am,out,bus,3%,Scania,2016
24-10-2023,10.40am,out,bus,4%,Scania,2016
24-10-2023,10.40am,out,car,1,Renault,2020
24-10-2023,10.45am,out,car,2,Ford,2017
24-10-2023,10.45am,out,car,1,Vauxhall,2011
24-10-2023,10.45am,out,car,2,Lexus,2016
24-10-2023,10.45am,out,taxi,1,Toyota,2019
24-10-2023,10.45am,out,car,1,Peugeot,2021
24-10-2023,10.50am,out,taxi,1,Hyundai,2019
24-10-2023,10.50am,out,taxi,1,Skoda,2017
24-10-2023,10.50am,out,car,2,Ford,2011
24-10-2023,10.50am,out,bus,2%,Scania,2017
24-10-2023,10.50am,out,bus,10%,Scania,2016
24-10-2023,10.50am,out,bus,25%,Scania,2016
24-10-2023,10.50am,out,car,1,Honda,2015
24-10-2023,10.55am,out,van,1,Toyota,2020
24-10-2023,10.55am,out,car,1,Vauxhall,2016
24-10-2023,10.55am,out,car,1,Fiat,2010
24-10-2023,10.55am,out,car,1,Ford,2016
24-10-2023,10.55am,out,taxi,1,Skoda,2011
24-10-2023,10.55am,out,car,2,Volkswagen,2019
24-10-2023,10.55am,out,car,1,Vauxhall,2007
24-10-2023,10.55am,out,van,1,Peugeot,2016
24-10-2023,10.55am,out,car,1,Kia,2011
24-10-2023,10.55am,out,van,1,Ford,2020
